step,IG1,IG2,pass_label,n_broken,n_formed,cartesian_pass2,cartesian_top1,cartesian_top2,mass_weighted_pass2,mass_weighted_top1,mass_weighted_top2,bond_stretch_pass2,bond_stretch_top1,bond_stretch_top2,core_cartesian_pass2,core_cartesian_top1,core_cartesian_top2,core_mass_pass2,core_mass_top1,core_mass_top2
Jackie_TS_01,1,1,1,1,2,1.0,1.0,0.481007,1.0,1.0,0.534638,1.0,1.0,0.999179,1.0,1.0,0.767831,1.0,1.0,0.572373
Jackie_TS_02,1,1,1,2,2,0.974492,0.525211,0.974492,0.977775,0.560765,0.977775,0.99942,0.99942,0.999043,0.987068,0.555051,0.987068,0.988064,0.575615,0.988064
Jackie_TS_03,1,1,1,2,1,1.0,0.187449,1.0,1.0,0.480781,1.0,1.0,0.999999,1.0,1.0,0.844352,1.0,1.0,0.844352,1.0
Jackie_TS_04,1,1,1,4,4,0.870802,0.686119,0.870802,0.883246,0.71082,0.883246,0.742824,0.742824,0.705445,0.703269,0.703269,0.677926,0.858435,0.741481,0.858435
Jackie_TS_05,1,1,1,2,2,1.0,0.760137,1.0,1.0,0.78359,1.0,1.0,0.898068,1.0,1.0,0.768896,1.0,1.0,0.789165,1.0
Jackie_TS_06,1,1,1,1,2,0.896304,0.83247,0.896304,0.890526,0.83466,0.890526,0.999167,0.999167,0.989474,0.925595,0.810828,0.925595,0.90423,0.82586,0.90423
Jackie_TS_07,1,1,1,1,1,0.814678,0.814678,0.667706,0.820963,0.820963,0.679335,0.999816,0.999816,0.998176,0.841784,0.841784,0.720686,0.841784,0.841784,0.720686
Jackie_TS_08,1,1,1,2,1,0.923649,0.923649,0.919702,0.858269,0.852662,0.858269,0.992775,0.99226,0.992775,0.940559,0.940559,0.935302,0.860616,0.854838,0.860616
Jackie_TS_09,1,1,1,1,1,0.778001,0.307011,0.778001,0.775789,0.373418,0.775789,0.999907,0.99968,0.999907,0.84325,0.703644,0.84325,0.839746,0.707064,0.839746
Jackie_TS_10,1,1,1,3,3,1.0,0.331448,1.0,1.0,0.35309,1.0,1.0,0.993036,1.0,1.0,0.685442,1.0,1.0,0.68105,1.0
Jackie_TS_11,1,1,1,3,1,0.924292,0.924292,0.905106,0.957638,0.957638,0.931576,0.998828,0.998828,0.991763,0.966089,0.966089,0.938426,0.966089,0.966089,0.938426
Jackie_TS_12,1,1,1,2,2,0.882108,0.882108,0.841181,0.912734,0.912734,0.862551,0.995684,0.982096,0.995684,0.92775,0.92775,0.863276,0.936768,0.936768,0.875321
Jackie_TS_13,1,1,1,2,2,1.0,0.340072,1.0,1.0,0.417129,1.0,1.0,0.993725,1.0,1.0,0.761913,1.0,1.0,0.684936,1.0
Jackie_TS_15,1,1,1,2,1,0.583411,0.583411,0.304842,0.609094,0.609094,0.449436,0.999043,0.999043,0.998414,0.714872,0.714872,0.65406,0.747458,0.745764,0.747458
Jackie_TS_16,1,1,1,1,1,0.842924,0.631702,0.842924,0.773551,0.687609,0.773551,0.998485,0.998485,0.996204,0.835092,0.70197,0.835092,0.838626,0.838626,0.794525
Jackie_TS_17,1,1,1,1,2,0.51237,0.446081,0.51237,0.511904,0.464223,0.511904,0.9931,0.988383,0.9931,0.676037,0.676037,0.664324,0.749675,0.749675,0.627905
Jackie_TS_18,1,1,1,1,1,0.979979,0.956804,0.979979,0.979238,0.955528,0.979238,0.999934,0.998982,0.999934,0.992902,0.987935,0.992902,0.992902,0.987935,0.992902
Jackie_TS_19,1,1,1,1,1,0.70924,0.70924,0.690659,0.71115,0.71115,0.685741,0.999783,0.999569,0.999783,0.932361,0.834168,0.932361,0.932361,0.834168,0.932361
Jackie_TS_20,1,1,1,2,2,0.929464,0.929464,0.78067,0.93638,0.93638,0.796048,0.989017,0.989017,0.981466,0.985383,0.985383,0.86616,0.979458,0.979458,0.864086
pr1.tempo_ts1,1,1,1,0,0,0.526503,0.526503,0.479734,0.7462,0.7462,0.603455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr1.tempo_ts10,1,1,1,2,2,0.425393,0.425393,0.323695,0.595861,0.595861,0.365868,0.877276,0.877276,0.816502,0.576337,0.576337,0.450288,0.66743,0.557372,0.66743
pr1.tempo_ts2,1,1,1,2,2,0.694585,0.515435,0.694585,0.776656,0.695017,0.776656,0.925843,0.925161,0.925843,0.658435,0.553892,0.658435,0.697119,0.587454,0.697119
pr1.tempo_ts3,1,1,1,1,1,0.966623,0.966623,0.853314,0.913596,0.913596,0.732748,0.999595,0.999595,0.999527,0.974296,0.974296,0.866846,0.89577,0.89577,0.770867
pr1.tempo_ts4,1,1,1,2,2,0.339771,0.339771,0.285761,0.51207,0.51207,0.428176,0.998921,0.998921,0.970072,0.910083,0.910083,0.715327,0.91131,0.91131,0.72013
pr1.tempo_ts5,1,1,1,0,0,0.55376,0.552063,0.55376,0.635245,0.63516,0.635245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr1.tempo_ts6,1,1,1,2,2,0.583403,0.583403,0.50537,0.684783,0.684783,0.525039,0.896763,0.896763,0.885231,0.707291,0.707291,0.622876,0.74124,0.74124,0.598315
pr1.tempo_ts8,1,1,1,2,2,0.964062,0.964062,0.943773,0.969639,0.969639,0.953515,0.966951,0.925218,0.966951,0.937283,0.937283,0.91828,0.93937,0.93937,0.92353
pr1.tempo_ts9,0,1,1,1,0,0.352088,0.352088,0.264651,0.707444,0.624725,0.707444,1.0,1.0,1.0,0.957636,0.957636,0.886765,0.960601,0.960601,0.943187
pr10.carborane_ts1,1,1,1,1,2,0.864967,0.362614,0.864967,0.867855,0.375565,0.867855,0.999517,0.996336,0.999517,0.898125,0.684384,0.898125,0.894694,0.692276,0.894694
pr10.carborane_ts2,1,1,1,1,0,0.642161,0.642161,0.576737,0.642592,0.642592,0.570733,1.0,1.0,1.0,0.827643,0.827643,0.821892,0.827643,0.827643,0.821892
pr10.carborane_ts3,0,0,0,2,2,0.76525,0.76525,0.650497,0.365267,0.365267,0.331649,0.931369,0.931369,0.921151,0.769426,0.769426,0.676884,0.516574,0.516574,0.47144
pr11.cycloadditions_tsIIIa,1,1,1,1,1,0.314878,0.314878,0.311751,0.324434,0.324434,0.30874,0.999937,0.999937,0.999421,0.828445,0.814605,0.828445,0.815768,0.799834,0.815768
pr11.cycloadditions_tsIIIb,1,1,1,1,1,0.34632,0.34632,0.27164,0.370068,0.370068,0.29459,1.0,1.0,0.999608,0.851511,0.851511,0.827653,0.840469,0.840469,0.817053
pr11.cycloadditions_tsIIa,1,1,1,0,1,0.743528,0.281678,0.743528,0.745446,0.365331,0.745446,1.0,1.0,1.0,0.983432,0.887184,0.983432,0.983432,0.887184,0.983432
pr11.cycloadditions_tsIIb,1,1,1,0,1,0.333603,0.333603,0.281827,0.482357,0.375265,0.482357,1.0,1.0,1.0,0.838285,0.805169,0.838285,0.838285,0.805169,0.838285
pr11.cycloadditions_tsIVa,1,1,1,0,1,0.528992,0.519676,0.528992,0.535476,0.516887,0.535476,1.0,1.0,1.0,0.702428,0.64239,0.702428,0.702428,0.64239,0.702428
pr11.cycloadditions_tsIVb,1,1,1,0,1,0.702677,0.702677,0.241259,0.704164,0.704164,0.224394,1.0,1.0,1.0,0.903557,0.903557,0.831336,0.903557,0.903557,0.831336
pr11.cycloadditions_tsIa,1,1,1,1,1,0.488718,0.488718,0.483858,0.515748,0.515748,0.509425,0.999981,0.999958,0.999981,0.629416,0.629416,0.622642,0.626247,0.626247,0.618856
pr11.cycloadditions_tsIb,1,1,1,1,1,0.688321,0.674805,0.688321,0.705457,0.691525,0.705457,0.999998,0.999998,0.999982,0.822092,0.799268,0.822092,0.815975,0.794764,0.815975
pr12.Co_Silylation_JACS2015_TS_B-CStep1,1,1,1,1,2,0.485246,0.420654,0.485246,0.663011,0.416093,0.663011,0.996062,0.996062,0.994308,0.602563,0.560577,0.602563,0.698427,0.636314,0.698427
pr12.Co_Silylation_JACS2015_TS_C-DStep2,1,1,1,1,1,0.816108,0.334103,0.816108,0.822792,0.337829,0.822792,0.999883,0.999883,0.999376,0.896257,0.872059,0.896257,0.89257,0.859966,0.89257
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,0,1,1,1,1,0.594797,0.340125,0.594797,0.455494,0.450877,0.455494,0.999794,0.999794,0.999656,0.757943,0.757943,0.711516,0.798275,0.798275,0.752558
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,1,1,1,1,1,1.0,1.0,0.393832,1.0,1.0,0.394254,1.0,1.0,0.999991,1.0,1.0,0.621876,1.0,1.0,0.628794
pr13.Cyclobutane_JOC2023_TS-CD_step1,1,1,1,2,1,1.0,0.490419,1.0,1.0,0.494009,1.0,1.0,0.99998,1.0,1.0,0.515474,1.0,1.0,0.503728,1.0
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,1,1,1,1,1,0.996637,0.996637,0.448791,0.996906,0.996906,0.426884,0.999994,0.999993,0.999994,0.998906,0.998906,0.933002,0.998911,0.998911,0.932461
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,1,1,1,1,1,0.387836,0.287742,0.387836,0.406581,0.31707,0.406581,0.999902,0.999882,0.999902,0.719044,0.642218,0.719044,0.726474,0.613796,0.726474
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,1,1,1,1,1,1.0,0.993617,1.0,1.0,0.994198,1.0,1.0,0.999995,1.0,1.0,0.997474,1.0,1.0,0.997388,1.0
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,1,1,1,2,2,0.921193,0.890077,0.921193,0.906814,0.89991,0.906814,0.988625,0.988625,0.976318,0.935969,0.935969,0.93432,0.914819,0.914819,0.914796
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,1,1,1,2,1,0.58693,0.264287,0.58693,0.586667,0.314827,0.586667,0.999062,0.997746,0.999062,0.630444,0.476556,0.630444,0.657543,0.425115,0.657543
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,1,1,1,2,2,0.717742,0.717742,0.329246,0.784687,0.784687,0.770307,0.966753,0.952152,0.966753,0.846698,0.846698,0.679923,0.909432,0.850354,0.909432
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,1,0,1,2,1,0.478808,0.478808,0.234933,0.355349,0.355349,0.265776,0.993428,0.985412,0.993428,0.833765,0.833765,0.642447,0.632518,0.632518,0.46341
