step,n_ig,top1_any,top1_any_imag,rank1_any,rank1_any_imag,top2_any,top2_any_imag,rank2_any,rank2_any_imag,top3_any,top3_any_imag,rank3_any,rank3_any_imag,top4_any,top4_any_imag,rank4_any,rank4_any_imag,top5_any,top5_any_imag,rank5_any,rank5_any_imag,top6_any,top6_any_imag,rank6_any,rank6_any_imag,top7_any,top7_any_imag,rank7_any,rank7_any_imag,top8_any,top8_any_imag,rank8_any,rank8_any_imag,top9_any,top9_any_imag,rank9_any,rank9_any_imag,top10_any,top10_any_imag,rank10_any,rank10_any_imag,top11_any,top11_any_imag,rank11_any,rank11_any_imag,top12_any,top12_any_imag,rank12_any,rank12_any_imag,top13_any,top13_any_imag,rank13_any,rank13_any_imag,top14_any,top14_any_imag,rank14_any,rank14_any_imag,top15_any,top15_any_imag,rank15_any,rank15_any_imag,top16_any,top16_any_imag,rank16_any,rank16_any_imag,top17_any,top17_any_imag,rank17_any,rank17_any_imag,top18_any,top18_any_imag,rank18_any,rank18_any_imag,top19_any,top19_any_imag,rank19_any,rank19_any_imag,top20_any,top20_any_imag,rank20_any,rank20_any_imag,verifier_top1,verifier_top1_picked,verifier_pass1,random_pass1,verifier_top2,verifier_top2_picked,verifier_pass2,random_pass2,verifier_top3,verifier_top3_picked,verifier_pass3,random_pass3,verifier_top4,verifier_top4_picked,verifier_pass4,random_pass4,verifier_top5,verifier_top5_picked,verifier_pass5,random_pass5,oracle_pass1,oracle_pass2,oracle_pass3,oracle_pass4,oracle_pass5
Jackie_TS_01,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.793522,0.793522,1.0,1.0,0.784699,0.784699,1.0,1.0,0.757673,0.757673,1.0,1.0,0.748264,0.748264,1.0,1.0,0.53334,0.53334,1.0,1.0,0.481007,0.481007,1.0,1.0,0.46803,0.46803,1.0,1.0,0.467538,0.467538,1.0,1.0,0.465475,0.465475,1.0,1.0,0.456823,0.456823,1.0,1.0,0.451436,0.451436,1.0,1.0,0.403818,0.275009,1.0,1.0,0.389479,0.212983,1.0,1.0,0.388978,0.159488,1.0,1.0,0.367969,0.086496,1.0,1.0,0.362437,0.062565,1.0,1.0,0.361137,0.040201,1.0,1.0,0.360024,0.015492,1.0,1.0,1.0,0.552082,0.481007,0.481007,1.0,0.665974,1.0,1.0,1.0,0.742666,0.451436,0.451436,1.0,0.798184,0.784699,0.784699,1.0,0.839968,1.0,1.0,1.0,1.0,1.0
Jackie_TS_02,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974492,0.974492,1.0,1.0,0.974492,0.974492,1.0,1.0,0.974492,0.974492,1.0,1.0,0.660288,0.578755,1.0,1.0,0.638493,0.528211,1.0,1.0,0.638444,0.525211,1.0,1.0,0.619972,0.512492,1.0,1.0,0.580123,0.210066,1.0,1.0,0.578755,0.157003,1.0,1.0,0.528211,0.075157,1.0,1.0,0.525211,0.069112,1.0,1.0,0.512492,0.049719,1.0,1.0,0.494451,0.047041,1.0,1.0,0.473399,0.044999,1.0,1.0,0.317254,0.025968,0.0,0.0,0.0,0.0,0.525211,0.525211,0.525211,0.71003,0.974492,0.974492,0.974492,0.839966,0.512492,0.512492,0.974492,0.90787,0.974492,0.974492,0.974492,0.947497,0.974492,0.974492,0.974492,0.970724,1.0,1.0,1.0,1.0,1.0
Jackie_TS_03,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.189343,0.189343,1.0,1.0,0.189255,0.189255,1.0,1.0,0.189149,0.189149,1.0,1.0,0.188806,0.188806,1.0,1.0,0.188267,0.188267,1.0,1.0,0.188177,0.188177,1.0,1.0,0.187621,0.187621,1.0,1.0,0.187453,0.187453,1.0,1.0,0.187449,0.187449,1.0,1.0,0.187215,0.187215,1.0,1.0,0.187204,0.187204,1.0,1.0,0.186844,0.186844,1.0,1.0,0.186115,0.186115,0.187449,0.187449,0.187449,0.472145,1.0,1.0,1.0,0.666862,0.186844,0.186844,1.0,0.796491,1.0,1.0,1.0,0.880316,1.0,1.0,1.0,0.932688,1.0,1.0,1.0,1.0,1.0
Jackie_TS_04,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.926266,0.926266,1.0,1.0,0.903561,0.903561,1.0,1.0,0.870802,0.870802,1.0,1.0,0.860097,0.860097,1.0,1.0,0.773528,0.773528,1.0,1.0,0.765093,0.765093,1.0,1.0,0.730514,0.730514,1.0,1.0,0.686119,0.686119,1.0,1.0,0.684946,0.684946,1.0,1.0,0.682338,0.682338,1.0,1.0,0.664323,0.664323,1.0,1.0,0.656306,0.656306,1.0,1.0,0.626137,0.626137,1.0,1.0,0.606745,0.606745,1.0,1.0,0.584732,0.584732,1.0,1.0,0.578705,0.578705,1.0,1.0,0.522393,0.522393,1.0,1.0,0.514825,0.514825,0.686119,0.686119,0.686119,0.731871,0.870802,0.870802,0.870802,0.819177,0.926266,0.926266,0.926266,0.868229,0.656306,0.656306,0.926266,0.900714,0.664323,0.664323,0.926266,0.92379,1.0,1.0,1.0,1.0,1.0
Jackie_TS_05,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993976,0.993976,1.0,1.0,0.830974,0.760137,1.0,1.0,0.815297,0.426143,1.0,1.0,0.815149,0.083275,1.0,1.0,0.807976,0.059645,1.0,1.0,0.760137,0.047483,1.0,1.0,0.749107,0.045925,1.0,1.0,0.729297,0.041987,1.0,1.0,0.682232,0.040966,1.0,1.0,0.63862,0.037354,1.0,1.0,0.61609,0.032141,1.0,1.0,0.547802,0.028055,1.0,1.0,0.514005,0.028023,1.0,1.0,0.501004,0.022797,0.760137,0.760137,0.760137,0.800083,1.0,1.0,1.0,0.902153,1.0,1.0,1.0,0.947359,1.0,1.0,1.0,0.971036,1.0,1.0,1.0,0.984293,1.0,1.0,1.0,1.0,1.0
Jackie_TS_06,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.915109,0.915109,1.0,1.0,0.902436,0.902436,1.0,1.0,0.896304,0.896304,1.0,1.0,0.883484,0.883484,1.0,1.0,0.881965,0.881965,1.0,1.0,0.866126,0.866126,1.0,1.0,0.832832,0.832832,1.0,1.0,0.83247,0.83247,1.0,1.0,0.775841,0.775841,1.0,1.0,0.752522,0.752522,1.0,1.0,0.744245,0.744245,1.0,1.0,0.7139,0.7139,1.0,1.0,0.615808,0.615808,1.0,1.0,0.592975,0.592975,1.0,1.0,0.592975,0.592975,1.0,1.0,0.565785,0.565785,1.0,1.0,0.550079,0.550079,0.0,0.0,0.0,0.0,0.83247,0.83247,0.83247,0.784992,0.896304,0.896304,0.896304,0.869278,0.550079,0.550079,0.896304,0.907361,0.7139,0.7139,0.896304,0.928709,0.881965,0.881965,0.896304,0.94293,1.0,1.0,1.0,1.0,1.0
Jackie_TS_07,20,1.0,1.0,1.0,1.0,1.0,1.0,0.965744,0.965744,1.0,1.0,0.948655,0.948655,1.0,1.0,0.944204,0.944204,1.0,1.0,0.913196,0.913196,1.0,1.0,0.850949,0.850949,1.0,1.0,0.848165,0.848165,1.0,1.0,0.847953,0.847953,1.0,1.0,0.847122,0.847122,1.0,1.0,0.845389,0.845389,1.0,1.0,0.837728,0.837728,1.0,1.0,0.837388,0.837388,1.0,1.0,0.829787,0.829787,1.0,1.0,0.81706,0.81706,1.0,1.0,0.814678,0.814678,1.0,1.0,0.80477,0.80477,1.0,1.0,0.774116,0.774116,1.0,1.0,0.769725,0.769725,1.0,1.0,0.738574,0.738574,1.0,1.0,0.667706,0.667706,0.814678,0.814678,0.814678,0.845145,0.667706,0.667706,0.814678,0.889712,1.0,1.0,1.0,0.91273,0.774116,0.774116,1.0,0.929055,0.769725,0.769725,1.0,0.94165,1.0,1.0,1.0,1.0,1.0
Jackie_TS_08,20,0.950214,0.950214,0.950214,0.950214,0.950214,0.950214,0.946861,0.946861,0.950214,0.950214,0.936117,0.936117,0.950214,0.950214,0.923649,0.923649,0.950214,0.950214,0.920708,0.920708,0.950214,0.950214,0.919702,0.919702,0.950214,0.950214,0.911439,0.911439,0.950214,0.950214,0.896675,0.896675,0.950214,0.950214,0.882517,0.882517,0.950214,0.950214,0.88205,0.88205,0.950214,0.950214,0.852504,0.852504,0.950214,0.950214,0.84765,0.84765,0.950214,0.950214,0.847025,0.847025,0.950214,0.950214,0.845749,0.845749,0.950214,0.950214,0.830496,0.830496,0.950214,0.950214,0.80828,0.80828,0.950214,0.950214,0.778641,0.778641,0.950214,0.950214,0.649402,0.649402,0.950214,0.950214,0.62707,0.62707,0.950214,0.950214,0.566321,0.566321,0.923649,0.923649,0.923649,0.841154,0.919702,0.919702,0.923649,0.898517,0.896675,0.896675,0.923649,0.917031,0.88205,0.88205,0.923649,0.926367,0.84765,0.84765,0.923649,0.932201,0.950214,0.950214,0.950214,0.950214,0.950214
Jackie_TS_09,20,0.795213,0.795213,0.795213,0.795213,0.795213,0.795213,0.795213,0.795213,0.795213,0.795213,0.778001,0.778001,0.795213,0.795213,0.511695,0.311443,0.795213,0.795213,0.495929,0.307011,0.795213,0.795213,0.425174,0.295676,0.795213,0.795213,0.424199,0.125113,0.795213,0.795213,0.423384,0.115125,0.795213,0.795213,0.419161,0.096641,0.795213,0.795213,0.411415,0.037826,0.795213,0.795213,0.406362,0.004079,0.795213,0.795213,0.404809,0.0,0.795213,0.795213,0.343415,0.0,0.795213,0.795213,0.333916,0.0,0.795213,0.795213,0.311443,0.0,0.795213,0.795213,0.307011,0.0,0.795213,0.795213,0.306104,0.0,0.795213,0.795213,0.303317,0.0,0.795213,0.795213,0.297571,0.0,0.795213,0.795213,0.288058,0.0,0.307011,0.307011,0.307011,0.43907,0.778001,0.778001,0.778001,0.523465,0.311443,0.311443,0.778001,0.581215,0.297571,0.295676,0.778001,0.625099,0.795213,0.795213,0.795213,0.660288,0.795213,0.795213,0.795213,0.795213,0.795213
Jackie_TS_10,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565432,0.565432,1.0,1.0,0.555496,0.555496,1.0,1.0,0.548602,0.548602,1.0,1.0,0.543548,0.543548,1.0,1.0,0.541073,0.541073,1.0,1.0,0.538913,0.538913,1.0,1.0,0.537615,0.537615,1.0,1.0,0.537615,0.537615,1.0,1.0,0.537615,0.537615,1.0,1.0,0.513589,0.513589,1.0,1.0,0.460706,0.425236,1.0,1.0,0.431357,0.422844,1.0,1.0,0.425236,0.399237,1.0,1.0,0.422844,0.391324,1.0,1.0,0.399237,0.321609,1.0,1.0,0.391324,0.095085,1.0,1.0,0.331448,0.040468,1.0,1.0,0.309974,0.031648,0.331448,0.040468,0.331448,0.529581,1.0,1.0,1.0,0.615892,0.431357,0.321609,1.0,0.67054,0.513589,0.477063,1.0,0.714052,0.565432,0.401784,1.0,0.751963,1.0,1.0,1.0,1.0,1.0
