step,ts_label,mode_idx,freq,is_imag,bond_overlap,rxn_overlap,core_fraction,mode_rank,n_imag,n_modes_total,n_core_atoms,core_atoms,verifier_score,passes_verifier_filter,gt_alignment
Jackie_TS_01,iter1,0,-219.5843,1,0.8164,0.0286,0.889,0,1,93,4,"4,5,15,17",0.989056,0,0.015492
Jackie_TS_01,iter1,1,8.5845,0,0.0046,0.0608,0.0081,29,1,93,4,"4,5,15,17",0.004888,0,0.018798
Jackie_TS_01,iter1,2,27.65,0,0.0446,0.3446,0.2792,10,1,93,4,"4,5,15,17",0.063318,1,0.04681
Jackie_TS_01,iter1,3,35.9014,0,0.0409,0.0415,0.0609,13,1,93,4,"4,5,15,17",0.043116,0,0.04079
Jackie_TS_01,iter1,4,45.6477,0,0.024,0.2335,0.1152,22,1,93,4,"4,5,15,17",0.030286,1,0.05604
Jackie_TS_01,iter1,5,71.007,0,0.0445,0.1112,0.0978,11,1,93,4,"4,5,15,17",0.050416,1,0.008592
Jackie_TS_01,iter1,6,89.9478,0,0.027,0.0759,0.2646,19,1,93,4,"4,5,15,17",0.030587,0,0.299576
Jackie_TS_01,iter1,7,121.8841,0,0.0369,0.029,0.2423,14,1,93,4,"4,5,15,17",0.03981,0,0.010841
Jackie_TS_01,iter1,8,133.8828,0,0.0605,0.1092,0.2653,6,1,93,4,"4,5,15,17",0.070667,1,0.219066
Jackie_TS_01,iter1,9,143.238,0,0.0595,0.075,0.465,7,1,93,4,"4,5,15,17",0.069911,0,0.291496
Jackie_TS_01,iter1,13,262.3087,0,0.0258,0.0241,0.1038,20,1,93,4,"4,5,15,17",0.02697,0,0.031414
Jackie_TS_01,iter1,14,297.6206,0,0.0352,0.0364,0.4967,15,1,93,4,"4,5,15,17",0.040105,0,0.244904
Jackie_TS_01,iter1,17,367.1006,0,0.0276,0.0671,0.1583,18,1,93,4,"4,5,15,17",0.030384,0,0.237508
Jackie_TS_01,iter1,19,406.0205,0,0.0044,0.1248,0.3629,30,1,93,4,"4,5,15,17",0.005308,1,0.225006
Jackie_TS_01,iter1,20,444.9938,0,0.1511,0.0325,0.4723,4,1,93,4,"4,5,15,17",0.170748,0,0.019042
Jackie_TS_01,iter1,21,476.148,0,0.0327,0.0529,0.1644,16,1,93,4,"4,5,15,17",0.035562,0,0.065692
Jackie_TS_01,iter1,23,545.1814,0,0.2234,0.1186,0.4089,2,1,93,4,"4,5,15,17",0.270332,1,0.360024
Jackie_TS_01,iter1,29,729.9175,0,0.0487,0.0209,0.2111,8,1,93,4,"4,5,15,17",0.051817,0,0.088195
Jackie_TS_01,iter1,30,782.7452,0,0.0454,0.0417,0.0956,9,1,93,4,"4,5,15,17",0.048197,0,0.169956
Jackie_TS_01,iter1,34,866.9672,0,0.181,0.0519,0.2362,3,1,93,4,"4,5,15,17",0.199388,0,0.121515
Jackie_TS_01,iter1,36,890.959,0,0.0432,0.0547,0.0664,12,1,93,4,"4,5,15,17",0.046168,0,0.110668
Jackie_TS_01,iter1,38,916.968,0,0.0327,0.0362,0.0416,17,1,93,4,"4,5,15,17",0.034166,0,0.179093
Jackie_TS_01,iter1,39,921.6551,0,0.3279,0.0259,0.6519,1,1,93,4,"4,5,15,17",0.380251,0,0.013526
Jackie_TS_01,iter1,51,1139.9664,0,0.0082,0.0236,0.0158,27,1,93,4,"4,5,15,17",0.00842,0,0.050461
Jackie_TS_01,iter1,52,1149.5063,0,0.0237,0.0316,0.0453,23,1,93,4,"4,5,15,17",0.02467,0,0.082096
Jackie_TS_01,iter1,53,1170.1169,0,0.0254,0.0336,0.0275,21,1,93,4,"4,5,15,17",0.026398,0,0.070814
Jackie_TS_01,iter1,57,1215.4874,0,0.129,0.0323,0.3453,5,1,93,4,"4,5,15,17",0.142363,0,0.076106
Jackie_TS_01,iter1,59,1244.4736,0,0.0142,0.0227,0.0072,25,1,93,4,"4,5,15,17",0.014543,0,0.005197
Jackie_TS_01,iter1,66,1341.8852,0,0.0154,0.0545,0.1498,24,1,93,4,"4,5,15,17",0.016726,0,0.250437
