R_index,R_element,P_index,P_element
0,I,0,I
1,C,1,C
2,C,3,C
3,C,2,C
4,C,6,C
5,H,7,H
6,C,4,C
7,H,5,H
8,C,8,C
9,H,10,H
10,H,9,H
11,H,11,H
12,H,12,H
13,O,13,O
14,N,14,N
15,C,15,C
16,C,16,C
17,C,17,C
18,C,19,C
19,C,18,C
20,C,20,C
21,C,21,C
22,C,22,C
23,C,23,C
24,H,25,H
25,H,24,H
26,H,31,H
27,H,30,H
28,H,29,H
29,H,27,H
30,H,26,H
31,H,28,H
32,H,32,H
33,H,33,H
34,H,34,H
35,H,35,H
36,H,36,H
37,H,37,H
38,H,38,H
39,H,39,H
40,H,40,H
41,H,41,H
42,O,52,O
43,C,51,C
44,O,50,O
45,C,53,C
46,H,55,H
47,H,54,H
48,H,56,H
49,O,49,O
50,O,44,O
51,C,43,C
52,O,42,O
53,C,45,C
54,H,47,H
55,H,46,H
56,H,48,H
