index,recovered,binary,weighted,r_to_p,p_to_r,uncut,cut_only,completed_calls,candidate_outputs,mapping_errors,invalid_predictions,fully_swept_valid
0,True,True,False,True,False,False,True,276,282,0,0,True
1,True,True,True,True,True,True,True,140,149,0,0,True
2,True,True,True,True,True,True,True,214,430,0,0,True
3,True,True,True,True,True,True,True,166,168,0,0,True
4,True,True,True,True,True,True,True,130,153,0,0,True
5,False,False,False,False,False,False,False,112,128,0,0,True
6,True,True,True,True,True,True,True,68,78,0,0,True
7,False,False,False,False,False,False,False,316,519,0,0,True
8,True,True,False,True,True,False,True,132,210,0,0,True
9,True,True,False,True,True,False,True,134,145,0,0,True
10,True,True,True,True,True,True,True,320,793,0,0,True
11,True,True,True,True,True,True,True,112,124,0,0,True
12,True,True,True,True,True,True,True,300,739,0,0,True
13,True,True,True,True,True,True,True,198,227,0,0,True
14,True,True,True,True,True,True,True,124,242,0,0,True
15,True,True,True,True,True,True,True,124,218,0,0,True
16,True,True,False,True,True,True,True,166,1154,0,0,True
17,True,True,False,True,False,False,True,248,634,0,0,True
18,True,True,True,True,True,True,True,92,219,0,0,True
19,False,False,False,False,False,False,False,204,269,0,0,True
20,True,True,True,True,True,False,True,148,199,0,0,True
21,True,True,True,True,False,False,True,106,244,0,0,True
22,True,True,False,True,True,True,True,280,707,0,0,True
23,True,True,True,True,True,True,True,88,206,0,0,True
24,True,True,True,True,True,True,True,240,589,0,0,True
25,True,True,True,True,True,True,True,230,308,0,0,True
26,True,True,True,True,True,True,True,244,599,0,0,True
27,True,True,True,True,True,True,True,136,472,0,0,True
28,True,True,True,True,True,True,True,108,170,0,0,True
29,True,True,True,True,True,True,True,266,382,0,0,True
30,True,True,True,True,True,False,True,102,192,0,0,True
31,True,True,True,True,True,True,True,168,409,0,0,True
32,True,True,True,True,True,True,True,252,376,0,0,True
33,False,False,False,False,False,False,False,148,358,0,0,True
34,True,True,True,True,True,True,True,120,255,0,0,True
35,True,True,True,True,True,True,True,256,629,0,0,True
36,True,True,True,True,True,True,True,162,292,0,0,True
37,True,True,True,True,True,True,True,192,469,0,0,True
38,True,True,True,True,True,True,True,90,96,0,0,True
39,False,False,False,False,False,False,False,248,477,0,0,True
40,True,True,True,True,True,True,True,176,203,0,0,True
41,True,True,True,True,True,True,True,280,557,0,0,True
42,True,True,True,True,True,True,True,184,434,0,0,True
43,True,True,True,True,True,True,True,92,153,0,0,True
44,True,True,True,True,True,True,True,196,208,0,0,True
45,True,True,True,True,True,True,True,118,371,0,0,True
46,True,True,True,True,True,True,True,144,171,0,0,True
47,True,True,True,True,True,True,True,86,88,0,0,True
48,True,True,False,True,False,False,True,232,429,0,0,True
49,True,True,True,True,True,True,True,124,277,0,0,True
50,True,True,False,True,True,True,True,68,156,0,0,True
51,True,True,True,True,True,True,True,84,151,0,0,True
52,True,True,True,True,True,True,True,224,224,0,0,True
53,True,True,True,True,True,True,True,144,349,0,0,True
54,True,True,True,True,True,True,True,220,220,0,0,True
55,True,True,True,True,True,True,True,232,238,0,0,True
56,True,True,True,True,True,True,True,286,286,0,0,True
57,True,True,True,True,True,True,True,96,98,0,0,True
58,True,True,True,True,True,True,True,180,180,0,0,True
59,True,True,True,True,True,True,True,156,156,0,0,True
60,True,True,True,True,True,True,True,104,108,0,0,True
61,True,True,True,True,True,True,True,360,909,0,0,True
62,True,True,True,True,True,True,True,200,200,0,0,True
63,True,True,True,True,True,True,True,144,144,0,0,True
64,True,True,True,True,True,True,True,102,108,0,0,True
65,True,True,True,True,True,True,True,200,200,0,0,True
66,True,True,True,True,True,False,True,230,237,0,0,True
67,True,True,True,True,True,True,True,234,241,0,0,True
68,True,True,True,True,True,True,True,192,192,0,0,True
69,True,True,True,True,True,True,True,280,689,0,0,True
70,True,True,True,True,True,True,True,142,146,0,0,True
71,True,True,True,True,True,True,True,240,609,0,0,True
72,True,True,True,True,True,True,True,184,188,0,0,True
73,True,True,True,True,True,True,True,112,112,0,0,True
74,True,True,True,True,True,True,True,376,376,0,0,True
75,True,True,True,True,True,True,True,112,112,0,0,True
76,True,True,True,True,True,True,True,200,202,0,0,True
77,True,True,True,True,True,True,True,142,150,0,0,True
78,True,True,True,True,True,True,True,240,240,0,0,True
79,True,True,True,True,True,True,True,126,128,0,0,True
80,True,True,True,True,True,True,True,178,182,0,0,True
81,True,True,True,True,True,True,True,236,244,0,0,True
82,True,True,True,True,True,True,True,92,92,0,0,True
83,True,True,True,True,True,True,True,264,649,0,0,True
84,True,True,True,True,True,True,True,256,628,0,0,True
85,True,True,True,True,True,True,True,260,260,0,0,True
86,True,True,True,True,True,True,True,138,142,0,0,True
87,True,True,True,True,True,True,True,144,349,0,0,True
88,True,True,True,True,True,True,True,216,216,0,0,True
89,True,True,True,True,True,True,True,130,130,0,0,True
90,True,True,True,True,True,True,True,176,341,0,0,True
91,True,True,True,True,True,True,True,300,310,0,0,True
92,True,True,True,True,True,True,True,156,162,0,0,True
93,True,True,True,True,True,True,True,100,108,0,0,True
94,True,True,True,True,True,True,True,102,106,0,0,True
95,True,True,True,True,True,True,True,256,258,0,0,True
96,True,True,True,True,True,True,True,152,154,0,0,True
97,True,True,True,True,True,True,True,220,228,0,0,True
98,True,True,True,True,True,True,True,84,92,0,0,True
99,True,True,True,True,True,True,True,118,177,0,0,True
100,True,True,True,True,True,True,True,228,228,0,0,True
101,True,True,True,True,True,True,True,136,143,0,0,True
102,True,True,True,True,True,True,True,268,280,0,0,True
103,True,True,True,True,True,True,True,236,242,0,0,True
104,True,True,True,True,True,True,True,178,184,0,0,True
105,True,True,True,True,True,True,True,102,106,0,0,True
106,True,True,True,True,True,True,True,332,332,0,0,True
107,True,True,True,True,True,True,True,328,328,0,0,True
108,True,True,True,True,True,True,True,352,359,0,0,True
109,True,True,True,True,True,True,True,192,384,0,0,True
110,True,True,True,True,True,True,True,280,282,0,0,True
111,True,True,True,True,True,True,True,312,322,0,0,True
112,True,True,True,True,True,True,True,204,206,0,0,True
113,True,True,True,True,True,True,True,284,294,0,0,True
114,True,True,True,True,True,True,True,142,159,0,0,True
115,True,True,True,True,True,True,True,170,273,0,0,True
116,True,True,True,True,True,True,True,256,262,0,0,True
117,True,True,True,True,True,True,True,140,148,0,0,True
118,True,True,True,True,True,True,True,344,849,0,0,True
119,True,True,True,True,True,True,True,180,449,0,0,True
120,True,True,True,True,True,True,True,328,330,0,0,True
121,True,True,True,True,True,True,True,352,358,0,0,True
122,True,True,True,True,True,True,True,168,172,0,0,True
123,True,True,True,True,True,True,True,272,678,0,0,True
124,True,True,True,True,True,True,True,152,243,0,0,True
125,True,True,True,True,True,True,True,256,258,0,0,True
126,True,True,True,True,True,True,True,204,210,0,0,True
127,True,True,True,True,True,True,True,248,250,0,0,True
128,True,True,True,True,True,True,True,412,414,0,0,True
129,True,True,True,True,True,True,True,148,150,0,0,True
130,True,True,True,True,True,True,True,276,311,0,0,True
131,True,True,True,True,True,True,True,332,338,0,0,True
132,True,True,True,True,True,True,True,142,163,0,0,True
133,True,True,True,True,True,True,True,88,218,0,0,True
134,True,True,True,True,True,True,True,210,236,0,0,True
135,True,True,True,True,True,True,True,392,395,0,0,True
136,True,True,True,True,True,True,True,98,118,0,0,True
137,True,True,True,True,True,True,True,228,231,0,0,True
138,True,True,True,True,True,True,True,280,283,0,0,True
139,True,True,True,True,True,True,True,120,289,0,0,True
140,True,True,True,True,True,True,True,102,166,0,0,True
141,True,True,True,True,True,True,True,216,221,0,0,True
142,True,True,True,True,True,True,True,116,119,0,0,True
143,True,True,True,True,True,True,True,416,423,0,0,True
144,True,True,True,True,True,True,True,88,92,0,0,True
145,True,True,True,True,True,True,True,176,179,0,0,True
146,True,True,True,True,True,True,True,204,499,0,0,True
147,True,True,True,True,True,True,True,204,207,0,0,True
148,True,True,True,True,True,True,True,108,240,0,0,True
149,True,True,True,True,True,True,True,348,376,0,0,True
150,True,True,True,True,True,True,True,308,326,0,0,True
151,True,True,True,True,True,True,True,208,616,0,0,True
152,True,True,True,True,True,True,True,320,323,0,0,True
153,True,True,True,True,True,True,True,296,729,0,0,True
154,True,True,True,True,True,True,True,288,303,0,0,True
155,True,True,True,True,True,True,True,184,448,0,0,True
156,True,True,True,True,True,True,True,208,357,0,0,True
157,True,True,True,True,True,True,True,340,351,0,0,True
158,True,True,True,True,True,True,True,200,203,0,0,True
159,True,True,True,True,True,True,True,212,271,0,0,True
160,True,True,True,True,True,True,True,144,156,0,0,True
161,True,True,True,True,True,True,True,132,202,0,0,True
162,True,True,True,True,True,True,True,208,509,0,0,True
163,True,True,True,True,True,True,True,152,166,0,0,True
164,True,True,True,True,True,True,True,424,1046,0,0,True
