step_id,n_atoms,core_size,label,ts_file,n_imag,reaction_mode_freq,core_fraction,imag_core_freq,imag_core_fraction,error
Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-CD1-3.xyz,2,-291.496,0.8935851318944844,-291.496,0.8935851318944844,
Cyclobutane_JOC2023_updated_TS-CD_step1,46,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS-CD.xyz,2,-294.7119,0.7595286319278218,-294.7119,0.7595286319278218,
Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-D1D-3.xyz,2,2027.9477,0.9924456083803385,-191.3195,0.9099081102676788,
Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-D1G-3.xyz,2,-345.7002,0.9588819120923638,-345.7002,0.9588819120923638,
Jackie_TS_01,33,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_01.xyz,1,-322.5763,0.9201277955271565,-322.5763,0.9201277955271565,
Jackie_TS_02,23,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_02.xyz,2,-673.3442,0.8050719533058266,-673.3442,0.8050719533058266,
Jackie_TS_03,24,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_03.xyz,1,-401.4584,0.956565861579054,-401.4584,0.956565861579054,
Jackie_TS_04,61,8,groundtruth,ts_groundtruth_01_reference_ts_01_TS_04.xyz,1,-974.1001,0.818087318087318,-974.1001,0.818087318087318,
Jackie_TS_05,35,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_05.xyz,1,-288.5858,0.9779470729751403,-288.5858,0.9779470729751403,
Jackie_TS_06,77,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_06.xyz,1,-269.7516,0.6813219829744617,-269.7516,0.6813219829744617,
Jackie_TS_07,53,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_07.xyz,1,-336.4959,0.8542673107890499,-336.4959,0.8542673107890499,
Jackie_TS_08,37,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_08.xyz,1,-346.6502,0.8204949806182288,-346.6502,0.8204949806182288,
Jackie_TS_09,65,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_09.xyz,1,1794.7431,0.7897630710786765,-153.935,0.5000996214385336,
Jackie_TS_10,56,8,groundtruth,ts_groundtruth_01_reference_ts_01_TS_10.xyz,1,1818.1719,0.7030778515389259,-462.2327,0.6693087187719473,
Jackie_TS_11,38,7,groundtruth,ts_groundtruth_01_reference_ts_01_TS_11.xyz,2,1664.4896,0.9007127798413814,-509.642,0.5192940472629375,
Jackie_TS_12,35,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_12.xyz,1,2033.1483,0.9186081391860814,-200.0354,0.7528337847326714,
Jackie_TS_13,33,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_13.xyz,1,2364.9882,0.9956131605184446,-494.7349,0.9397879575915182,
Jackie_TS_14,36,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_14.xyz,1,2575.2888,0.9945989197839569,-434.89,0.922547160395249,
Jackie_TS_15,57,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_15.xyz,1,1030.6808,0.7260683334993526,-159.5069,0.4564804636754273,
Jackie_TS_16,29,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_16.xyz,1,-208.9266,0.7678784266984505,-208.9266,0.7678784266984505,
Jackie_TS_17,44,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_17.xyz,2,1479.602,0.7289945597420914,-379.8896,0.7171717171717172,
Jackie_TS_18,37,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_18.xyz,1,1234.2224,0.6200260599378571,-410.2019,0.5089778312769585,
Jackie_TS_19,51,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_19.xyz,3,-257.1694,0.864452423698384,-257.1694,0.864452423698384,
Jackie_TS_20,51,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_20.xyz,1,-526.9041,0.9511445842830246,-526.9041,0.9511445842830246,
pr1.tempo_ts1,26,0,groundtruth,ts_groundtruth_01_reference_ts_01_TS1.xyz,1,,,,,
pr1.tempo_ts10,57,5,groundtruth,ts_groundtruth_01_reference_ts_01_TS10.xyz,2,2601.6704,0.9849124924562462,-183.8061,0.34876573807871514,
pr1.tempo_ts2,29,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS2.xyz,1,2438.0404,0.9844564781387886,-108.7637,0.49493041749502975,
pr1.tempo_ts3,57,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS3.xyz,1,-824.1619,0.9370741482965932,-824.1619,0.9370741482965932,
pr1.tempo_ts4,57,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS4.xyz,1,2030.4793,0.9219815483353387,-85.5638,0.3399625873781628,
pr1.tempo_ts5,43,0,groundtruth,ts_groundtruth_01_reference_ts_01_TS5.xyz,1,,,,,
pr1.tempo_ts6,43,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS6.xyz,1,2324.0595,0.9766696705717433,-97.9077,0.3926885608114894,
pr1.tempo_ts8,65,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS8.xyz,1,-492.6042,0.7983151635282457,-492.6042,0.7983151635282457,
pr1.tempo_ts9,57,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS9.xyz,1,384.0421,0.29142398071901987,-56.8503,0.26616691654172914,
pr10.carborane_ts1,74,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS1.xyz,1,1302.2327,0.470028067361668,-89.0195,0.24116136677858982,
pr10.carborane_ts2,74,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS2.xyz,1,1153.7341,0.3006756756756756,-136.8887,0.2975115392333935,
pr10.carborane_ts3,74,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS3.xyz,1,1349.7649,0.648900933453779,-1102.178,0.25965406275140784,
pr11.cycloadditions_tsIIIa,64,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIIa.xyz,1,-150.43,0.5411164465786314,-150.43,0.5411164465786314,
pr11.cycloadditions_tsIIIb,64,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIIb.xyz,1,-165.5272,0.5184304399524375,-165.5272,0.5184304399524375,
pr11.cycloadditions_tsIIa,67,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIa.xyz,1,-22.5325,0.32891351672273894,-22.5325,0.32891351672273894,
pr11.cycloadditions_tsIIb,67,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIb.xyz,1,-207.6284,0.7855915934121451,-207.6284,0.7855915934121451,
pr11.cycloadditions_tsIVa,64,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IVa.xyz,1,-95.752,0.4505516752707764,-95.752,0.4505516752707764,
pr11.cycloadditions_tsIVb,64,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IVb.xyz,1,-133.8427,0.45145920190589633,-133.8427,0.45145920190589633,
