step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
Cyclobutane_JOC2023_updated_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,44,2,1,0,3,0(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
Jackie_TS_01,33,33,1,2,0,1,4(C)-17(O),4(C)-5(I);15(S)-17(O),0.11,
Jackie_TS_02,23,23,2,2,0,1,3(C)-7(N);6(N)-12(C),1(C)-7(N);6(N)-12(C),0.01,
Jackie_TS_03,24,24,2,1,0,1,10(C)-13(C);19(C)-21(C),0(C)-3(C),0.01,
Jackie_TS_04,61,59,3,4,0,1,0(Pd)-9(C);2(H)-26(O);6(O)-8(H),0(Pd)-26(O);1(O)-3(B);5(O)-29(H);16(C)-25(H),0.87,
Jackie_TS_05,35,35,2,2,-1,1,0(C)-19(C);1(O)-2(O),0(C)-2(O);1(O)-19(C),0.03,
Jackie_TS_06,77,74,8,11,0,1,5(C)-29(C);5(C)-33(C);5(C)-37(C);6(P)-8(C);15(C)-28(O);49(C)-50(H);49(C)-51(H);49(C)-52(H),2(Ni)-15(C);2(Ni)-28(O);3(P)-4(C);5(C)-37(C);6(P)-7(C);7(C)-53(C);7(C)-57(C);7(C)-61(C);61(C)-62(H);61(C)-63(H);61(C)-64(H),2.09,
Jackie_TS_07,53,53,1,1,0,1,5(C)-12(C),12(C)-15(C),0.02,
Jackie_TS_08,37,37,2,1,1,1,6(Pt)-8(C);6(Pt)-11(C),9(C)-11(C),0.03,
Jackie_TS_09,65,65,1,1,0,1,9(C)-10(C),10(C)-14(N),0.27,
Jackie_TS_10,56,56,4,4,0,1,0(C)-1(C);29(C)-37(N);29(C)-38(C);45(C)-49(C),0(C)-37(N);1(C)-40(C);29(C)-38(C);45(C)-49(C),0.02,
Jackie_TS_11,38,38,4,5,0,1,1(C)-2(C);4(C)-10(C);8(C)-9(C);12(C)-13(C),0(C)-5(C);3(C)-7(C);4(C)-10(C);7(C)-8(C);8(C)-9(C),0.02,
Jackie_TS_12,35,35,2,2,0,1,0(Ti)-10(N);13(C)-14(C),0(Ti)-14(C);10(N)-13(C),0.02,
Jackie_TS_13,33,32,2,2,0,1,2(N)-24(C);20(H)-22(O),2(N)-20(H);22(O)-24(C),0.25,
Jackie_TS_14,36,35,2,2,0,1,2(N)-22(C);29(O)-35(H),2(N)-35(H);22(C)-29(O),0.30,
Jackie_TS_15,57,57,2,1,0,1,0(Si)-11(H);9(O)-10(P),0(Si)-9(O),0.31,
Jackie_TS_16,29,29,1,1,1,1,27(O)-28(Br),10(C)-28(Br),0.01,
Jackie_TS_17,44,43,1,2,0,1,27(C)-29(H),2(C)-27(C);28(O)-43(H),0.73,
Jackie_TS_18,37,37,1,1,0,1,27(C)-30(C),26(C)-29(C),0.02,
Jackie_TS_19,51,51,1,1,0,1,2(C)-3(C),3(C)-38(C),0.02,
Jackie_TS_20,51,51,2,2,0,1,0(P)-44(O);1(C)-43(C),0(P)-1(C);43(C)-44(O),0.08,
pr1.tempo_ts1,26,26,0,0,0,1,,,0.04,
pr1.tempo_ts10,57,57,2,2,0,1,0(I)-12(O);13(C)-15(H),12(O)-13(C);15(H)-27(N),0.57,
pr1.tempo_ts2,29,29,1,2,0,1,22(O)-23(H),0(O)-10(I);26(O)-27(H),0.01,
pr1.tempo_ts3,57,56,1,1,0,1,12(H)-49(O),12(H)-14(N),1.07,
pr1.tempo_ts4,57,56,2,2,0,1,0(I)-13(O);54(O)-55(H),11(O)-25(I);55(O)-56(H),0.57,
pr1.tempo_ts5,43,43,0,0,0,1,,,0.04,
pr1.tempo_ts6,43,43,2,2,0,1,30(O)-41(I);33(O)-34(H),0(I)-13(O);40(O)-41(H),0.01,
pr1.tempo_ts8,65,65,2,2,0,1,11(O)-48(I);14(H)-19(O),0(I)-28(O);62(O)-63(H),0.57,
pr1.tempo_ts9,57,57,1,0,0,1,0(I)-28(O),,0.53,
pr10.carborane_ts1,74,74,2,2,1,1,48(C)-49(C);51(C)-52(C),48(C)-52(C);49(C)-50(C),1.16,
pr10.carborane_ts2,74,74,3,2,1,1,33(C)-44(C);48(C)-53(C);49(C)-50(C),33(C)-44(C);48(C)-53(C),1.62,
pr10.carborane_ts3,74,73,5,6,1,1,48(C)-52(C);48(C)-53(C);48(C)-73(H);49(C)-57(C);51(C)-52(C),48(C)-49(C);48(C)-52(C);48(C)-53(C);48(C)-73(H);49(C)-50(C);50(C)-61(C),1.50,
pr11.cycloadditions_tsIIIa,64,64,1,1,0,1,1(C)-12(C),4(C)-34(N),0.06,
pr11.cycloadditions_tsIIIb,64,64,1,1,0,1,1(C)-12(C),4(C)-34(N),0.06,
pr11.cycloadditions_tsIIa,67,67,0,1,0,1,,12(C)-25(C),0.07,
pr11.cycloadditions_tsIIb,67,67,0,1,0,1,,12(C)-25(C),0.07,
pr11.cycloadditions_tsIVa,64,64,0,1,0,1,,6(C)-10(C),0.06,
pr11.cycloadditions_tsIVb,64,64,0,1,0,1,,6(C)-10(C),0.06,
pr11.cycloadditions_tsIa,67,67,2,3,0,1,3(C)-4(C);6(C)-12(C),3(C)-4(C);8(C)-9(C);8(C)-38(N),0.07,
pr11.cycloadditions_tsIb,67,67,2,3,0,1,3(C)-4(C);6(C)-12(C),3(C)-4(C);8(C)-9(C);8(C)-38(N),0.07,
pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,123,1,2,-1,4,4(N)-6(N),0(Co)-18(N);20(N)-22(Si),5.63,
pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,134,3,14,-1,5,18(N)-20(N);40(C)-44(H);40(C)-46(H),85(Si)-134(N);87(Si)-113(C);87(Si)-121(C);87(Si)-129(C);87(Si)-134(N);113(C)-115(H);113(C)-117(H);113(C)-119(H);121(C)-123(H);121(C)-125(H);121(C)-127(H);129(C)-131(H);129(C)-133(H);129(C)-135(H),3.05,
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,140,20,23,-1,6,0(Co)-132(N);23(C)-27(C);36(C)-40(C);36(C)-48(C);43(C)-47(C);43(C)-55(C);56(C)-60(C);56(C)-68(C);87(Si)-113(C);87(Si)-121(C);87(Si)-129(C);96(C)-98(H);96(C)-100(H);96(C)-102(H);104(C)-106(H);104(C)-108(H);104(C)-110(H);116(C)-118(H);116(C)-120(H);116(C)-122(H),13(C)-17(C);13(C)-25(C);33(C)-37(C);36(C)-40(C);36(C)-48(C);56(C)-60(C);56(C)-68(C);61(C)-65(C);61(C)-73(C);81(C)-85(C);98(N)-100(Si);102(Si)-127(C);102(Si)-131(C);102(Si)-135(C);127(C)-128(H);127(C)-129(H);127(C)-130(H);131(C)-132(H);131(C)-133(H);131(C)-134(H);135(C)-136(H);135(C)-137(H);135(C)-138(H),4.21,
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,132,2,2,0,1,89(Pd)-91(C);130(N)-131(H),87(O)-132(H);91(C)-130(N),2.02,
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,131,3,2,0,1,86(O)-89(H);95(C)-97(C);97(C)-103(H),89(H)-97(C);97(C)-103(H),2.05,
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,132,2,2,0,1,88(Pd)-95(C);92(C)-99(H),88(H)-89(Pd);92(C)-93(C),2.10,
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,132,2,1,0,1,87(O)-89(Pd);88(H)-89(Pd),87(O)-88(H),2.14,
pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,90,1,1,0,1,77(O)-84(H),88(H)-89(Pd),2.73,
pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,90,1,1,0,1,77(O)-84(H),88(H)-89(Pd),2.72,
pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,105,104,2,3,0,1,88(H)-89(Pd);95(C)-96(C),89(Pd)-91(C);89(Pd)-93(C);95(C)-101(H),2.79,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),46(Fe)-58(Br),2.20,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-37(Br),1.72,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),46(Fe)-58(Br),1.68,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,16(Fe)-26(C),1.46,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,16(Fe)-24(C),1.63,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,16(Fe)-24(C),1.58,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,72,72,2,1,0,2,16(Fe)-26(C);16(Fe)-28(C),59(C)-61(C),1.82,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,72,72,2,1,0,4,16(Fe)-24(C);16(Fe)-26(C),59(C)-61(C),1.73,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,72,70,5,6,0,6,15(P)-44(C);16(Fe)-24(C);16(Fe)-26(C);56(C)-58(H);56(C)-59(H),3(P)-44(C);14(C)-19(C);44(C)-45(H);44(C)-46(H);44(C)-47(H);59(C)-61(C),1.72,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,70,70,2,1,0,2,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),1.98,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,70,70,2,1,0,4,12(Fe)-15(C);12(Fe)-26(C),51(C)-59(C),1.87,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,70,70,2,1,0,6,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),1.98,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),70(C)-72(C),1.81,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,83,81,4,6,0,3,12(Fe)-26(C);42(C)-44(H);42(C)-45(H);70(C)-71(O),21(C)-22(C);65(O)-66(C);66(C)-67(H);66(C)-68(H);66(C)-69(H);70(C)-72(C),1.63,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),70(C)-72(C),1.84,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-37(C),1.53,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-37(C),1.55,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,11(P)-12(Fe),12(Fe)-37(C),1.51,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,82,82,2,1,0,2,12(Fe)-26(C);12(Fe)-37(C),69(C)-71(C),1.67,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,82,82,2,1,0,4,12(Fe)-26(C);12(Fe)-37(C),69(C)-71(C),1.61,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult6,82,80,5,7,0,6,12(Fe)-15(C);12(Fe)-37(C);44(O)-45(C);54(C)-56(H);54(C)-57(H),0(Fe)-2(P);2(P)-26(C);64(O)-65(C);65(C)-66(H);65(C)-67(H);65(C)-68(H);69(C)-71(C),1.63,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),46(Fe)-58(Br),2.18,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-37(Br),1.72,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),46(Fe)-58(Br),1.68,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,16(Fe)-26(C),1.46,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,16(Fe)-24(C),1.63,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,16(Fe)-24(C),1.58,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),70(C)-72(C),1.81,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,83,81,4,6,0,3,12(Fe)-26(C);42(C)-44(H);42(C)-45(H);70(C)-71(O),21(C)-22(C);65(O)-66(C);66(C)-67(H);66(C)-68(H);66(C)-69(H);70(C)-72(C),1.64,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),70(C)-72(C),1.84,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-37(C),1.53,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-37(C),1.53,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,11(P)-12(Fe),12(Fe)-37(C),1.51,
pr16.carbocation_ts11,18,17,1,1,1,1,3(C)-10(H),2(C)-10(H),0.01,
pr16.carbocation_ts12,18,16,3,2,1,1,2(C)-10(H);12(C)-16(C);16(C)-17(H),15(C)-16(H);15(C)-17(H),0.01,
pr16.carbocation_ts2,18,18,0,0,1,1,,,0.01,
pr16.carbocation_ts3,18,18,0,1,1,1,,2(C)-8(C),0.01,
pr16.carbocation_ts4,18,18,0,0,1,1,,,0.01,
pr16.carbocation_ts5,18,18,3,1,1,1,1(C)-2(C);2(C)-6(C);8(C)-14(C),3(C)-12(C),0.01,
pr16.carbocation_ts7,18,18,2,3,1,1,4(C)-5(C);12(C)-13(H),1(C)-2(C);12(C)-16(C);14(C)-15(H),0.01,
pr16.carbocation_ts8,18,17,2,1,1,1,3(C)-10(H);12(C)-16(C),15(C)-17(H),0.01,
pr16.carbocation_ts9,18,18,1,1,1,1,14(C)-15(H),2(C)-11(H),0.01,
pr17.carbene.ins_ts6a,135,135,3,3,0,1,10(C)-22(Rh);22(Rh)-27(O);23(Rh)-30(O),0(Rh)-6(O);1(Rh)-2(O);82(C)-105(C),0.16,
pr17.carbene.ins_ts8,137,134,6,7,0,1,2(C)-10(C);13(C)-17(H);116(N)-118(C);117(C)-120(C);118(C)-121(O);135(N)-136(N),2(C)-10(C);10(C)-22(Rh);13(C)-17(H);116(N)-117(C);117(C)-119(O);118(C)-122(C);135(N)-136(N),0.15,
pr18.Au.alkyl_tsBC,86,85,2,1,1,1,21(C)-23(Au);64(C)-71(H),28(C)-29(H),0.09,
pr19.heck_ts1,54,54,4,4,0,1,0(C)-1(C);0(C)-4(C);3(C)-5(C);33(Pd)-34(C),0(C)-4(C);2(C)-24(C);3(C)-5(C);3(C)-45(Pd),0.04,
pr19.heck_ts9,54,54,1,1,0,1,5(C)-13(H),13(H)-45(Pd),0.04,
pr2.mbh_ts1,32,32,1,1,0,1,20(C)-21(C),5(C)-6(N),0.29,
pr2.mbh_ts2,48,48,1,1,0,1,32(C)-47(O),14(C)-15(C),0.36,
pr2.mbh_ts8,48,48,1,1,0,1,4(N)-20(C),0(C)-1(C),0.29,
pr3.Suzuki.Ni_ts11.TM,118,118,1,1,-1,2,100(B)-101(C),19(Ni)-102(C),2.97,
pr3.Suzuki.Ni_ts14.RE,98,98,2,1,-1,2,0(Ni)-1(C);0(Ni)-83(C),0(C)-30(C),3.12,
pr3.Suzuki.Ni_ts7.OA,99,99,1,0,-1,2,17(C)-35(O),,3.12,
