step_id,n_atoms,n_mapped,n_broken,n_formed,chirality_violations,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
Cyclobutane_JOC2023_updated_TS-CD_step1,46,44,3,1,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,44,2,1,1,0,3,0(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
Jackie_TS_01,33,32,1,2,3,0,1,4(C)-17(O),4(C)-5(I);15(S)-17(O),0.05,
Jackie_TS_02,23,23,2,2,0,0,1,3(C)-7(N);6(N)-12(C),1(C)-7(N);6(N)-12(C),0.01,
Jackie_TS_03,24,24,2,1,1,0,1,10(C)-13(C);19(C)-21(C),0(C)-3(C),0.02,
Jackie_TS_04,61,59,3,4,6,0,1,0(Pd)-9(C);2(H)-26(O);6(O)-8(H),0(Pd)-26(O);1(O)-3(B);4(O)-28(H);11(C)-19(H),3.22,
Jackie_TS_05,35,35,2,2,1,-1,1,0(C)-19(C);1(O)-2(O),0(C)-2(O);1(O)-19(C),0.02,
Jackie_TS_06,77,77,1,2,9,0,1,15(C)-28(O),2(Ni)-15(C);2(Ni)-28(O),15.90,
Jackie_TS_07,53,53,1,1,1,0,1,5(C)-12(C),12(C)-15(C),0.14,
Jackie_TS_08,37,37,2,1,2,1,1,6(Pt)-8(C);6(Pt)-11(C),9(C)-11(C),0.15,
Jackie_TS_09,65,65,1,1,2,0,1,9(C)-10(C),10(C)-14(N),0.27,
Jackie_TS_10,56,55,5,5,0,0,1,0(C)-4(C);1(C)-3(H);24(C)-29(C);29(C)-37(N);38(C)-40(C),0(C)-4(C);1(C)-3(H);24(C)-29(C);29(C)-37(N);38(C)-40(C),0.04,
Jackie_TS_11,38,37,3,3,1,0,1,1(C)-2(C);3(C)-4(C);5(C)-20(H),1(C)-2(C);2(C)-3(C);5(C)-20(H),0.03,
Jackie_TS_12,35,35,2,2,1,0,1,0(Ti)-10(N);13(C)-14(C),0(Ti)-14(C);10(N)-13(C),0.21,
Jackie_TS_13,33,32,2,2,1,0,1,2(N)-24(C);20(H)-22(O),2(N)-20(H);21(O)-24(C),0.14,
Jackie_TS_14,36,35,2,2,3,0,1,2(N)-22(C);29(O)-35(H),2(N)-35(H);22(C)-29(O),0.07,
Jackie_TS_15,57,56,2,1,2,0,1,0(Si)-11(H);9(O)-10(P),0(Si)-9(O),0.13,
Jackie_TS_16,29,28,1,1,0,1,1,27(O)-28(Br),10(C)-28(Br),0.01,
Jackie_TS_17,44,43,1,2,2,0,1,27(C)-29(H),2(C)-27(C);28(O)-43(H),0.23,
Jackie_TS_18,37,37,1,1,0,0,1,27(C)-28(C),26(C)-29(C),0.02,
Jackie_TS_19,51,51,1,1,2,0,1,2(C)-3(C),3(C)-38(C),0.03,
Jackie_TS_20,51,51,2,2,0,0,1,0(P)-44(O);1(C)-43(C),0(P)-1(C);43(C)-44(O),0.03,
pr1.tempo_ts1,26,26,0,0,0,0,1,,,0.01,
pr1.tempo_ts10,57,56,2,2,0,0,1,0(I)-12(O);13(C)-56(H),12(O)-13(C);15(H)-27(N),0.41,
pr1.tempo_ts2,29,28,1,2,0,0,1,22(O)-23(H),0(O)-10(I);26(O)-27(H),0.01,
pr1.tempo_ts3,57,56,1,1,2,0,1,12(H)-49(O),12(H)-14(N),3.44,
pr1.tempo_ts4,57,57,2,2,1,0,1,13(O)-14(N);53(C)-54(O),18(O)-19(C);29(N)-55(O),0.53,
pr1.tempo_ts5,43,43,0,0,0,0,1,,,0.02,
pr1.tempo_ts6,43,42,2,2,0,0,1,30(O)-41(I);33(O)-34(H),0(I)-13(O);40(O)-41(H),0.02,
pr1.tempo_ts8,65,65,2,2,2,0,1,11(O)-12(C);19(O)-20(N),28(O)-29(N);61(C)-62(O),0.49,
pr1.tempo_ts9,57,57,1,0,2,0,1,0(I)-28(O),,0.45,
pr10.carborane_ts1,74,73,2,2,3,1,1,0(B)-49(C);48(C)-73(H),0(B)-49(C);48(C)-73(H),4.08,
pr10.carborane_ts2,74,74,1,0,3,1,1,49(C)-50(C),,8.23,
pr10.carborane_ts3,74,74,2,2,1,1,1,48(C)-49(C);51(C)-52(C),48(C)-49(C);51(C)-52(C),3.22,
pr11.cycloadditions_tsIIIa,64,64,1,1,1,0,1,1(C)-12(C),4(C)-34(N),0.05,
pr11.cycloadditions_tsIIIb,64,64,1,1,1,0,1,1(C)-12(C),4(C)-34(N),0.05,
pr11.cycloadditions_tsIIa,67,67,0,1,3,0,1,,12(C)-25(C),0.35,
pr11.cycloadditions_tsIIb,67,67,0,1,3,0,1,,12(C)-25(C),0.35,
pr11.cycloadditions_tsIVa,64,64,0,1,2,0,1,,6(C)-10(C),0.10,
pr11.cycloadditions_tsIVb,64,64,0,1,2,0,1,,6(C)-10(C),0.10,
pr11.cycloadditions_tsIa,67,65,2,3,1,0,1,0(C)-1(O);4(C)-7(H),0(O)-1(C);8(C)-38(N);8(C)-65(H),0.04,
pr11.cycloadditions_tsIb,67,65,2,3,1,0,1,0(C)-1(O);4(C)-7(H),0(O)-1(C);8(C)-38(N);8(C)-65(H),0.04,
pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,123,1,2,5,-1,4,4(N)-6(N),0(Co)-18(N);20(N)-22(Si),33.89,
pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,136,1,1,6,-1,5,18(N)-20(N),87(Si)-134(N),34.20,
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,149,1,1,12,-1,6,0(Co)-132(N),98(N)-100(Si),33.19,
