step_id,n_atoms,n_mapped,n_broken,n_formed,chirality_violations,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
Cyclobutane_JOC2023_updated_TS-CD_step1,46,46,2,1,2,0,1,0(C)-8(N);1(C)-8(N),44(N)-45(N),0.03,
Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,46,1,1,1,0,3,0(C)-8(N),44(N)-45(N),0.02,
Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
Jackie_TS_01,33,33,1,2,3,0,1,4(C)-17(O),4(C)-5(I);15(S)-17(O),0.04,
Jackie_TS_02,23,23,2,2,1,0,1,1(C)-2(C);3(C)-7(N),1(C)-7(N);2(C)-3(C),0.02,
Jackie_TS_03,24,24,2,1,1,0,1,10(C)-13(C);19(C)-21(C),0(C)-3(C),0.01,
Jackie_TS_04,61,61,4,4,4,0,1,0(Pd)-9(C);1(O)-3(B);2(H)-26(O);6(O)-8(H),0(Pd)-26(O);1(O)-2(H);3(B)-6(O);7(H)-9(C),1.95,
Jackie_TS_05,35,35,2,2,1,-1,1,0(C)-19(C);1(O)-2(O),0(C)-2(O);1(O)-19(C),0.02,
Jackie_TS_06,77,77,1,2,9,0,1,15(C)-28(O),2(Ni)-15(C);2(Ni)-28(O),2.04,
Jackie_TS_07,53,53,1,1,1,0,1,5(C)-12(C),12(C)-15(C),0.14,
Jackie_TS_08,37,37,2,1,2,1,1,6(Pt)-8(C);6(Pt)-11(C),9(C)-11(C),0.19,
Jackie_TS_09,65,65,1,1,2,0,1,9(C)-10(C),10(C)-14(N),0.47,
Jackie_TS_10,56,56,3,3,0,0,1,0(C)-1(C);29(C)-37(N);38(C)-40(C),0(C)-37(N);1(C)-40(C);29(C)-38(C),0.02,
Jackie_TS_11,38,38,3,1,1,0,1,0(C)-5(C);1(C)-2(C);3(C)-4(C),2(C)-3(C),0.06,
Jackie_TS_12,35,35,2,2,1,0,1,0(Ti)-10(N);13(C)-14(C),0(Ti)-14(C);10(N)-13(C),0.37,
Jackie_TS_13,33,33,2,2,3,0,1,2(N)-24(C);20(H)-22(O),2(N)-20(H);22(O)-24(C),0.24,
Jackie_TS_14,36,36,2,2,4,0,1,2(N)-22(C);29(O)-35(H),2(N)-35(H);22(C)-29(O),0.17,
Jackie_TS_15,57,57,2,1,2,0,1,0(Si)-11(H);9(O)-10(P),0(Si)-9(O),0.15,
Jackie_TS_16,29,29,1,1,0,1,1,27(O)-28(Br),10(C)-28(Br),0.01,
Jackie_TS_17,44,44,1,2,3,0,1,27(C)-29(H),2(C)-27(C);28(O)-43(H),0.63,
Jackie_TS_18,37,37,1,1,0,0,1,27(C)-28(C),26(C)-29(C),0.02,
Jackie_TS_19,51,51,1,1,2,0,1,2(C)-3(C),3(C)-38(C),0.03,
Jackie_TS_20,51,51,2,2,0,0,1,0(P)-44(O);1(C)-43(C),0(P)-1(C);43(C)-44(O),0.03,
pr1.tempo_ts1,26,26,0,0,0,0,1,,,0.01,
pr1.tempo_ts10,57,57,2,2,1,0,1,0(I)-12(O);13(C)-56(H),12(O)-13(C);15(H)-27(N),0.79,
pr1.tempo_ts2,29,29,2,2,1,0,1,11(O)-12(C);22(O)-23(H),0(O)-20(H);25(C)-26(O),0.01,
pr1.tempo_ts3,57,57,1,1,4,0,1,12(H)-49(O),12(H)-14(N),1.91,
pr1.tempo_ts4,57,57,2,2,3,0,1,13(O)-14(N);53(C)-54(O),18(O)-19(C);29(N)-55(O),0.62,
pr1.tempo_ts5,43,43,0,0,0,0,1,,,0.02,
pr1.tempo_ts6,43,43,2,2,1,0,1,30(O)-41(I);33(O)-34(H),0(I)-13(O);40(O)-41(H),0.04,
pr1.tempo_ts8,65,65,2,2,2,0,1,11(O)-12(C);19(O)-20(N),28(O)-29(N);61(C)-62(O),1.07,
pr1.tempo_ts9,57,57,1,0,4,0,1,0(I)-28(O),,1.25,
pr10.carborane_ts1,74,74,1,2,4,1,1,0(B)-52(C),0(B)-50(C);51(C)-52(C),1.40,
pr10.carborane_ts2,74,74,1,0,4,1,1,49(C)-50(C),,1.37,
pr10.carborane_ts3,74,74,2,2,1,1,1,48(C)-73(H);51(C)-52(C),48(C)-73(H);51(C)-52(C),1.48,
pr11.cycloadditions_tsIIIa,64,64,1,1,1,0,1,1(C)-12(C),4(C)-34(N),0.05,
pr11.cycloadditions_tsIIIb,64,64,1,1,1,0,1,1(C)-12(C),4(C)-34(N),0.05,
pr11.cycloadditions_tsIIa,67,67,0,1,3,0,1,,12(C)-25(C),0.37,
pr11.cycloadditions_tsIIb,67,67,0,1,3,0,1,,12(C)-25(C),0.37,
pr11.cycloadditions_tsIVa,64,64,0,1,2,0,1,,6(C)-10(C),0.11,
pr11.cycloadditions_tsIVb,64,64,0,1,2,0,1,,6(C)-10(C),0.11,
pr11.cycloadditions_tsIa,67,67,1,1,1,0,1,4(C)-5(C),8(C)-38(N),0.04,
pr11.cycloadditions_tsIb,67,67,1,1,1,0,1,4(C)-5(C),8(C)-38(N),0.04,
pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,123,1,2,7,-1,4,4(N)-6(N),0(Co)-18(N);20(N)-22(Si),3.44,
pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,136,1,1,9,-1,5,18(N)-20(N),87(Si)-134(N),4.72,
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,149,1,1,12,-1,6,0(Co)-132(N),98(N)-100(Si),5.20,
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_TS-CD_step1,46,46,2,1,2,0,1,0(C)-8(N);1(C)-8(N),44(N)-45(N),0.04,
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,133,2,2,4,0,1,89(Pd)-91(C);130(N)-132(H),87(O)-132(H);91(C)-130(N),2.94,
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,133,2,1,4,0,1,86(O)-89(H);95(C)-97(C),89(H)-97(C),3.83,
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,133,2,2,1,0,1,88(Pd)-95(C);92(C)-99(H),88(H)-89(Pd);92(C)-93(C),1.89,
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,133,2,1,2,0,1,87(O)-89(Pd);88(H)-89(Pd),87(O)-88(H),1.47,
pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,90,1,1,0,0,1,77(O)-84(H),88(H)-89(Pd),1.90,
pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,90,1,1,0,0,1,77(O)-84(H),88(H)-89(Pd),1.91,
