dataset,index,variant,recovery,searches_complete,compute_cpu_seconds,best_events
golden,0,seeds2,recovered,True,155.06009022899997,
golden,0,seeds10,recovered,True,760.5901194840001,
golden,1,seeds2,recovered,True,6.260192766,
golden,1,seeds10,recovered,True,24.356131474,
golden,2,seeds2,recovered,True,16.23649071,
golden,2,seeds10,recovered,True,58.612129817,
golden,3,seeds2,recovered,True,4.934568861000001,
golden,3,seeds10,recovered,True,18.93137201,
golden,4,seeds2,recovered,True,6.741224084000001,
golden,4,seeds10,recovered,True,23.602022513,
golden,5,seeds2,recovered,True,2.249047338,
golden,5,seeds10,recovered,True,7.172493429000001,
golden,6,seeds2,recovered,True,1.144749927,
golden,6,seeds10,recovered,True,1.9635179580000002,
golden,7,seeds2,not_recovered,True,36.36584678,
golden,7,seeds10,not_recovered,True,132.81632839899999,
golden,8,seeds2,recovered,True,7.789464000000001,
golden,8,seeds10,recovered,True,24.874343300000007,
golden,9,seeds2,recovered,True,3.647675619,
golden,9,seeds10,recovered,True,12.024589522000001,
golden,10,seeds2,recovered,True,17.153203267,
golden,10,seeds10,recovered,True,62.469150379999995,
golden,11,seeds2,recovered,True,4.689166416999999,
golden,11,seeds10,recovered,True,17.844769938,
golden,12,seeds2,recovered,True,13.583589612,
golden,12,seeds10,recovered,True,38.871325664,
golden,13,seeds2,recovered,True,19.827721933,
golden,13,seeds10,recovered,True,77.625282698,
golden,14,seeds2,recovered,True,3.9450114949999997,
golden,14,seeds10,recovered,True,14.334629097,
golden,15,seeds2,recovered,True,4.111824658999999,
golden,15,seeds10,recovered,True,10.613496249,
golden,16,seeds2,recovered,True,20.784416876,
golden,16,seeds10,recovered,True,86.675229462,
golden,17,seeds2,recovered,True,128.02121333399998,
golden,17,seeds10,recovered,True,644.4799580040001,
golden,18,seeds2,recovered,True,1.54023835,
golden,18,seeds10,recovered,True,3.3413111420000003,
golden,19,seeds2,not_recovered,True,81.688681283,
golden,19,seeds10,unknown,True,376.043178039,
golden,20,seeds2,recovered,True,10.021631807,
golden,20,seeds10,recovered,True,39.062661485999996,
golden,21,seeds2,recovered,True,4.115092806,
golden,21,seeds10,recovered,True,13.229490406,
golden,22,seeds2,recovered,True,10.465527081,
