JobID|State|ExitCode|ElapsedRaw|TotalCPU|CPUTimeRAW|AllocCPUS|MaxRSS|NodeList
452980_0|CANCELLED by 7711|0:0|379|00:00:00|6064|16||bosque20
452980_1|COMPLETED|0:0|33|00:03.802|528|16||bosque20
452980_1.batch|COMPLETED|0:0|33|00:03.799|528|16|3456K|bosque20
452980_1.extern|COMPLETED|0:0|34|00:00.003|544|16|4K|bosque20
452980_2|COMPLETED|0:0|39|00:27.033|624|16||bosque20
452980_2.batch|COMPLETED|0:0|39|00:27.030|624|16|3456K|bosque20
452980_2.extern|COMPLETED|0:0|39|00:00.003|624|16|4K|bosque20
452980_3|COMPLETED|0:0|40|00:41.839|640|16||bosque20
452980_3.batch|COMPLETED|0:0|40|00:41.836|640|16|3336K|bosque20
452980_3.extern|COMPLETED|0:0|40|00:00.003|640|16|4K|bosque20
452980_4|COMPLETED|0:0|39|00:05.682|624|16||bosque26
452980_4.batch|COMPLETED|0:0|39|00:05.679|624|16|3296K|bosque26
452980_4.extern|COMPLETED|0:0|39|00:00.003|624|16|4K|bosque26
452980_5|COMPLETED|0:0|35|00:08.354|560|16||bosque26
452980_5.batch|COMPLETED|0:0|35|00:08.351|560|16|3524K|bosque26
452980_5.extern|COMPLETED|0:0|35|00:00.003|560|16|4K|bosque26
452980_6|COMPLETED|0:0|36|00:27.221|576|16||bosque26
452980_6.batch|COMPLETED|0:0|36|00:27.218|576|16|3488K|bosque26
452980_6.extern|COMPLETED|0:0|37|00:00.003|592|16|4K|bosque26
452980_7|COMPLETED|0:0|35|00:16.824|560|16||bosque26
452980_7.batch|COMPLETED|0:0|35|00:16.821|560|16|3320K|bosque26
452980_7.extern|COMPLETED|0:0|35|00:00.003|560|16|4K|bosque26
452980_8|COMPLETED|0:0|39|00:28.678|624|16||bosque56
452980_8.batch|COMPLETED|0:0|39|00:28.674|624|16|3348K|bosque56
452980_8.extern|COMPLETED|0:0|39|00:00.003|624|16|4K|bosque56
452980_9|COMPLETED|0:0|42|00:23.808|672|16||bosque56
452980_9.batch|COMPLETED|0:0|42|00:23.805|672|16|3368K|bosque56
452980_9.extern|COMPLETED|0:0|42|00:00.003|672|16|4K|bosque56
452980_10|COMPLETED|0:0|37|00:08.918|592|16||bosque56
452980_10.batch|COMPLETED|0:0|37|00:08.914|592|16|3368K|bosque56
452980_10.extern|COMPLETED|0:0|37|00:00.003|592|16|304K|bosque56
452980_11|COMPLETED|0:0|39|00:10.837|624|16||bosque56
452980_11.batch|COMPLETED|0:0|39|00:10.834|624|16|3396K|bosque56
452980_11.extern|COMPLETED|0:0|39|00:00.003|624|16|4K|bosque56
452980_12|COMPLETED|0:0|56|01:04.273|896|16||bosque67
452980_12.batch|COMPLETED|0:0|56|01:04.270|896|16|3364K|bosque67
452980_12.extern|COMPLETED|0:0|56|00:00.003|896|16|4K|bosque67
452980_13|COMPLETED|0:0|47|01:13.176|752|16||bosque67
452980_13.batch|COMPLETED|0:0|47|01:13.173|752|16|3404K|bosque67
452980_13.extern|COMPLETED|0:0|47|00:00.003|752|16|4K|bosque67
452980_14|COMPLETED|0:0|42|00:45.408|672|16||bosque67
452980_14.batch|COMPLETED|0:0|42|00:45.404|672|16|3456K|bosque67
452980_14.extern|COMPLETED|0:0|42|00:00.003|672|16|4K|bosque67
452980_15|COMPLETED|0:0|37|00:40.721|592|16||bosque67
452980_15.batch|COMPLETED|0:0|37|00:40.717|592|16|3412K|bosque67
452980_15.extern|COMPLETED|0:0|37|00:00.003|592|16|4K|bosque67
452980_16|COMPLETED|0:0|33|00:18.405|528|16||bosque44
452980_16.batch|COMPLETED|0:0|33|00:18.401|528|16|3308K|bosque44
452980_16.extern|COMPLETED|0:0|34|00:00.003|544|16|4K|bosque44
452980_17|COMPLETED|0:0|33|00:15.967|528|16||bosque44
452980_17.batch|COMPLETED|0:0|33|00:15.964|528|16|3444K|bosque44
452980_17.extern|COMPLETED|0:0|33|00:00.003|528|16|1036K|bosque44
452980_18|COMPLETED|0:0|50|01:18.202|800|16||bosque44
452980_18.batch|COMPLETED|0:0|50|01:18.198|800|16|3388K|bosque44
452980_18.extern|COMPLETED|0:0|50|00:00.003|800|16|4K|bosque44
452980_19|COMPLETED|0:0|40|00:45.698|640|16||bosque44
452980_19.batch|COMPLETED|0:0|40|00:45.694|640|16|3444K|bosque44
452980_19.extern|COMPLETED|0:0|40|00:00.003|640|16|4K|bosque44
452980_20|COMPLETED|0:0|40|00:24.738|640|16||bosque44
452980_20.batch|COMPLETED|0:0|40|00:24.734|640|16|3356K|bosque44
452980_20.extern|COMPLETED|0:0|40|00:00.003|640|16|4K|bosque44
452980_21|CANCELLED by 7711|0:0|379|00:00:00|6064|16||bosque46
452980_22|COMPLETED|0:0|71|03:58.351|1136|16||bosque46
452980_22.batch|COMPLETED|0:0|71|03:58.347|1136|16|1082332K|bosque46
452980_22.extern|COMPLETED|0:0|72|00:00.003|1152|16|988K|bosque46
452980_23|COMPLETED|0:0|46|00:29.316|736|16||bosque46
452980_23.batch|COMPLETED|0:0|46|00:29.313|736|16|3516K|bosque46
452980_23.extern|COMPLETED|0:0|46|00:00.003|736|16|300K|bosque46
452980_24|COMPLETED|0:0|50|00:47.503|800|16||bosque46
452980_24.batch|COMPLETED|0:0|50|00:47.499|800|16|3528K|bosque46
452980_24.extern|COMPLETED|0:0|50|00:00.003|800|16|4K|bosque46
452980_25|COMPLETED|0:0|73|02:33.204|1168|16||bosque46
452980_25.batch|COMPLETED|0:0|73|02:33.200|1168|16|813680K|bosque46
452980_25.extern|COMPLETED|0:0|74|00:00.003|1184|16|1008K|bosque46
452980_26|COMPLETED|0:0|45|00:48.526|720|16||bosque70
452980_26.batch|COMPLETED|0:0|45|00:48.522|720|16|3304K|bosque70
452980_26.extern|COMPLETED|0:0|45|00:00.003|720|16|4K|bosque70
452980_27|COMPLETED|0:0|64|02:33.526|1024|16||bosque70
452980_27.batch|COMPLETED|0:0|64|02:33.523|1024|16|720912K|bosque70
452980_27.extern|COMPLETED|0:0|65|00:00.003|1040|16|1020K|bosque70
452980_28|COMPLETED|0:0|33|00:11.169|528|16||bosque70
452980_28.batch|COMPLETED|0:0|33|00:11.166|528|16|3520K|bosque70
452980_28.extern|COMPLETED|0:0|33|00:00.003|528|16|1028K|bosque70
452980_29|COMPLETED|0:0|43|00:22.283|688|16||bosque70
452980_29.batch|COMPLETED|0:0|43|00:22.280|688|16|3512K|bosque70
452980_29.extern|COMPLETED|0:0|43|00:00.003|688|16|4K|bosque70
452980_30|COMPLETED|0:0|36|00:11.489|576|16||bosque70
452980_30.batch|COMPLETED|0:0|36|00:11.486|576|16|3292K|bosque70
452980_30.extern|COMPLETED|0:0|36|00:00.003|576|16|4K|bosque70
452980_31|COMPLETED|0:0|40|00:22.822|640|16||bosque72
452980_31.batch|COMPLETED|0:0|40|00:22.819|640|16|3320K|bosque72
452980_31.extern|COMPLETED|0:0|40|00:00.003|640|16|4K|bosque72
452980_32|COMPLETED|0:0|16|00:12.805|256|16||bosque67
452980_32.batch|COMPLETED|0:0|16|00:12.801|256|16|3224K|bosque67
452980_32.extern|COMPLETED|0:0|16|00:00.003|256|16|4K|bosque67
452980_33|COMPLETED|0:0|11|00:15.585|176|16||bosque70
452980_33.batch|COMPLETED|0:0|11|00:15.581|176|16|3512K|bosque70
452980_33.extern|COMPLETED|0:0|11|00:00.003|176|16|4K|bosque70
452980_34|COMPLETED|0:0|12|00:12.909|192|16||bosque70
452980_34.batch|COMPLETED|0:0|12|00:12.906|192|16|3384K|bosque70
452980_34.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque70
452980_35|COMPLETED|0:0|8|00:15.153|128|16||bosque20
452980_35.batch|COMPLETED|0:0|8|00:15.150|128|16|3504K|bosque20
452980_35.extern|COMPLETED|0:0|8|00:00.003|128|16|4K|bosque20
452980_36|COMPLETED|0:0|15|00:54.784|240|16||bosque20
452980_36.batch|COMPLETED|0:0|15|00:54.781|240|16|3424K|bosque20
452980_36.extern|COMPLETED|0:0|15|00:00.003|240|16|4K|bosque20
452980_37|COMPLETED|0:0|16|00:30.229|256|16||bosque20
452980_37.batch|COMPLETED|0:0|16|00:30.226|256|16|3388K|bosque20
452980_37.extern|COMPLETED|0:0|16|00:00.003|256|16|4K|bosque20
452980_38|COMPLETED|0:0|21|00:54.779|336|16||bosque56
452980_38.batch|COMPLETED|0:0|21|00:54.776|336|16|3252K|bosque56
452980_38.extern|COMPLETED|0:0|21|00:00.003|336|16|4K|bosque56
452980_39|COMPLETED|0:0|17|00:29.684|272|16||bosque56
452980_39.batch|COMPLETED|0:0|17|00:29.681|272|16|3364K|bosque56
452980_39.extern|COMPLETED|0:0|17|00:00.003|272|16|4K|bosque56
452980_40|COMPLETED|0:0|13|00:07.168|208|16||bosque56
452980_40.batch|COMPLETED|0:0|13|00:07.164|208|16|3308K|bosque56
452980_40.extern|COMPLETED|0:0|13|00:00.003|208|16|4K|bosque56
452980_41|COMPLETED|0:0|12|00:06.079|192|16||bosque26
452980_41.batch|COMPLETED|0:0|12|00:06.075|192|16|3232K|bosque26
452980_41.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque26
452980_42|COMPLETED|0:0|13|00:06.638|208|16||bosque26
452980_42.batch|COMPLETED|0:0|13|00:06.635|208|16|3372K|bosque26
452980_42.extern|COMPLETED|0:0|13|00:00.003|208|16|3352K|bosque26
452980_43|COMPLETED|0:0|13|00:09.485|208|16||bosque26
452980_43.batch|COMPLETED|0:0|13|00:09.482|208|16|3452K|bosque26
452980_43.extern|COMPLETED|0:0|13|00:00.003|208|16|300K|bosque26
452980_44|COMPLETED|0:0|9|00:05.872|144|16||bosque26
452980_44.batch|COMPLETED|0:0|9|00:05.869|144|16|3340K|bosque26
452980_44.extern|COMPLETED|0:0|9|00:00.003|144|16|4K|bosque26
452980_45|COMPLETED|0:0|17|00:10.243|272|16||bosque44
452980_45.batch|COMPLETED|0:0|17|00:10.239|272|16|3392K|bosque44
452980_45.extern|COMPLETED|0:0|17|00:00.003|272|16|4K|bosque44
452980_46|COMPLETED|0:0|10|00:06.963|160|16||bosque44
452980_46.batch|COMPLETED|0:0|10|00:06.960|160|16|3504K|bosque44
452980_46.extern|COMPLETED|0:0|10|00:00.003|160|16|4K|bosque44
452980_47|COMPLETED|0:0|11|00:06.107|176|16||bosque44
452980_47.batch|COMPLETED|0:0|11|00:06.103|176|16|3528K|bosque44
452980_47.extern|COMPLETED|0:0|11|00:00.003|176|16|4K|bosque44
452980_48|COMPLETED|0:0|12|00:05.866|192|16||bosque44
452980_48.batch|COMPLETED|0:0|12|00:05.863|192|16|3304K|bosque44
452980_48.extern|COMPLETED|0:0|12|00:00.003|192|16|304K|bosque44
452980_49|COMPLETED|0:0|14|00:10.463|224|16||bosque72
452980_49.batch|COMPLETED|0:0|14|00:10.460|224|16|3412K|bosque72
452980_49.extern|COMPLETED|0:0|15|00:00.003|240|16|4K|bosque72
452980_50|CANCELLED by 7711|0:0|319|00:00:00|5104|16||bosque46
452980_51|CANCELLED by 7711|0:0|319|00:00:00|5104|16||bosque46
452980_52|COMPLETED|0:0|65|06:58.723|1040|16||bosque20
