index,name,aam_saved_min_events,slap_saved_family_min_events,shared_best_heavy_pattern,aam_broken,aam_formed,aam_order_changed,slap_broken,slap_formed,slap_order_changed
0,pr1.tempo_ts1,0,0,True,0,0,0,0,0,0
1,pr1.tempo_ts10,6,6,True,4,1,1,4,1,1
2,pr1.tempo_ts2,4,4,True,2,1,1,2,1,1
3,pr1.tempo_ts3,2,2,True,1,1,0,1,1,0
4,pr1.tempo_ts4,4,4,True,2,2,0,2,2,0
5,pr1.tempo_ts5,1,1,True,0,1,0,0,1,0
6,pr1.tempo_ts6,4,4,True,2,1,1,2,1,1
7,pr1.tempo_ts8,4,4,True,2,1,1,2,1,1
8,pr1.tempo_ts9,2,2,True,0,1,1,0,1,1
9,pr10.carborane_ts1,4,4,True,2,0,2,2,0,2
10,pr10.carborane_ts2,1,1,True,1,0,0,1,0,0
11,pr10.carborane_ts3,4,4,True,2,2,0,2,2,0
12,pr11.cycloadditions_tsIIIa,4,4,True,1,2,1,1,2,1
13,pr11.cycloadditions_tsIIIb,4,4,True,1,2,1,1,2,1
14,pr11.cycloadditions_tsIIa,1,1,True,0,1,0,0,1,0
15,pr11.cycloadditions_tsIIb,1,1,True,0,1,0,0,1,0
16,pr11.cycloadditions_tsIVa,3,3,True,1,2,0,1,2,0
17,pr11.cycloadditions_tsIVb,3,3,True,1,2,0,1,2,0
18,pr11.cycloadditions_tsIa,2,2,True,0,1,1,0,1,1
19,pr11.cycloadditions_tsIb,2,2,True,0,1,1,0,1,1
20,pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,2,2,True,1,0,1,1,0,1
21,pr13.Cyclobutane_JOC2023_TS-CD_step1,4,4,True,2,1,1,2,1,1
22,pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,2,2,True,0,1,1,0,1,1
23,pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,2,2,True,1,0,1,1,0,1
24,pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,2,2,True,0,1,1,0,1,1
25,pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,5,5,True,3,2,0,3,2,0
26,pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,6,6,False,2,3,1,2,3,1
27,pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,4,4,False,2,1,1,2,1,1
28,pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,4,4,False,3,1,0,3,1,0
29,pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,5,5,True,1,3,1,1,3,1
30,pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,5,5,True,1,3,1,1,3,1
31,pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,7,9,False,2,4,1,3,5,1
32,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,2,2,True,1,1,0,1,1,0
33,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,2,2,True,1,1,0,1,1,0
34,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,2,2,True,1,1,0,1,1,0
35,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,1,1,True,0,1,0,0,1,0
36,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,1,1,True,0,1,0,0,1,0
37,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,2,2,True,1,1,0,1,1,0
38,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,3,3,True,2,1,0,2,1,0
39,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,3,3,True,2,1,0,2,1,0
40,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,4,4,True,2,2,0,2,2,0
41,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,3,3,True,2,1,0,2,1,0
42,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,3,3,True,2,1,0,2,1,0
43,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,3,3,True,2,1,0,2,1,0
44,pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,2,2,True,1,1,0,1,1,0
45,pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,2,2,True,1,1,0,1,1,0
46,pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,1,1,True,0,1,0,0,1,0
47,pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,2,2,True,1,1,0,1,1,0
48,pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,3,3,True,2,1,0,2,1,0
49,pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,3,3,True,2,1,0,2,1,0
50,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,2,2,True,1,1,0,1,1,0
51,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,2,2,True,1,1,0,1,1,0
52,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,1,1,True,0,1,0,0,1,0
53,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,1,1,True,0,1,0,0,1,0
54,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,2,2,True,1,1,0,1,1,0
55,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,2,2,True,1,1,0,1,1,0
56,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,2,2,True,1,1,0,1,1,0
57,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,1,1,True,0,1,0,0,1,0
58,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,2,2,True,1,1,0,1,1,0
59,pr16.carbocation_ts11,2,4,False,1,1,0,2,2,0
60,pr16.carbocation_ts12,3,3,True,1,1,1,1,1,1
61,pr16.carbocation_ts2,0,0,True,0,0,0,0,0,0
62,pr16.carbocation_ts3,1,1,True,0,1,0,0,1,0
63,pr16.carbocation_ts4,0,0,True,0,0,0,0,0,0
64,pr16.carbocation_ts5,5,9,False,1,2,2,3,4,2
65,pr16.carbocation_ts7,5,5,True,3,1,1,3,1,1
66,pr16.carbocation_ts8,3,3,True,1,1,1,1,1,1
67,pr16.carbocation_ts9,2,2,True,1,1,0,1,1,0
68,pr17.carbene.ins_ts6a,6,6,False,5,1,0,5,1,0
69,pr17.carbene.ins_ts8,5,6,False,2,2,1,2,2,2
70,pr18.Au.alkyl_tsBC,3,3,True,2,1,0,2,1,0
71,pr19.heck_ts1,4,4,True,1,2,1,1,2,1
72,pr19.heck_ts9,4,4,True,2,2,0,2,2,0
73,pr2.mbh_ts1,2,2,True,0,1,1,0,1,1
74,pr2.mbh_ts2,2,2,True,0,1,1,0,1,1
