JobID|State|ExitCode|ElapsedRaw|TotalCPU|AllocCPUS|MaxRSS|NodeList
454403_1|COMPLETED|0:0|5|00:01.011|1||bosque5
454403_1.batch|COMPLETED|0:0|5|00:01.010|1|1356K|bosque5
454403_1.extern|COMPLETED|0:0|5|00:00.001|1|1080K|bosque5
454403_2|COMPLETED|0:0|5|00:00.781|1||bosque5
454403_2.batch|COMPLETED|0:0|5|00:00.780|1|1356K|bosque5
454403_2.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque5
454403_3|COMPLETED|0:0|5|00:00.935|1||bosque5
454403_3.batch|COMPLETED|0:0|5|00:00.934|1|1356K|bosque5
454403_3.extern|COMPLETED|0:0|5|00:00.001|1|1084K|bosque5
454403_4|COMPLETED|0:0|5|00:01.094|1||bosque5
454403_4.batch|COMPLETED|0:0|5|00:01.093|1|1356K|bosque5
454403_4.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque5
454403_5|COMPLETED|0:0|4|00:00.831|1||bosque5
454403_5.batch|COMPLETED|0:0|4|00:00.830|1|1360K|bosque5
454403_5.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque5
454403_6|COMPLETED|0:0|4|00:01.387|1||bosque5
454403_6.batch|COMPLETED|0:0|4|00:01.386|1|1352K|bosque5
454403_6.extern|COMPLETED|0:0|4|00:00.001|1|1084K|bosque5
454403_7|COMPLETED|0:0|4|00:01.190|1||bosque5
454403_7.batch|COMPLETED|0:0|4|00:01.189|1|1356K|bosque5
454403_7.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque5
454403_8|COMPLETED|0:0|5|00:00.860|1||bosque5
454403_8.batch|COMPLETED|0:0|5|00:00.859|1|1356K|bosque5
454403_8.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque5
454403_9|COMPLETED|0:0|4|00:01.177|1||bosque5
454403_9.batch|COMPLETED|0:0|4|00:01.176|1|1356K|bosque5
454403_9.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque5
454403_10|COMPLETED|0:0|4|00:00.976|1||bosque5
454403_10.batch|COMPLETED|0:0|4|00:00.975|1|1356K|bosque5
454403_10.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque5
454403_11|COMPLETED|0:0|5|00:01.884|1||bosque5
454403_11.batch|COMPLETED|0:0|5|00:01.883|1|1356K|bosque5
454403_11.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque5
454403_12|COMPLETED|0:0|4|00:01.405|1||bosque5
454403_12.batch|COMPLETED|0:0|4|00:01.404|1|1360K|bosque5
454403_12.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque5
454403_13|COMPLETED|0:0|5|00:01.424|1||bosque5
454403_13.batch|COMPLETED|0:0|5|00:01.424|1|1352K|bosque5
454403_13.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque5
454403_14|COMPLETED|0:0|4|00:00.912|1||bosque5
454403_14.batch|COMPLETED|0:0|4|00:00.911|1|1360K|bosque5
454403_14.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque5
454403_15|COMPLETED|0:0|4|00:00.942|1||bosque5
454403_15.batch|COMPLETED|0:0|4|00:00.941|1|1360K|bosque5
454403_15.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque5
454403_16|COMPLETED|0:0|5|00:00.863|1||bosque5
454403_16.batch|COMPLETED|0:0|5|00:00.862|1|1360K|bosque5
454403_16.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque5
454403_17|COMPLETED|0:0|2|00:00.882|1||bosque5
454403_17.batch|COMPLETED|0:0|2|00:00.881|1|1356K|bosque5
454403_17.extern|COMPLETED|0:0|2|00:00.001|1|316K|bosque5
454403_18|COMPLETED|0:0|3|00:01.138|1||bosque5
454403_18.batch|COMPLETED|0:0|3|00:01.136|1|1356K|bosque5
454403_18.extern|COMPLETED|0:0|3|00:00.001|1|1084K|bosque5
454403_19|COMPLETED|0:0|3|00:01.125|1||bosque5
454403_19.batch|COMPLETED|0:0|3|00:01.124|1|3084K|bosque5
454403_19.extern|COMPLETED|0:0|3|00:00:00|1|1040K|bosque5
454403_20|COMPLETED|0:0|2|00:00.810|1||bosque5
454403_20.batch|COMPLETED|0:0|2|00:00.809|1|3444K|bosque5
454403_20.extern|COMPLETED|0:0|2|00:00:00|1|1084K|bosque5
454403_21|COMPLETED|0:0|2|00:00.816|1||bosque5
454403_21.batch|COMPLETED|0:0|2|00:00.816|1|3308K|bosque5
454403_21.extern|COMPLETED|0:0|2|00:00:00|1|1080K|bosque5
454403_22|COMPLETED|0:0|2|00:00.819|1||bosque5
454403_22.batch|COMPLETED|0:0|2|00:00.818|1|3308K|bosque5
454403_22.extern|COMPLETED|0:0|2|00:00:00|1|1080K|bosque5
454403_23|COMPLETED|0:0|2|00:00.803|1||bosque5
454403_23.batch|COMPLETED|0:0|2|00:00.802|1|1356K|bosque5
454403_23.extern|COMPLETED|0:0|2|00:00:00|1|1084K|bosque5
454403_24|COMPLETED|0:0|2|00:00.831|1||bosque5
454403_24.batch|COMPLETED|0:0|2|00:00.830|1|3396K|bosque5
454403_24.extern|COMPLETED|0:0|2|00:00:00|1|1080K|bosque5
454403_25|COMPLETED|0:0|10|00:08.489|1||bosque5
454403_25.batch|COMPLETED|0:0|10|00:08.489|1|1356K|bosque5
454403_25.extern|COMPLETED|0:0|10|00:00:00|1|1080K|bosque5
454403_26|COMPLETED|0:0|9|00:07.339|1||bosque5
454403_26.batch|COMPLETED|0:0|9|00:07.338|1|1352K|bosque5
