experiment,index,direction,terminal,repeat,method,representative,lower,upper,optimal,seconds,solver_queries,archive_loading_seconds
initial,0,P_to_R,,0,invariance_certificate,11,11,11,True,0.00997238140553236,0,14.496887002140284
initial,0,P_to_R,,1,invariance_certificate,11,11,11,True,0.008874685503542423,0,14.496887002140284
initial,0,P_to_R,,2,invariance_certificate,11,11,11,True,0.008852536790072918,0,14.496887002140284
initial,1033,P_to_R,,0,bounded_symbolic,8,6,6,True,0.22834965866059065,2,1.4985936684533954
initial,1033,P_to_R,,1,bounded_symbolic,8,6,6,True,0.17629352305084467,2,1.4985936684533954
initial,1033,P_to_R,,2,bounded_symbolic,8,6,6,True,0.17897500563412905,2,1.4985936684533954
initial,1786,P_to_R,,0,bounded_symbolic,5,3,3,True,0.3048396026715636,1,9.391726379282773
initial,1786,P_to_R,,1,bounded_symbolic,5,3,3,True,0.234368029050529,1,9.391726379282773
initial,1786,P_to_R,,2,bounded_symbolic,5,3,3,True,0.2346797278150916,1,9.391726379282773
initial,44,P_to_R,,0,bounded_symbolic,6,4,4,True,0.17817180790007114,1,4.314464843831956
initial,44,P_to_R,,1,bounded_symbolic,6,4,4,True,0.1823780992999673,1,4.314464843831956
initial,44,P_to_R,,2,bounded_symbolic,6,4,4,True,0.20067718531936407,1,4.314464843831956
initial,44,R_to_P,,0,bounded_symbolic,6,4,4,True,0.21597493439912796,1,6.2839149152860045
initial,44,R_to_P,,1,bounded_symbolic,6,4,4,True,0.18746337294578552,1,6.2839149152860045
initial,44,R_to_P,,2,bounded_symbolic,6,4,4,True,0.18965972494333982,1,6.2839149152860045
initial,865,P_to_R,,0,bounded_symbolic,13,11,11,True,0.11652146559208632,2,2.5770870838314295
initial,865,P_to_R,,1,bounded_symbolic,13,11,11,True,0.09079020749777555,2,2.5770870838314295
initial,865,P_to_R,,2,bounded_symbolic,13,11,11,True,0.09086745325475931,2,2.5770870838314295
blind,0,P_to_R,44048,,invariance_certificate,9,9,9,True,0.010012918151915073,0,15.12649280950427
blind,0,P_to_R,75956,,invariance_certificate,11,11,11,True,0.011010836809873581,0,15.12649280950427
blind,0,P_to_R,633857,,invariance_certificate,11,11,11,True,0.00932797696441412,0,15.12649280950427
blind,0,P_to_R,75960,,invariance_certificate,13,13,13,True,0.010930275544524193,0,15.12649280950427
blind,0,P_to_R,170788,,invariance_certificate,13,13,13,True,0.01045626774430275,0,15.12649280950427
blind,0,P_to_R,170798,,bounded_symbolic,13,13,13,True,0.1902375314384699,1,15.12649280950427
blind,0,P_to_R,170792,,bounded_symbolic,13,13,13,True,0.1631117044016719,1,15.12649280950427
blind,0,P_to_R,154392,,invariance_certificate,13,13,13,True,0.010599518194794655,0,15.12649280950427
blind,0,P_to_R,686176,,bounded_symbolic,26,26,26,True,0.17089789360761642,0,15.12649280950427
blind,0,P_to_R,108820,,invariance_certificate,32,32,32,True,0.01018623635172844,0,15.12649280950427
blind,0,P_to_R,22591,,invariance_certificate,18,18,18,True,0.009765897877514362,0,15.12649280950427
blind,0,P_to_R,806124,,invariance_certificate,19,19,19,True,0.009667210280895233,0,15.12649280950427
blind,0,P_to_R,258911,,invariance_certificate,28,28,28,True,0.010190041735768318,0,15.12649280950427
blind,0,P_to_R,228057,,invariance_certificate,23,23,23,True,0.009915183298289776,0,15.12649280950427
blind,0,P_to_R,210105,,invariance_certificate,35,35,35,True,0.010722077451646328,0,15.12649280950427
blind,0,P_to_R,128839,,invariance_certificate,25,25,25,True,0.009900452569127083,0,15.12649280950427
blind,0,P_to_R,801565,,invariance_certificate,19,19,19,True,0.009513906203210354,0,15.12649280950427
blind,0,P_to_R,99112,,invariance_certificate,19,19,19,True,0.009574081748723984,0,15.12649280950427
