437964|OUT_OF_MEMORY|00:12:57|777|03:26:20||48|bosque12|golden_finish
437964.batch|OUT_OF_MEMORY|00:12:57|777|03:26:20|102284228K|48|bosque12|batch
437964.extern|COMPLETED|00:12:57|777|00:00.001|1096K|48|bosque12|extern
437965|COMPLETED|00:15:53|953|04:15:17||48|bosque34|golden_finish
437965.batch|COMPLETED|00:15:53|953|04:15:17|87683784K|48|bosque34|batch
437965.extern|COMPLETED|00:15:53|953|00:00.003|992K|48|bosque34|extern
437966|COMPLETED|00:03:33|213|03:03.167||2|bosque35|golden_debug
437966.batch|COMPLETED|00:03:33|213|03:03.164|5215436K|2|bosque35|batch
437966.extern|COMPLETED|00:03:33|213|00:00.003|1008K|2|bosque35|extern
437967|COMPLETED|00:02:42|162|02:16.994||2|bosque35|golden_load_test
437967.batch|COMPLETED|00:02:42|162|02:16.990|5269584K|2|bosque35|batch
437967.extern|COMPLETED|00:02:42|162|00:00.003|1092K|2|bosque35|extern
437968|COMPLETED|00:05:35|335|38:09.812||24|bosque12|golden_finish_v2
437968.batch|COMPLETED|00:05:35|335|38:09.811|84031508K|24|bosque12|batch
437968.extern|COMPLETED|00:05:35|335|00:00.001|3272K|24|bosque12|extern
437969|COMPLETED|00:06:37|397|43:14.841||24|bosque35|golden_finish_v2
437969.batch|COMPLETED|00:06:37|397|43:14.780|53802428K|24|bosque35|batch
437969.extern|COMPLETED|00:06:37|397|00:00.003|1032K|24|bosque35|extern
437969.0|COMPLETED|00:00:01|1|00:00.058|3288K|1|bosque35|ps
437970|COMPLETED|00:07:44|464|39:58.729||24|bosque36|golden_finish_v2
437970.batch|COMPLETED|00:07:44|464|39:58.725|70136716K|24|bosque36|batch
437970.extern|COMPLETED|00:07:44|464|00:00.003|992K|24|bosque36|extern
437971|COMPLETED|00:10:10|610|55:53.298||24|bosque37|golden_finish_v2
437971.batch|COMPLETED|00:10:10|610|55:53.295|70524056K|24|bosque37|batch
437971.extern|COMPLETED|00:10:10|610|00:00.003|1004K|24|bosque37|extern
437972|FAILED|00:04:47|287|00:00.008||2|bosque38|golden_profile
437972.batch|FAILED|00:04:47|287|00:00.004|9704096K|2|bosque38|batch
437972.extern|COMPLETED|00:04:47|287|00:00.003|1044K|2|bosque38|extern
437973|COMPLETED|00:05:09|309|19:39.373||24|bosque12|golden_finish_v3
437973.batch|COMPLETED|00:05:09|309|19:39.371|35384816K|24|bosque12|batch
437973.extern|COMPLETED|00:05:09|309|00:00.001|1016K|24|bosque12|extern
437974|COMPLETED|00:12:09|729|37:34.608||24|bosque35|golden_finish_v3
437974.batch|COMPLETED|00:12:09|729|37:34.605|14917264K|24|bosque35|batch
437974.extern|COMPLETED|00:12:09|729|00:00.003|1012K|24|bosque35|extern
437975|COMPLETED|00:22:01|1321|01:13:20||24|bosque36|golden_finish_v3
437975.batch|COMPLETED|00:22:01|1321|01:13:20|35255724K|24|bosque36|batch
437975.extern|COMPLETED|00:22:01|1321|00:00.003|1088K|24|bosque36|extern
437976|COMPLETED|00:22:59|1379|01:35:31||24|bosque37|golden_finish_v3
437976.batch|COMPLETED|00:22:59|1379|01:35:31|19966208K|24|bosque37|batch
437976.extern|COMPLETED|00:22:59|1379|00:00.003|1044K|24|bosque37|extern
437977|COMPLETED|00:04:13|253|04:04.789||16|bosque12|golden_finish_v4
437977.batch|COMPLETED|00:04:13|253|04:04.787|32563268K|16|bosque12|batch
437977.extern|COMPLETED|00:04:13|253|00:00.001|3116K|16|bosque12|extern
437978|COMPLETED|00:00:05|5|00:01.456||16|bosque34|golden_finish_v4
437978.batch|COMPLETED|00:00:05|5|00:01.453|3388K|16|bosque34|batch
437978.extern|COMPLETED|00:00:05|5|00:00.003|4K|16|bosque34|extern
437979|COMPLETED|00:05:07|307|04:16.480||16|bosque35|golden_finish_v4
437979.batch|COMPLETED|00:05:07|307|04:16.476|5058632K|16|bosque35|batch
437979.extern|COMPLETED|00:05:07|307|00:00.003|1056K|16|bosque35|extern
437980|COMPLETED|00:05:07|307|04:20.650||16|bosque36|golden_finish_v4
437980.batch|COMPLETED|00:05:07|307|04:20.646|6298504K|16|bosque36|batch
437980.extern|COMPLETED|00:05:07|307|00:00.003|1M|16|bosque36|extern
437981|COMPLETED|00:05:07|307|04:18.195||16|bosque37|golden_finish_v4
437981.batch|COMPLETED|00:05:07|307|04:18.192|7866032K|16|bosque37|batch
437981.extern|COMPLETED|00:05:07|307|00:00.003|1060K|16|bosque37|extern
437982|COMPLETED|00:04:13|253|03:25.393||16|bosque38|golden_finish_v4
437982.batch|COMPLETED|00:04:13|253|03:25.390|13532536K|16|bosque38|batch
437982.extern|COMPLETED|00:04:13|253|00:00.003|1056K|16|bosque38|extern
437983|COMPLETED|00:04:01|241|03:10.382||16|bosque39|golden_finish_v4
437983.batch|COMPLETED|00:04:01|241|03:10.379|13759060K|16|bosque39|batch
437983.extern|COMPLETED|00:04:01|241|00:00.003|1016K|16|bosque39|extern
437984|COMPLETED|00:17:43|1063|15:47.887||16|bosque40|golden_finish_v4
437984.batch|COMPLETED|00:17:43|1063|15:47.884|14685732K|16|bosque40|batch
437984.extern|COMPLETED|00:17:43|1063|00:00.003|1052K|16|bosque40|extern
437985|COMPLETED|00:00:05|5|00:00.994||16|bosque12|golden_finish_v5
437985.batch|COMPLETED|00:00:05|5|00:00.992|3224K|16|bosque12|batch
437985.extern|COMPLETED|00:00:05|5|00:00.001|3248K|16|bosque12|extern
