index,one_sided,recovery,top1,evaluation,seconds
0,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/0/evaluation.json,20.987693786155432
1,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/1/evaluation.json,1.0706935678608716
2,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/2/evaluation.json,0.4522888471838087
3,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/3/evaluation.json,0.12036391603760421
4,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/4/evaluation.json,0.9152237160596997
5,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/5/evaluation.json,0.19041572394780815
6,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/6/evaluation.json,0.03952545206993818
7,True,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_all_records_20260907/7/evaluation.json,5.6632438991218805
8,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/8/evaluation.json,0.27560051600448787
9,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/9/evaluation.json,0.23874671012163162
10,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/10/evaluation.json,0.8683228432200849
11,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/11/evaluation.json,0.7403258900158107
12,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/12/evaluation.json,1.1834608118515462
13,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/13/evaluation.json,0.17367969546467066
14,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/14/evaluation.json,0.1731966808438301
15,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/15/evaluation.json,0.13020229595713317
16,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/16/evaluation.json,3.567136187106371
17,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/17/evaluation.json,9.567703504115343
18,False,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/18/evaluation.json,0.07991363480687141
19,False,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/19/evaluation.json,44.88264752714895
20,False,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/20/evaluation.json,1.076027481816709
