JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
440479_0|COMPLETED|12|1|00:07.180||2026-09-07T15:22:32|2026-09-07T15:22:44
440479_0.batch|COMPLETED|12|1|00:07.179|1356K|2026-09-07T15:22:32|2026-09-07T15:22:44
440479_0.extern|COMPLETED|12|1|00:00:00|1080K|2026-09-07T15:22:32|2026-09-07T15:22:44
440479_1|COMPLETED|6|1|00:01.554||2026-09-07T15:22:32|2026-09-07T15:22:38
440479_1.batch|COMPLETED|6|1|00:01.553|1352K|2026-09-07T15:22:32|2026-09-07T15:22:38
440479_1.extern|COMPLETED|6|1|00:00.001|1084K|2026-09-07T15:22:32|2026-09-07T15:22:38
440479_2|COMPLETED|7|1|00:01.568||2026-09-07T15:22:32|2026-09-07T15:22:39
440479_2.batch|COMPLETED|7|1|00:01.567|1356K|2026-09-07T15:22:32|2026-09-07T15:22:39
440479_2.extern|COMPLETED|7|1|00:00.001|1084K|2026-09-07T15:22:32|2026-09-07T15:22:39
440479_3|COMPLETED|7|1|00:01.684||2026-09-07T15:22:32|2026-09-07T15:22:39
440479_3.batch|COMPLETED|7|1|00:01.683|3300K|2026-09-07T15:22:32|2026-09-07T15:22:39
440479_3.extern|COMPLETED|7|1|00:00.001|1084K|2026-09-07T15:22:32|2026-09-07T15:22:39
440479_4|COMPLETED|9|1|00:04.223||2026-09-07T15:22:33|2026-09-07T15:22:42
440479_4.batch|COMPLETED|9|1|00:04.222|1360K|2026-09-07T15:22:33|2026-09-07T15:22:42
440479_4.extern|COMPLETED|9|1|00:00:00|1076K|2026-09-07T15:22:33|2026-09-07T15:22:42
440479_5|COMPLETED|6|1|00:01.864||2026-09-07T15:22:33|2026-09-07T15:22:39
440479_5.batch|COMPLETED|6|1|00:01.863|1356K|2026-09-07T15:22:33|2026-09-07T15:22:39
440479_5.extern|COMPLETED|6|1|00:00:00|1084K|2026-09-07T15:22:33|2026-09-07T15:22:39
440479_6|COMPLETED|6|1|00:01.752||2026-09-07T15:22:33|2026-09-07T15:22:39
440479_6.batch|COMPLETED|6|1|00:01.751|1356K|2026-09-07T15:22:33|2026-09-07T15:22:39
440479_6.extern|COMPLETED|6|1|00:00.001|1080K|2026-09-07T15:22:33|2026-09-07T15:22:39
440479_7|COMPLETED|6|1|00:01.535||2026-09-07T15:22:33|2026-09-07T15:22:39
