JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442866_0|COMPLETED|12|2|00:04.290||2026-09-08T03:35:17|2026-09-08T03:35:29
442866_0.batch|COMPLETED|12|2|00:04.286|3388K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_0.extern|COMPLETED|12|2|00:00.004|300K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_1|COMPLETED|12|2|00:04.636||2026-09-08T03:35:17|2026-09-08T03:35:29
442866_1.batch|COMPLETED|12|2|00:04.632|3220K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_1.extern|COMPLETED|12|2|00:00.003|1056K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_2|COMPLETED|14|2|00:06.813||2026-09-08T03:35:17|2026-09-08T03:35:31
442866_2.batch|COMPLETED|14|2|00:06.809|3364K|2026-09-08T03:35:17|2026-09-08T03:35:31
442866_2.extern|COMPLETED|14|2|00:00.003|4K|2026-09-08T03:35:17|2026-09-08T03:35:31
442866_3|COMPLETED|11|2|00:04.431||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_3.batch|COMPLETED|11|2|00:04.427|3408K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_3.extern|COMPLETED|11|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_4|COMPLETED|11|2|00:04.576||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_4.batch|COMPLETED|11|2|00:04.573|3260K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_4.extern|COMPLETED|11|2|00:00.003|1028K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_5|COMPLETED|13|2|00:05.850||2026-09-08T03:35:17|2026-09-08T03:35:30
442866_5.batch|COMPLETED|13|2|00:05.848|3316K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_5.extern|COMPLETED|13|2|00:00.001|304K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_6|COMPLETED|11|2|00:04.667||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_6.batch|COMPLETED|11|2|00:04.663|3340K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_6.extern|COMPLETED|11|2|00:00.004|300K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_7|COMPLETED|13|2|00:04.127||2026-09-08T03:35:17|2026-09-08T03:35:30
442866_7.batch|COMPLETED|13|2|00:04.124|3376K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_7.extern|COMPLETED|13|2|00:00.003|4K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_8|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_9|COMPLETED|11|2|00:04.746||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_9.batch|COMPLETED|11|2|00:04.743|3288K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_9.extern|COMPLETED|11|2|00:00.002|304K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_10|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_11|COMPLETED|11|2|00:04.565||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_11.batch|COMPLETED|11|2|00:04.561|3348K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_11.extern|COMPLETED|11|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_12|COMPLETED|12|2|00:04.493||2026-09-08T03:35:17|2026-09-08T03:35:29
442866_12.batch|COMPLETED|12|2|00:04.489|3332K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_12.extern|COMPLETED|12|2|00:00.003|304K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_13|COMPLETED|12|2|00:05.088||2026-09-08T03:35:17|2026-09-08T03:35:29
442866_13.batch|COMPLETED|12|2|00:05.084|3404K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_13.extern|COMPLETED|12|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_14|COMPLETED|14|2|00:06.071||2026-09-08T03:35:17|2026-09-08T03:35:31
442866_14.batch|COMPLETED|14|2|00:06.068|3364K|2026-09-08T03:35:17|2026-09-08T03:35:31
442866_14.extern|COMPLETED|14|2|00:00.003|4K|2026-09-08T03:35:17|2026-09-08T03:35:31
442866_15|COMPLETED|15|2|00:04.740||2026-09-08T03:35:17|2026-09-08T03:35:32
442866_15.batch|COMPLETED|15|2|00:04.736|3340K|2026-09-08T03:35:17|2026-09-08T03:35:32
442866_15.extern|COMPLETED|15|2|00:00.003|308K|2026-09-08T03:35:17|2026-09-08T03:35:32
442866_16|COMPLETED|11|2|00:04.382||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_16.batch|COMPLETED|11|2|00:04.377|3308K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_16.extern|COMPLETED|12|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_17|COMPLETED|11|2|00:04.575||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_17.batch|COMPLETED|11|2|00:04.571|3328K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_17.extern|COMPLETED|11|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_18|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_19|COMPLETED|11|2|00:04.520||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_19.batch|COMPLETED|11|2|00:04.516|3376K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_19.extern|COMPLETED|11|2|00:00.004|4K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_20|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_21|COMPLETED|11|2|00:04.362||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_21.batch|COMPLETED|11|2|00:04.358|3284K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_21.extern|COMPLETED|12|2|00:00.004|304K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_22|COMPLETED|11|2|00:04.494||2026-09-08T03:35:17|2026-09-08T03:35:28
442866_22.batch|COMPLETED|11|2|00:04.490|3300K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_22.extern|COMPLETED|11|2|00:00.004|300K|2026-09-08T03:35:17|2026-09-08T03:35:28
442866_23|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_24|COMPLETED|13|2|00:03.282||2026-09-08T03:35:17|2026-09-08T03:35:30
442866_24.batch|COMPLETED|13|2|00:03.278|3468K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_24.extern|COMPLETED|13|2|00:00.003|4K|2026-09-08T03:35:17|2026-09-08T03:35:30
442866_25|COMPLETED|12|2|00:04.610||2026-09-08T03:35:17|2026-09-08T03:35:29
442866_25.batch|COMPLETED|12|2|00:04.606|3400K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_25.extern|COMPLETED|12|2|00:00.003|304K|2026-09-08T03:35:17|2026-09-08T03:35:29
442866_26|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_27|CANCELLED by 7711|151|2|00:00:00||2026-09-08T03:35:17|2026-09-08T03:37:48
442866_28|COMPLETED|15|2|00:07.784||2026-09-08T03:35:17|2026-09-08T03:35:32
442866_28.batch|COMPLETED|15|2|00:07.780|3332K|2026-09-08T03:35:17|2026-09-08T03:35:32
