JobIDRaw|JobName|State|Elapsed|ElapsedRaw|MaxRSS|AllocCPUS
438129|golden_cap2000|COMPLETED|00:00:23|23||8
438129.batch|batch|COMPLETED|00:00:23|23|3400K|8
438129.extern|extern|COMPLETED|00:00:23|23|4K|8
438130|golden_cap2000|COMPLETED|00:00:10|10||8
438130.batch|batch|COMPLETED|00:00:10|10|3316K|8
438130.extern|extern|COMPLETED|00:00:10|10|4K|8
438131|golden_cap2000|COMPLETED|00:00:07|7||8
438131.batch|batch|COMPLETED|00:00:07|7|3284K|8
438131.extern|extern|COMPLETED|00:00:07|7|4K|8
438132|golden_cap2000|COMPLETED|00:00:08|8||8
438132.batch|batch|COMPLETED|00:00:08|8|3348K|8
438132.extern|extern|COMPLETED|00:00:08|8|4K|8
438133|golden_cap2000|COMPLETED|00:02:26|146||8
438133.batch|batch|COMPLETED|00:02:26|146|22805876K|8
438133.extern|extern|COMPLETED|00:02:26|146|1048K|8
438134|golden_cap2000|COMPLETED|00:00:07|7||8
438134.batch|batch|COMPLETED|00:00:07|7|3368K|8
438134.extern|extern|COMPLETED|00:00:07|7|4K|8
438135|golden_cap2000|COMPLETED|00:06:40|400||8
438135.batch|batch|COMPLETED|00:06:40|400|29526432K|8
438135.extern|extern|COMPLETED|00:06:40|400|1008K|8
438136|golden_cap2000|COMPLETED|00:03:59|239||8
438136.batch|batch|COMPLETED|00:03:59|239|24148704K|8
438136.extern|extern|COMPLETED|00:03:59|239|1036K|8
438137|golden_cap2000|COMPLETED|00:00:36|36||8
438137.batch|batch|COMPLETED|00:00:36|36|451032K|8
438137.extern|extern|COMPLETED|00:00:36|36|1M|8
438138|golden_cap2000|COMPLETED|00:00:07|7||8
438138.batch|batch|COMPLETED|00:00:07|7|3324K|8
438138.extern|extern|COMPLETED|00:00:07|7|4K|8
438139|golden_cap2000|CANCELLED by 7711|00:08:35|515||8
438139.batch|batch|OUT_OF_MEMORY|00:08:36|516|33603876K|8
438139.extern|extern|COMPLETED|00:08:35|515|1036K|8
438139.0|ps|COMPLETED|00:00:00|0|3292K|1
438139.1|ps|COMPLETED|00:00:00|0|1464K|1
438139.2|bash|FAILED|00:00:00|0|3164K|1
438139.3|bash|FAILED|00:00:00|0|3348K|1
438128|golden_cap2000|COMPLETED|00:01:48|108||8
438128.batch|batch|COMPLETED|00:01:48|108|3092448K|8
438128.extern|extern|COMPLETED|00:01:48|108|1052K|8
438140|golden_cap2000|CANCELLED by 7711|00:09:04|544||8
438140.batch|batch|CANCELLED|00:09:07|547|45139900K|8
438140.extern|extern|COMPLETED|00:09:04|544|1060K|8
438140.0|cat|COMPLETED|00:00:00|0|3308K|1
438140.1|ps|COMPLETED|00:00:00|0|3232K|1
