index,reference_recovery,seconds,queries,rejected_heavy_projections,search_incomplete,exit_code,evaluation
19,not_recovered,44.88264752714895,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/19/evaluation.json
44,recovered,23.352130164159462,1,95,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/44/evaluation.json
576,not_recovered,6.923298886045814,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/576/evaluation.json
590,not_recovered,104.86501925508492,0,9,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/590/evaluation.json
602,not_recovered,6.90111770411022,0,9,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/602/evaluation.json
603,not_recovered,22.698482340201735,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/603/evaluation.json
737,not_recovered,61.54024047916755,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/737/evaluation.json
775,not_recovered,15.397188434144482,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/775/evaluation.json
780,not_recovered,69.71509400196373,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/780/evaluation.json
833,not_recovered,78.71031654905528,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/833/evaluation.json
845,not_recovered,13.935588719788939,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/845/evaluation.json
846,not_recovered,153.45011630421504,0,96,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/846/evaluation.json
850,not_recovered,175.46585600683466,0,471,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/850/evaluation.json
865,not_recovered,73.24111383594573,0,477,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/865/evaluation.json
867,not_recovered,18.85380308330059,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/867/evaluation.json
871,not_recovered,51.875337143428624,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/871/evaluation.json
964,not_recovered,22.778124704025686,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/964/evaluation.json
986,not_recovered,1.3768726279959083,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/986/evaluation.json
1033,not_recovered,89.84007060993463,0,942,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1033/evaluation.json
1228,not_recovered,17.678526578471065,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1228/evaluation.json
1230,not_recovered,20.623707895167172,0,6,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1230/evaluation.json
1285,not_recovered,0.7930836391169578,0,14,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1285/evaluation.json
1314,not_recovered,16.47112880088389,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1314/evaluation.json
1351,recovered,68.29697054810822,1,56,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1351/evaluation.json
1380,not_recovered,69.26939838565886,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1380/evaluation.json
1400,not_recovered,15.314871094189584,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1400/evaluation.json
1522,recovered,13.01480147242546,1,4,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1522/evaluation.json
1553,not_recovered,17.254046738147736,0,256,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1553/evaluation.json
1568,not_recovered,134.19821562618017,0,854,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1568/evaluation.json
1574,not_recovered,46.09766794089228,0,714,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1574/evaluation.json
1729,recovered,3.308579185977578,1,38,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1729/evaluation.json
1739,not_recovered,0.822312830016017,0,0,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1739/evaluation.json
1786,recovered,52.57744607888162,1,154,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1786/evaluation.json
1793,unknown,234.6933553928975,,,True,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1793/evaluation.json
1817,recovered,1.5591559398453683,1,2,False,0,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_domain_rescore_v2_20260907/1817/evaluation.json
