JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
440443_0|COMPLETED|53|2|00:48.033||2026-09-07T14:48:16|2026-09-07T14:49:09
440443_0.batch|COMPLETED|53|2|00:48.029|1743444K|2026-09-07T14:48:16|2026-09-07T14:49:09
440443_0.extern|COMPLETED|53|2|00:00.003|1048K|2026-09-07T14:48:16|2026-09-07T14:49:09
440443_1|COMPLETED|31|2|00:26.001||2026-09-07T14:48:16|2026-09-07T14:48:47
440443_1.batch|COMPLETED|31|2|00:25.997|3300K|2026-09-07T14:48:16|2026-09-07T14:48:47
440443_1.extern|COMPLETED|31|2|00:00.003|304K|2026-09-07T14:48:16|2026-09-07T14:48:47
440443_2|COMPLETED|14|2|00:09.565||2026-09-07T14:48:16|2026-09-07T14:48:30
440443_2.batch|COMPLETED|14|2|00:09.561|3392K|2026-09-07T14:48:16|2026-09-07T14:48:30
440443_2.extern|COMPLETED|14|2|00:00.003|4K|2026-09-07T14:48:16|2026-09-07T14:48:30
440443_3|COMPLETED|113|2|01:49.111||2026-09-07T14:48:16|2026-09-07T14:50:09
440443_3.batch|COMPLETED|113|2|01:49.107|3478308K|2026-09-07T14:48:16|2026-09-07T14:50:09
440443_3.extern|COMPLETED|113|2|00:00.003|1044K|2026-09-07T14:48:16|2026-09-07T14:50:09
440443_4|COMPLETED|13|2|00:09.478||2026-09-07T14:48:17|2026-09-07T14:48:30
440443_4.batch|COMPLETED|13|2|00:09.474|3404K|2026-09-07T14:48:17|2026-09-07T14:48:30
440443_4.extern|COMPLETED|13|2|00:00.003|4K|2026-09-07T14:48:17|2026-09-07T14:48:30
440443_5|COMPLETED|28|2|00:25.148||2026-09-07T14:48:17|2026-09-07T14:48:45
440443_5.batch|COMPLETED|28|2|00:25.144|3372K|2026-09-07T14:48:17|2026-09-07T14:48:45
440443_5.extern|COMPLETED|28|2|00:00.003|4K|2026-09-07T14:48:17|2026-09-07T14:48:45
440443_6|COMPLETED|68|2|00:01:05||2026-09-07T14:48:17|2026-09-07T14:49:25
440443_6.batch|COMPLETED|68|2|01:04.996|2078M|2026-09-07T14:48:17|2026-09-07T14:49:25
440443_6.extern|COMPLETED|68|2|00:00.003|1092K|2026-09-07T14:48:17|2026-09-07T14:49:25
440443_7|CANCELLED by 7711|193|2|00:00:00||2026-09-07T14:48:17|2026-09-07T14:51:30
440443_8|COMPLETED|76|2|01:12.917||2026-09-07T14:48:17|2026-09-07T14:49:33
