JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442443_0|COMPLETED|82|2|01:16.957||2026-09-07T19:00:18|2026-09-07T19:01:40
442443_0.batch|COMPLETED|82|2|01:16.955|2579852K|2026-09-07T19:00:18|2026-09-07T19:01:40
442443_0.extern|COMPLETED|82|2|00:00.001|988K|2026-09-07T19:00:18|2026-09-07T19:01:40
442443_1|COMPLETED|68|2|00:59.847||2026-09-07T19:00:19|2026-09-07T19:01:27
442443_1.batch|COMPLETED|68|2|00:59.843|1965024K|2026-09-07T19:00:19|2026-09-07T19:01:27
442443_1.extern|COMPLETED|68|2|00:00.003|1012K|2026-09-07T19:00:19|2026-09-07T19:01:27
442443_2|COMPLETED|58|2|00:49.724||2026-09-07T19:00:19|2026-09-07T19:01:17
442443_2.batch|COMPLETED|58|2|00:49.720|667812K|2026-09-07T19:00:19|2026-09-07T19:01:17
442443_2.extern|COMPLETED|58|2|00:00.003|1008K|2026-09-07T19:00:19|2026-09-07T19:01:17
442443_3|COMPLETED|62|2|00:52.093||2026-09-07T19:00:19|2026-09-07T19:01:21
442443_3.batch|COMPLETED|62|2|00:52.090|622412K|2026-09-07T19:00:19|2026-09-07T19:01:21
442443_3.extern|COMPLETED|62|2|00:00.003|1016K|2026-09-07T19:00:19|2026-09-07T19:01:21
442443_4|COMPLETED|78|2|01:10.845||2026-09-07T19:00:19|2026-09-07T19:01:37
442443_4.batch|COMPLETED|78|2|01:10.841|2689700K|2026-09-07T19:00:19|2026-09-07T19:01:37
442443_4.extern|COMPLETED|78|2|00:00.003|992K|2026-09-07T19:00:19|2026-09-07T19:01:37
442443_5|COMPLETED|56|2|00:48.553||2026-09-07T19:00:19|2026-09-07T19:01:15
442443_5.batch|COMPLETED|56|2|00:48.550|641892K|2026-09-07T19:00:19|2026-09-07T19:01:15
442443_5.extern|COMPLETED|56|2|00:00.003|1056K|2026-09-07T19:00:19|2026-09-07T19:01:15
442443_6|COMPLETED|71|2|01:03.962||2026-09-07T19:00:19|2026-09-07T19:01:30
442443_6.batch|COMPLETED|71|2|01:03.958|1284624K|2026-09-07T19:00:19|2026-09-07T19:01:30
442443_6.extern|COMPLETED|71|2|00:00.003|1M|2026-09-07T19:00:19|2026-09-07T19:01:30
442443_7|COMPLETED|89|2|01:21.940||2026-09-07T19:00:19|2026-09-07T19:01:48
