JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442547_0|COMPLETED|494|80|01:02:52||2026-09-07T20:41:26|2026-09-07T20:49:40
442547_0.batch|COMPLETED|494|80|01:02:52|78232436K|2026-09-07T20:41:26|2026-09-07T20:49:40
442547_0.extern|COMPLETED|494|80|00:00.003|992K|2026-09-07T20:41:26|2026-09-07T20:49:40
442547_1|COMPLETED|551|80|01:41:11||2026-09-07T20:41:26|2026-09-07T20:50:37
442547_1.batch|COMPLETED|551|80|01:41:11|138131920K|2026-09-07T20:41:26|2026-09-07T20:50:37
442547_1.extern|COMPLETED|551|80|00:00.003|1M|2026-09-07T20:41:26|2026-09-07T20:50:37
442547_2|COMPLETED|41|80|11:25.898||2026-09-07T20:41:27|2026-09-07T20:42:08
442547_2.batch|COMPLETED|41|80|11:25.895|16557980K|2026-09-07T20:41:27|2026-09-07T20:42:08
442547_2.extern|COMPLETED|41|80|00:00.003|1112K|2026-09-07T20:41:27|2026-09-07T20:42:08
442547_3|COMPLETED|536|80|56:59.145||2026-09-07T20:41:27|2026-09-07T20:50:23
442547_3.batch|COMPLETED|536|80|56:59.142|59306576K|2026-09-07T20:41:27|2026-09-07T20:50:23
442547_3.extern|COMPLETED|536|80|00:00.003|1012K|2026-09-07T20:41:27|2026-09-07T20:50:23
442547_4|OUT_OF_MEMORY|198|80|02:15.272||2026-09-07T20:41:27|2026-09-07T20:44:45
442547_4.batch|OUT_OF_MEMORY|198|80|02:15.268|182821048K|2026-09-07T20:41:27|2026-09-07T20:44:45
442547_4.extern|COMPLETED|198|80|00:00.003|1032K|2026-09-07T20:41:27|2026-09-07T20:44:45
442547_5|COMPLETED|48|80|07:42.952||2026-09-07T20:41:27|2026-09-07T20:42:15
442547_5.batch|COMPLETED|48|80|07:42.948|16135256K|2026-09-07T20:41:27|2026-09-07T20:42:15
442547_5.extern|COMPLETED|48|80|00:00.003|1032K|2026-09-07T20:41:27|2026-09-07T20:42:15
442547_6|COMPLETED|60|80|12:56.669||2026-09-07T20:41:27|2026-09-07T20:42:27
442547_6.batch|COMPLETED|60|80|12:56.665|15985332K|2026-09-07T20:41:27|2026-09-07T20:42:27
442547_6.extern|COMPLETED|60|80|00:00.003|1028K|2026-09-07T20:41:27|2026-09-07T20:42:27
442547_7|COMPLETED|53|80|11:44.670||2026-09-07T20:41:27|2026-09-07T20:42:20
442547_7.batch|COMPLETED|53|80|11:44.667|17312164K|2026-09-07T20:41:27|2026-09-07T20:42:20
442547_7.extern|COMPLETED|53|80|00:00.003|1036K|2026-09-07T20:41:27|2026-09-07T20:42:20
442547_8|COMPLETED|546|80|59:08.871||2026-09-07T20:41:27|2026-09-07T20:50:33
442547_8.batch|COMPLETED|546|80|59:08.867|52424940K|2026-09-07T20:41:27|2026-09-07T20:50:33
442547_8.extern|COMPLETED|546|80|00:00.003|1056K|2026-09-07T20:41:27|2026-09-07T20:50:33
442547_9|COMPLETED|49|80|09:35.008||2026-09-07T20:41:27|2026-09-07T20:42:16
442547_9.batch|COMPLETED|49|80|09:35.005|10228128K|2026-09-07T20:41:27|2026-09-07T20:42:16
442547_9.extern|COMPLETED|49|80|00:00.003|1M|2026-09-07T20:41:27|2026-09-07T20:42:16
442547_10|COMPLETED|283|80|22:34.572||2026-09-07T20:41:27|2026-09-07T20:46:10
442547_10.batch|COMPLETED|283|80|22:34.568|24686668K|2026-09-07T20:41:27|2026-09-07T20:46:10
442547_10.extern|COMPLETED|283|80|00:00.003|1052K|2026-09-07T20:41:27|2026-09-07T20:46:10
442547_11|COMPLETED|548|80|01:12:59||2026-09-07T20:41:27|2026-09-07T20:50:35
442547_11.batch|COMPLETED|548|80|01:12:59|80566572K|2026-09-07T20:41:27|2026-09-07T20:50:35
442547_11.extern|COMPLETED|548|80|00:00.003|1108K|2026-09-07T20:41:27|2026-09-07T20:50:35
442547_12|COMPLETED|490|80|43:37.818||2026-09-07T20:41:27|2026-09-07T20:49:37
442547_12.batch|COMPLETED|490|80|43:37.815|429148804K|2026-09-07T20:41:27|2026-09-07T20:49:37
442547_12.extern|COMPLETED|490|80|00:00.003|1044K|2026-09-07T20:41:27|2026-09-07T20:49:37
442547_13|COMPLETED|521|80|01:03:09||2026-09-07T20:41:27|2026-09-07T20:50:08
442547_13.batch|COMPLETED|521|80|01:03:09|69429524K|2026-09-07T20:41:27|2026-09-07T20:50:08
442547_13.extern|COMPLETED|521|80|00:00.003|1016K|2026-09-07T20:41:27|2026-09-07T20:50:08
442547_14|COMPLETED|548|80|59:43.425||2026-09-07T20:41:27|2026-09-07T20:50:35
442547_14.batch|COMPLETED|548|80|59:43.421|68232892K|2026-09-07T20:41:27|2026-09-07T20:50:35
442547_14.extern|COMPLETED|548|80|00:00.003|1012K|2026-09-07T20:41:27|2026-09-07T20:50:35
442547_15|COMPLETED|81|80|08:42.209||2026-09-07T20:41:27|2026-09-07T20:42:48
442547_15.batch|COMPLETED|81|80|08:42.205|11421220K|2026-09-07T20:41:27|2026-09-07T20:42:48
442547_15.extern|COMPLETED|81|80|00:00.003|1060K|2026-09-07T20:41:27|2026-09-07T20:42:48
