index,original_reference_verified,terminals,contexts,states,transitions,unique_projected_actions,non_endpoint_automorphisms,unfinalized_terminal_edges,reference_source_orbit_selection_matches,reference_atom_orbit_pairing_matches,unique_orbit_pairings,closest_orbit_distance,closest_terminal,load_seconds,total_seconds,slurm_job,hostname
1031,True,18539,246,360428,360182,3,0,0,0,0,107,2,93939,53.72056053718552,56.159884102176875,438004,bosque34
1034,True,1229,129,5967,5838,2,0,0,1229,0,40,4,15,0.7918788911774755,0.9092542780563235,438005,bosque35
1083,True,308,249,1419,1170,3,0,0,0,0,23,6,147,0.3793611377477646,0.44026793679222465,438006,bosque36
11,True,2113,84,9942,9858,2,0,0,2113,0,83,4,5457,0.48428002558648586,0.5396571820601821,438003,bosque12
1172,True,6360,162,47280,47118,1,0,0,0,0,500,2,27741,5.155048446031287,5.777742311125621,438007,bosque37
1227,True,8627,126,71303,71177,2,0,0,0,0,235,6,20591,7.386012496892363,8.130915488814935,438008,bosque38
1228,True,3097,102,15453,15351,1,0,0,0,0,90,6,4210,1.4873284860514104,1.7119454289786518,438009,bosque39
1285,True,249,84,1258,1174,1,0,0,177,93,13,0,7,0.18875638814643025,0.2093163391109556,438010,bosque40
130,True,6242,240,60196,59956,3,0,0,0,0,496,2,51494,9.237792155938223,10.107803157065064,438008,bosque38
1312,True,1809,111,9564,9453,2,0,0,0,0,96,2,3,0.5472759651020169,0.6192788807675242,438003,bosque12
1314,True,392,147,2223,2076,5,0,0,353,0,26,4,18,0.39060266502201557,0.46041363617405295,438004,bosque34
1370,True,16793,243,134650,134407,4,0,0,0,0,390,6,95324,16.827175218146294,18.508702132850885,438005,bosque35
1371,True,2368,120,14421,14301,2,0,0,2368,0,41,8,10738,1.6924978559836745,1.8825162257999182,438006,bosque36
1384,True,234,141,1241,1100,3,0,0,234,0,22,4,4,0.21995387901552022,0.24862017412669957,438007,bosque37
1387,True,2807,321,19924,19603,2,0,0,0,0,216,4,78,2.606368489097804,2.934612036915496,438008,bosque38
1395,True,8645,240,122501,122261,3,0,0,0,0,425,2,19771,16.949206159915775,18.259826384019107,438009,bosque39
1409,True,26033,396,216796,216400,2,0,0,0,0,2056,18,5311,30.806056044995785,34.335308820940554,438010,bosque40
1410,True,22202,378,202028,201650,1,0,0,0,0,775,8,4010,14.74148428812623,16.014368508011103,438003,bosque12
1414,True,999,345,10182,9837,7,0,0,0,0,69,2,4679,2.2560575059615076,2.51866984879598,438004,bosque34
1429,True,12102,375,148580,148205,6,0,0,0,0,375,2,109785,22.103075539227575,24.323620472103357,438005,bosque35
1453,True,21905,312,553550,553238,4,0,0,0,0,55,2,328757,75.55769453989342,78.48824043665081,438006,bosque36
1454,True,22539,309,487130,486821,1,0,0,0,0,944,12,225931,69.2673867919948,72.56647532084025,438007,bosque37
