experiment,reference_recovery,terminals,capped,seconds,reference_directed,archive
empty1405_seeds30_cap100,recovered,45860,True,69.42000653035939,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty1405_seeds30_cap100/cuts/aam.pkl.gz
empty1654_seeds30_cap100,recovered,1885,True,23.56181714963168,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty1654_seeds30_cap100/cuts/aam.pkl.gz
empty1665_seeds100_cap100,not_recovered,14125,True,62.507197842001915,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty1665_seeds100_cap100/cuts/aam.pkl.gz
empty1665_seeds30_cap100,not_recovered,2018,True,27.701457905117422,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty1665_seeds30_cap100/cuts/aam.pkl.gz
empty745_seeds30_cap100,recovered,1014,True,4.117720638867468,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty745_seeds30_cap100/cuts/aam.pkl.gz
empty745_seeds3_cap1000,recovered,180,False,0.470678404904902,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty745_seeds3_cap1000/cuts/aam.pkl.gz
empty853_seeds30_cap100,recovered,12148,True,17.35063941963017,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty853_seeds30_cap100/cuts/aam.pkl.gz
empty853_seeds3_cap1000,recovered,1019,False,1.6581468433141708,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/empty853_seeds3_cap1000/cuts/aam.pkl.gz
probe1083_seeds30,recovered,26065,True,79.25630657374859,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1083_seeds30/cuts/aam.pkl.gz
probe11_seeds30_cap100,recovered,22877,True,22.289735957048833,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe11_seeds30_cap100/cuts/aam.pkl.gz
probe11_seeds3_cap1000,not_recovered,5242,True,4.7371976263821125,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe11_seeds3_cap1000/cuts/aam.pkl.gz
probe1285_seeds3_cap1000,not_recovered,361,False,1.2608723882585764,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1285_seeds3_cap1000/cuts/aam.pkl.gz
probe1314_seeds30,recovered,15893,True,55.42345356289297,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1314_seeds30/cuts/aam.pkl.gz
probe1574_seeds30,recovered,9400,True,36.4190249000676,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1574_seeds30/cuts/aam.pkl.gz
probe1609_seeds30,recovered,6947,True,20.760088544804603,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1609_seeds30/cuts/aam.pkl.gz
probe1641_seeds30,recovered,4539,False,10.182023068191484,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1641_seeds30/cuts/aam.pkl.gz
probe1673_seeds30,recovered,8007,True,9.752372005023062,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1673_seeds30/cuts/aam.pkl.gz
probe1684_seeds30,recovered,11936,True,38.559522797120735,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1684_seeds30/cuts/aam.pkl.gz
probe1739_seeds100_tol1,recovered,27909,True,33.340589532628655,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1739_seeds100_tol1/cuts/aam.pkl.gz
probe1739_seeds30,not_recovered,7658,True,17.94278210401535,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1739_seeds30/cuts/aam.pkl.gz
probe1739_seeds30_tol2,recovered,14918,True,30.144217683002353,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1739_seeds30_tol2/cuts/aam.pkl.gz
probe1739_seeds3_tol2,not_recovered,2636,True,5.490315611008555,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1739_seeds3_tol2/cuts/aam.pkl.gz
probe1740_directed_order_tol1,recovered,6,False,0.031485540792346,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_directed_order_tol1/cuts/aam.pkl.gz
probe1740_explicit_two_cuts_seeds3,not_recovered,198,False,0.5015842448920012,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_explicit_two_cuts_seeds3/cuts/aam.pkl.gz
probe1740_seeds100_tol1,not_recovered,48560,True,103.893966215197,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_seeds100_tol1/cuts/aam.pkl.gz
probe1740_seeds30,not_recovered,25000,True,29.000725614838302,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_seeds30/cuts/aam.pkl.gz
probe1740_seeds30_tol2,recovered,27176,True,54.872211072128266,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_seeds30_tol2/cuts/aam.pkl.gz
probe1740_seeds3_tol2,recovered,1258,False,3.219568911008537,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1740_seeds3_tol2/cuts/aam.pkl.gz
probe1741_seeds30,recovered,6741,True,17.090113257989287,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1741_seeds30/cuts/aam.pkl.gz
probe1788_seeds30,recovered,8349,True,12.898797332774848,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1788_seeds30/cuts/aam.pkl.gz
probe1803_seeds30,recovered,10617,True,30.815767996944487,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1803_seeds30/cuts/aam.pkl.gz
probe1821_seeds30,recovered,27921,True,101.4718974228017,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1821_seeds30/cuts/aam.pkl.gz
probe1822_seeds30,recovered,8614,True,20.29322514287196,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe1822_seeds30/cuts/aam.pkl.gz
probe21_seeds30,recovered,11838,True,8.52836075425148,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe21_seeds30/cuts/aam.pkl.gz
probe602_seeds30_cap100,recovered,24159,True,21.223280603066087,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe602_seeds30_cap100/cuts/aam.pkl.gz
probe602_seeds3_cap1000,not_recovered,3125,False,2.298088937997818,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe602_seeds3_cap1000/cuts/aam.pkl.gz
probe986_seeds3_cap1000,not_recovered,23352,True,62.522496095858514,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/probe986_seeds3_cap1000/cuts/aam.pkl.gz
