index,original_reference_recovery,verified_reference_recovery,original_top1_correct,archive
0,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_completion_20260906/0/aam.json.gz
1,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/1/aam.json.gz
2,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/2/aam.json.gz
3,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/3/aam.json.gz
4,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/4/aam.json.gz
5,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/5/aam.json.gz
6,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/6/aam.json.gz
8,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/8/aam.json.gz
9,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/9/aam.json.gz
10,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/10/aam.json.gz
11,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/11/aam.json.gz
12,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/12/aam.json.gz
13,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/13/aam.json.gz
14,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/14/aam.json.gz
15,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/15/aam.json.gz
16,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/16/aam.json.gz
17,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/17/aam.json.gz
18,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/18/aam.json.gz
19,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/19/aam.json.gz
20,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/20/aam.json.gz
21,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/21/aam.json.gz
22,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/22/aam.json.gz
23,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/23/aam.json.gz
24,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/24/aam.json.gz
25,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/25/aam.json.gz
26,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/26/aam.json.gz
27,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/27/aam.json.gz
28,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/28/aam.json.gz
