JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
438299_0|COMPLETED|293|2|04:32.513||2026-09-07T12:21:56|2026-09-07T12:26:49
438299_0.batch|COMPLETED|293|2|04:32.509|4458616K|2026-09-07T12:21:56|2026-09-07T12:26:49
438299_0.extern|COMPLETED|293|2|00:00.003|1028K|2026-09-07T12:21:56|2026-09-07T12:26:49
438299_1|COMPLETED|26|2|00:14.176||2026-09-07T12:21:56|2026-09-07T12:22:22
438299_1.batch|COMPLETED|26|2|00:14.172|3396K|2026-09-07T12:21:56|2026-09-07T12:22:22
438299_1.extern|COMPLETED|26|2|00:00.003|4K|2026-09-07T12:21:56|2026-09-07T12:22:22
438299_2|COMPLETED|19|2|00:07.879||2026-09-07T12:21:57|2026-09-07T12:22:16
438299_2.batch|COMPLETED|19|2|00:07.875|3400K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_2.extern|COMPLETED|19|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_3|COMPLETED|17|2|00:05.887||2026-09-07T12:21:57|2026-09-07T12:22:14
438299_3.batch|COMPLETED|17|2|00:05.883|3312K|2026-09-07T12:21:57|2026-09-07T12:22:14
438299_3.extern|COMPLETED|17|2|00:00.003|300K|2026-09-07T12:21:57|2026-09-07T12:22:14
438299_4|COMPLETED|21|2|00:09.391||2026-09-07T12:21:57|2026-09-07T12:22:18
438299_4.batch|COMPLETED|21|2|00:09.387|3404K|2026-09-07T12:21:57|2026-09-07T12:22:18
438299_4.extern|COMPLETED|21|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:18
438299_5|COMPLETED|18|2|00:05.844||2026-09-07T12:21:57|2026-09-07T12:22:15
438299_5.batch|COMPLETED|18|2|00:05.841|3308K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_5.extern|COMPLETED|18|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_6|COMPLETED|15|2|00:04.265||2026-09-07T12:21:57|2026-09-07T12:22:12
438299_6.batch|COMPLETED|15|2|00:04.261|3340K|2026-09-07T12:21:57|2026-09-07T12:22:12
438299_6.extern|COMPLETED|15|2|00:00.003|304K|2026-09-07T12:21:57|2026-09-07T12:22:12
438299_7|COMPLETED|154|2|02:23.294||2026-09-07T12:21:57|2026-09-07T12:24:31
438299_7.batch|COMPLETED|154|2|02:23.290|358516K|2026-09-07T12:21:57|2026-09-07T12:24:31
438299_7.extern|COMPLETED|154|2|00:00.004|1020K|2026-09-07T12:21:57|2026-09-07T12:24:31
438299_8|COMPLETED|19|2|00:07.129||2026-09-07T12:21:57|2026-09-07T12:22:16
438299_8.batch|COMPLETED|19|2|00:07.125|3240K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_8.extern|COMPLETED|19|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_9|CANCELLED by 7711|1171|2|00:00:00||2026-09-07T12:21:57|2026-09-07T12:41:28
438299_10|COMPLETED|26|2|00:14.868||2026-09-07T12:21:57|2026-09-07T12:22:23
438299_10.batch|COMPLETED|26|2|00:14.864|3364K|2026-09-07T12:21:57|2026-09-07T12:22:23
438299_10.extern|COMPLETED|26|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:23
438299_11|COMPLETED|21|2|00:10.062||2026-09-07T12:21:57|2026-09-07T12:22:18
438299_11.batch|COMPLETED|21|2|00:10.058|3432K|2026-09-07T12:21:57|2026-09-07T12:22:18
438299_11.extern|COMPLETED|21|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:18
438299_12|CANCELLED by 7711|1171|2|00:00:00||2026-09-07T12:21:57|2026-09-07T12:41:28
438299_13|COMPLETED|18|2|00:06.149||2026-09-07T12:21:57|2026-09-07T12:22:15
438299_13.batch|COMPLETED|18|2|00:06.145|3236K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_13.extern|COMPLETED|18|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_14|COMPLETED|18|2|00:05.965||2026-09-07T12:21:57|2026-09-07T12:22:15
438299_14.batch|COMPLETED|18|2|00:05.962|3400K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_14.extern|COMPLETED|18|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_15|CANCELLED by 7711|1171|2|00:00:00||2026-09-07T12:21:57|2026-09-07T12:41:28
438299_16|COMPLETED|41|2|00:30.293||2026-09-07T12:21:57|2026-09-07T12:22:38
438299_16.batch|COMPLETED|41|2|00:30.290|473496K|2026-09-07T12:21:57|2026-09-07T12:22:38
438299_16.extern|COMPLETED|41|2|00:00.003|1116K|2026-09-07T12:21:57|2026-09-07T12:22:38
438299_17|CANCELLED by 7711|1171|2|00:00:00||2026-09-07T12:21:57|2026-09-07T12:41:28
438299_18|COMPLETED|15|2|00:04.986||2026-09-07T12:21:57|2026-09-07T12:22:12
438299_18.batch|COMPLETED|15|2|00:04.982|3428K|2026-09-07T12:21:57|2026-09-07T12:22:12
438299_18.extern|COMPLETED|15|2|00:00.003|1016K|2026-09-07T12:21:57|2026-09-07T12:22:12
438299_19|COMPLETED|147|2|02:14.052||2026-09-07T12:21:57|2026-09-07T12:24:24
438299_19.batch|COMPLETED|147|2|02:14.048|1573692K|2026-09-07T12:21:57|2026-09-07T12:24:24
438299_19.extern|COMPLETED|147|2|00:00.004|1004K|2026-09-07T12:21:57|2026-09-07T12:24:24
438299_20|COMPLETED|26|2|00:15.112||2026-09-07T12:21:57|2026-09-07T12:22:23
438299_20.batch|COMPLETED|26|2|00:15.109|3268K|2026-09-07T12:21:57|2026-09-07T12:22:23
438299_20.extern|COMPLETED|26|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:23
438299_21|COMPLETED|20|2|00:08.653||2026-09-07T12:21:57|2026-09-07T12:22:17
438299_21.batch|COMPLETED|20|2|00:08.649|3332K|2026-09-07T12:21:57|2026-09-07T12:22:17
438299_21.extern|COMPLETED|20|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:17
438299_22|COMPLETED|20|2|00:08.157||2026-09-07T12:21:57|2026-09-07T12:22:17
438299_22.batch|COMPLETED|20|2|00:08.153|3408K|2026-09-07T12:21:57|2026-09-07T12:22:17
438299_22.extern|COMPLETED|20|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:17
438299_23|COMPLETED|18|2|00:05.891||2026-09-07T12:21:57|2026-09-07T12:22:15
438299_23.batch|COMPLETED|18|2|00:05.887|3344K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_23.extern|COMPLETED|18|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:15
438299_24|COMPLETED|19|2|00:07.638||2026-09-07T12:21:57|2026-09-07T12:22:16
438299_24.batch|COMPLETED|19|2|00:07.634|3320K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_24.extern|COMPLETED|19|2|00:00.003|4K|2026-09-07T12:21:57|2026-09-07T12:22:16
438299_25|COMPLETED|30|2|00:19.736||2026-09-07T12:21:57|2026-09-07T12:22:27
438299_25.batch|COMPLETED|30|2|00:19.734|3324K|2026-09-07T12:21:57|2026-09-07T12:22:27
438299_25.extern|COMPLETED|30|2|00:00.002|300K|2026-09-07T12:21:57|2026-09-07T12:22:27
