index,default_direction,single_recovery,single_ranking_complete,single_search_complete,single_top5_family,single_compute_cpu_seconds,single_directional_elapsed_sum_seconds,single_class_count,single_top1,single_top3,single_top5,single_top10,single_event_window_0_recovered,single_event_window_0_candidates,single_event_window_1_recovered,single_event_window_1_candidates,single_event_window_2_recovered,single_event_window_2_candidates,single_event_window_3_recovered,single_event_window_3_candidates,single_event_window_5_recovered,single_event_window_5_candidates,bidirectional_recovery,bidirectional_ranking_complete,bidirectional_search_complete,bidirectional_top5_family,bidirectional_compute_cpu_seconds,bidirectional_directional_elapsed_sum_seconds,bidirectional_class_count,bidirectional_top1,bidirectional_top3,bidirectional_top5,bidirectional_top10,bidirectional_event_window_0_recovered,bidirectional_event_window_0_candidates,bidirectional_event_window_1_recovered,bidirectional_event_window_1_candidates,bidirectional_event_window_2_recovered,bidirectional_event_window_2_candidates,bidirectional_event_window_3_recovered,bidirectional_event_window_3_candidates,bidirectional_event_window_5_recovered,bidirectional_event_window_5_candidates
0,R_to_P,recovered,True,True,recovered,608.1676882120001,158.26501706708223,530,False,True,True,True,False,1,False,1,True,2,True,2,True,4,recovered,True,True,recovered,1065.1563314940001,281.68616356886923,966,False,True,True,True,False,1,False,1,True,3,True,3,True,11
1,R_to_P,recovered,True,True,recovered,28.501733027,7.792614157311618,112,False,True,True,True,True,3,True,3,True,4,True,5,True,13,recovered,True,True,recovered,44.773154805,11.610838239546865,222,False,True,True,True,True,3,True,3,True,5,True,7,True,18
2,P_to_R,recovered,True,True,recovered,11.966520539,3.001803422346711,103,True,True,True,True,True,2,True,2,True,3,True,3,True,14,recovered,True,True,recovered,188.073402719,35.863881369587034,2796,True,True,True,True,True,2,True,2,True,3,True,3,True,15
3,R_to_P,recovered,True,True,recovered,5.267285821,0.9701121971011162,15,True,True,True,True,True,1,True,1,True,2,True,2,True,4,recovered,True,True,recovered,34.44852121,8.22811141749844,280,True,True,True,True,True,1,True,1,True,2,True,2,True,4
4,P_to_R,recovered,True,True,recovered,12.134946627,3.188341725850478,96,True,True,True,True,True,1,True,2,True,2,True,3,True,8,recovered,True,True,recovered,48.762463047,11.816625562729314,244,True,True,True,True,True,1,True,2,True,2,True,3,True,14
5,R_to_P,recovered,True,True,recovered,5.549574837000001,1.371979865245521,53,False,True,True,True,False,2,False,2,False,2,True,3,True,9,recovered,True,True,recovered,12.621351244999998,3.1316498508676887,93,False,True,True,True,False,2,False,2,False,2,True,3,True,11
6,R_to_P,recovered,True,True,recovered,1.768345871,0.3447383623570204,12,True,True,True,True,True,1,True,2,True,4,True,5,True,8,recovered,True,True,recovered,2.796353096,0.6158702112734318,21,True,True,True,True,True,1,True,2,True,4,True,5,True,11
7,P_to_R,not_recovered,True,True,not_recovered,61.7485814,10.373458406887949,10,False,False,False,False,False,1,False,1,False,2,False,3,False,4,not_recovered,True,True,not_recovered,231.213046041,38.819919012486935,1374,False,False,False,False,False,1,False,1,False,2,False,3,False,31
8,R_to_P,recovered,True,True,recovered,10.109951198000001,2.3703830605372787,70,False,True,True,True,False,1,False,1,True,4,True,5,True,9,recovered,True,True,recovered,43.516425336000005,11.578726497478783,148,False,True,True,True,False,1,False,1,True,4,True,5,True,9
9,R_to_P,recovered,True,True,recovered,9.745792776000002,2.408077646046877,48,False,True,True,True,False,1,True,3,True,4,True,5,True,11,recovered,True,True,recovered,20.684162246000003,5.509589049033821,88,False,False,True,True,False,2,True,5,True,8,True,11,True,20
10,R_to_P,recovered,True,True,recovered,41.693728203999996,7.991897524800152,39,False,True,True,True,True,2,True,2,True,7,True,9,True,21,recovered,True,True,recovered,95.33242646800001,18.105988782830536,84,False,True,True,True,True,2,True,2,True,7,True,9,True,24
11,R_to_P,recovered,True,True,recovered,17.939337795000004,4.30703258048743,151,False,True,True,True,True,3,True,3,True,5,True,7,True,28,recovered,True,True,recovered,35.018803109000004,8.7949791373685,263,False,True,True,True,True,3,True,3,True,6,True,8,True,37
12,R_to_P,recovered,True,True,recovered,32.633002605,6.2763412981294096,44,False,True,True,True,True,2,True,2,True,5,True,7,True,16,recovered,True,True,recovered,65.77652991,12.542006231378764,70,False,True,True,True,True,2,True,2,True,5,True,7,True,21
13,R_to_P,recovered,True,True,recovered,11.706782314,2.6495952578261495,84,True,True,True,True,True,1,True,2,True,2,True,2,True,9,recovered,True,True,recovered,134.19219704499997,34.844113756902516,823,True,True,True,True,True,1,True,2,True,2,True,2,True,9
14,R_to_P,recovered,True,True,recovered,9.554600588000001,2.500182759249583,109,False,True,True,True,False,1,True,2,True,3,True,4,True,7,recovered,True,True,recovered,28.638609652000003,7.358233397593722,211,False,True,True,True,False,1,True,2,True,3,True,4,True,7
15,R_to_P,recovered,True,True,recovered,4.351708961000001,0.9795619607903063,24,True,True,True,True,True,1,True,1,True,3,True,4,True,10,recovered,True,True,recovered,19.143623700000006,4.709151970222592,94,True,True,True,True,True,1,True,1,True,3,True,4,True,10
16,P_to_R,recovered,True,True,not_recovered,73.874363187,25.02022591792047,931,False,False,False,False,False,2,False,7,False,20,True,40,True,141,recovered,True,True,not_recovered,244.572398832,54.87341754720546,9088,False,False,False,False,False,2,False,7,False,22,True,43,True,165
17,R_to_P,recovered,True,True,recovered,239.212457537,63.449706132756546,293,False,True,True,True,False,1,False,1,True,3,True,9,True,33,recovered,True,True,recovered,863.7494946099999,252.6574133655522,721,False,True,True,True,False,1,False,1,True,4,True,10,True,34
18,R_to_P,recovered,True,True,recovered,4.144380618,1.1216855549719185,16,True,True,True,True,True,2,True,2,True,5,True,7,True,11,recovered,True,True,recovered,7.160494034,1.7152969215530902,25,True,True,True,True,True,2,True,2,True,5,True,7,True,14
19,R_to_P,not_recovered,True,True,not_recovered,270.00738817,87.69981753337197,233,False,False,False,False,False,1,False,1,False,2,False,4,False,11,not_recovered,True,True,not_recovered,493.170500572,163.5461815877352,593,False,False,False,False,False,1,False,1,False,2,False,4,False,12
20,R_to_P,recovered,True,True,recovered,29.919230504,8.35620508925058,183,False,True,True,True,False,1,False,1,True,4,True,9,True,21,recovered,True,True,recovered,70.108670192,18.574999840231612,281,False,True,True,True,False,1,False,1,True,4,True,10,True,31
21,P_to_R,recovered,True,True,recovered,13.357915186,4.532446977682412,85,False,False,True,True,False,2,True,5,True,7,True,10,True,22,recovered,True,True,recovered,26.121570939999998,7.751403210218996,269,False,False,True,True,False,2,True,5,True,8,True,11,True,24
22,P_to_R,recovered,True,True,recovered,12.585144449,2.435386131517589,21,False,True,True,True,False,2,False,2,True,4,True,11,True,19,recovered,True,True,recovered,47.119699450999995,10.56039013620466,112,False,True,True,True,False,2,False,2,True,4,True,14,True,24
23,P_to_R,recovered,True,True,recovered,5.084183971,1.680300229229033,44,True,True,True,True,True,1,True,1,True,2,True,4,True,8,recovered,True,True,recovered,10.893563574000002,3.42823800817132,497,True,True,True,True,True,1,True,1,True,2,True,4,True,8
24,R_to_P,recovered,True,True,recovered,11.438180377,2.367613337934017,18,True,True,True,True,True,2,True,2,True,3,True,5,True,7,recovered,True,True,recovered,22.402959271,4.610866107046604,20,True,True,True,True,True,2,True,2,True,3,True,5,True,7
25,R_to_P,recovered,True,True,recovered,41.843872514000005,11.555724335834384,128,True,True,True,True,True,1,True,1,True,2,True,4,True,15,recovered,True,True,recovered,107.366804308,28.382990120910108,319,True,True,True,True,True,1,True,1,True,2,True,4,True,16
26,R_to_P,recovered,True,True,recovered,14.316536313,3.444523935439065,23,False,True,True,True,True,2,True,2,True,4,True,6,True,8,recovered,True,True,recovered,27.010380566,6.137467880034819,28,False,True,True,True,True,2,True,2,True,4,True,6,True,8
27,R_to_P,recovered,True,True,recovered,31.971994787999993,9.681861063465476,212,False,True,True,True,True,3,True,3,True,15,True,15,True,29,recovered,True,True,recovered,154.778795933,49.920719062909484,673,False,False,True,True,True,4,True,4,True,23,True,23,True,42
28,R_to_P,recovered,True,True,recovered,6.52161143,2.1008746083825827,42,False,True,True,True,False,1,False,1,True,3,True,3,True,8,recovered,True,True,recovered,11.027361688,3.5366003117524087,63,False,True,True,True,False,1,False,1,True,3,True,3,True,10
29,P_to_R,recovered,True,True,recovered,141.864730761,32.820155799156055,215,False,True,True,True,True,2,True,2,True,3,True,9,True,9,recovered,True,True,recovered,520.3948657220001,93.79393542651087,3773,False,True,True,True,True,2,True,2,True,3,True,9,True,10
30,R_to_P,recovered,True,True,recovered,31.770498848999992,10.356616791337729,146,False,False,True,True,False,2,False,2,True,6,True,10,True,33,recovered,True,True,recovered,73.59094711799999,21.80937868822366,357,False,False,True,True,False,2,False,2,True,6,True,10,True,39
31,R_to_P,recovered,True,True,recovered,8.560951910999998,2.31195792555809,37,True,True,True,True,True,2,True,2,True,5,True,7,True,12,recovered,True,True,recovered,15.742609425999998,3.7744074622169137,47,True,True,True,True,True,2,True,2,True,5,True,7,True,17
32,P_to_R,recovered,True,True,recovered,26.338896134,5.657629700144753,78,True,True,True,True,True,1,True,1,True,3,True,7,True,19,recovered,True,True,recovered,161.12855206700002,38.874945864779875,269,True,True,True,True,True,1,True,1,True,3,True,7,True,19
33,R_to_P,recovered,True,True,recovered,79.58453786400001,19.978433463023975,118,False,True,True,True,False,1,False,1,True,5,True,8,True,14,recovered,True,True,recovered,160.092658287,42.47505553998053,211,False,True,True,True,False,1,False,1,True,5,True,9,True,19
34,R_to_P,recovered,True,True,recovered,18.223115038,4.990230966359377,175,True,True,True,True,True,1,True,1,True,10,True,11,True,23,recovered,True,True,recovered,30.030200261,8.239558666013181,419,True,True,True,True,True,1,True,1,True,14,True,20,True,49
35,R_to_P,recovered,True,True,recovered,22.208312010000004,4.234113096259534,27,False,True,True,True,True,2,True,2,True,4,True,6,True,10,recovered,True,True,recovered,44.326719667999996,8.411828431300819,35,False,True,True,True,True,2,True,2,True,4,True,6,True,10
