index,variant,verified_positive,scope,generator_only_outcome,source_eligible,search_exit,capped,search_seconds,warning,directory
19,archive,False,full checkpoint,not_recovered,9052,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/19_archive
19,opposite,False,full checkpoint,not_recovered,7600,0,True,72.33723287307657,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/19_opposite
19,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/19_cap2000
576,archive,False,full checkpoint,not_recovered,3199,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/576_archive
576,opposite,True,full checkpoint,recovered,4988,0,True,16.383705334970728,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/576_opposite
576,cap2000,False,full checkpoint,not_recovered,19051,0,True,34.69653973914683,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/576_cap2000
590,archive,False,full checkpoint,not_recovered,15598,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/590_archive
590,opposite,False,full checkpoint,not_recovered,15684,0,True,131.09949647821486,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/590_opposite
590,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/590_cap2000
602,archive,False,full checkpoint,not_recovered,2530,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/602_archive
602,opposite,True,full checkpoint,recovered,4337,0,True,12.715674970299006,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/602_opposite
602,cap2000,False,full checkpoint,not_recovered,2612,0,False,3.371346887201071,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/602_cap2000
603,archive,False,full checkpoint,not_recovered,4492,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/603_archive
603,opposite,True,full checkpoint,recovered,3910,0,True,24.087248507887125,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/603_opposite
603,cap2000,False,full checkpoint,not_recovered,34023,0,True,98.4780908273533,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/603_cap2000
737,archive,False,full checkpoint,not_recovered,13012,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/737_archive
737,opposite,True,full checkpoint,recovered,10952,0,True,54.379548344993964,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/737_opposite
737,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/737_cap2000
775,archive,False,full checkpoint,not_recovered,7699,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/775_archive
