JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442802_0|COMPLETED|260|16|26:04.265||2026-09-07T22:36:51|2026-09-07T22:41:11
442802_0.batch|COMPLETED|260|16|26:04.262|10872396K|2026-09-07T22:36:51|2026-09-07T22:41:11
442802_0.extern|COMPLETED|260|16|00:00.003|1056K|2026-09-07T22:36:51|2026-09-07T22:41:11
442802_1|COMPLETED|64|16|03:31.232||2026-09-07T22:36:51|2026-09-07T22:37:55
442802_1.batch|COMPLETED|64|16|03:31.228|1054276K|2026-09-07T22:36:51|2026-09-07T22:37:55
442802_1.extern|COMPLETED|64|16|00:00.003|1032K|2026-09-07T22:36:51|2026-09-07T22:37:55
442802_2|COMPLETED|245|16|15:39.173||2026-09-07T22:36:51|2026-09-07T22:40:56
442802_2.batch|COMPLETED|245|16|15:39.170|8756540K|2026-09-07T22:36:51|2026-09-07T22:40:56
442802_2.extern|COMPLETED|245|16|00:00.003|1020K|2026-09-07T22:36:51|2026-09-07T22:40:56
442802_3|COMPLETED|42|16|03:14.896||2026-09-07T22:36:51|2026-09-07T22:37:33
442802_3.batch|COMPLETED|42|16|03:14.892|1520304K|2026-09-07T22:36:51|2026-09-07T22:37:33
442802_3.extern|COMPLETED|42|16|00:00.003|1040K|2026-09-07T22:36:51|2026-09-07T22:37:33
442802_4|COMPLETED|15|16|00:47.050||2026-09-07T22:36:51|2026-09-07T22:37:06
442802_4.batch|COMPLETED|15|16|00:47.047|3400K|2026-09-07T22:36:51|2026-09-07T22:37:06
442802_4.extern|COMPLETED|15|16|00:00.003|4K|2026-09-07T22:36:51|2026-09-07T22:37:06
442802_5|COMPLETED|14|16|00:29.912||2026-09-07T22:36:51|2026-09-07T22:37:05
442802_5.batch|COMPLETED|14|16|00:29.908|3328K|2026-09-07T22:36:51|2026-09-07T22:37:05
442802_5.extern|COMPLETED|14|16|00:00.003|4K|2026-09-07T22:36:51|2026-09-07T22:37:05
442802_6|COMPLETED|42|16|01:52.020||2026-09-07T22:36:51|2026-09-07T22:37:33
442802_6.batch|COMPLETED|42|16|01:52.017|777368K|2026-09-07T22:36:51|2026-09-07T22:37:33
442802_6.extern|COMPLETED|42|16|00:00.003|1036K|2026-09-07T22:36:51|2026-09-07T22:37:33
442802_7|COMPLETED|407|16|30:05.809||2026-09-07T22:36:51|2026-09-07T22:43:38
442802_7.batch|COMPLETED|407|16|30:05.805|14525352K|2026-09-07T22:36:51|2026-09-07T22:43:38
442802_7.extern|COMPLETED|407|16|00:00.003|1108K|2026-09-07T22:36:51|2026-09-07T22:43:38
442802_8|COMPLETED|13|16|00:31.599||2026-09-07T22:36:51|2026-09-07T22:37:04
442802_8.batch|COMPLETED|13|16|00:31.596|3404K|2026-09-07T22:36:51|2026-09-07T22:37:04
442802_8.extern|COMPLETED|13|16|00:00.003|4K|2026-09-07T22:36:51|2026-09-07T22:37:04
442802_9|COMPLETED|16|16|00:49.140||2026-09-07T22:36:51|2026-09-07T22:37:07
442802_9.batch|COMPLETED|16|16|00:49.136|3292K|2026-09-07T22:36:51|2026-09-07T22:37:07
442802_9.extern|COMPLETED|16|16|00:00.003|4K|2026-09-07T22:36:51|2026-09-07T22:37:07
442802_10|COMPLETED|117|16|06:12.636||2026-09-07T22:36:51|2026-09-07T22:38:48
442802_10.batch|COMPLETED|117|16|06:12.632|3053600K|2026-09-07T22:36:51|2026-09-07T22:38:48
442802_10.extern|COMPLETED|117|16|00:00.003|1020K|2026-09-07T22:36:51|2026-09-07T22:38:48
442802_11|COMPLETED|149|16|13:19.356||2026-09-07T22:36:51|2026-09-07T22:39:20
442802_11.batch|COMPLETED|149|16|13:19.353|6413852K|2026-09-07T22:36:51|2026-09-07T22:39:20
442802_11.extern|COMPLETED|149|16|00:00.003|1M|2026-09-07T22:36:51|2026-09-07T22:39:20
442802_12|COMPLETED|63|16|05:23.205||2026-09-07T22:37:11|2026-09-07T22:38:14
442802_12.batch|COMPLETED|63|16|05:23.201|2707556K|2026-09-07T22:37:11|2026-09-07T22:38:14
442802_12.extern|COMPLETED|63|16|00:00.003|996K|2026-09-07T22:37:11|2026-09-07T22:38:14
442802_13|COMPLETED|48|16|03:39.191||2026-09-07T22:37:11|2026-09-07T22:37:59
442802_13.batch|COMPLETED|48|16|03:39.188|1802560K|2026-09-07T22:37:11|2026-09-07T22:37:59
442802_13.extern|COMPLETED|48|16|00:00.003|1008K|2026-09-07T22:37:11|2026-09-07T22:37:59
442802_14|COMPLETED|321|16|18:18.038||2026-09-07T22:37:11|2026-09-07T22:42:32
442802_14.batch|COMPLETED|321|16|18:18.035|11857128K|2026-09-07T22:37:11|2026-09-07T22:42:32
442802_14.extern|COMPLETED|321|16|00:00.003|1008K|2026-09-07T22:37:11|2026-09-07T22:42:32
442802_15|COMPLETED|385|16|26:47.590||2026-09-07T22:37:11|2026-09-07T22:43:36
442802_15.batch|COMPLETED|385|16|26:47.586|13109792K|2026-09-07T22:37:11|2026-09-07T22:43:36
442802_15.extern|COMPLETED|385|16|00:00.003|1M|2026-09-07T22:37:11|2026-09-07T22:43:36
442802_16|COMPLETED|78|16|04:34.482||2026-09-07T22:37:31|2026-09-07T22:38:49
442802_16.batch|COMPLETED|78|16|04:34.479|2573052K|2026-09-07T22:37:31|2026-09-07T22:38:49
442802_16.extern|COMPLETED|78|16|00:00.003|1052K|2026-09-07T22:37:31|2026-09-07T22:38:49
442802_17|COMPLETED|296|16|29:59.893||2026-09-07T22:37:31|2026-09-07T22:42:27
442802_17.batch|COMPLETED|296|16|29:59.890|13678600K|2026-09-07T22:37:31|2026-09-07T22:42:27
442802_17.extern|COMPLETED|296|16|00:00.003|1036K|2026-09-07T22:37:31|2026-09-07T22:42:27
442802_18|COMPLETED|187|16|16:50.205||2026-09-07T22:37:31|2026-09-07T22:40:38
442802_18.batch|COMPLETED|187|16|16:50.201|6551796K|2026-09-07T22:37:31|2026-09-07T22:40:38
442802_18.extern|COMPLETED|187|16|00:00.003|1020K|2026-09-07T22:37:31|2026-09-07T22:40:38
442802_19|COMPLETED|257|16|10:57.103||2026-09-07T22:37:31|2026-09-07T22:41:48
442802_19.batch|COMPLETED|257|16|10:57.100|4824492K|2026-09-07T22:37:31|2026-09-07T22:41:48
442802_19.extern|COMPLETED|257|16|00:00.003|1056K|2026-09-07T22:37:31|2026-09-07T22:41:48
442802_20|COMPLETED|90|16|04:17.785||2026-09-07T22:37:32|2026-09-07T22:39:02
442802_20.batch|COMPLETED|90|16|04:17.781|2365696K|2026-09-07T22:37:32|2026-09-07T22:39:02
442802_20.extern|COMPLETED|90|16|00:00.003|1008K|2026-09-07T22:37:32|2026-09-07T22:39:02
442802_21|COMPLETED|241|16|13:34.409||2026-09-07T22:37:32|2026-09-07T22:41:33
442802_21.batch|COMPLETED|241|16|13:34.406|8211496K|2026-09-07T22:37:32|2026-09-07T22:41:33
442802_21.extern|COMPLETED|241|16|00:00.003|1004K|2026-09-07T22:37:32|2026-09-07T22:41:33
442802_22|COMPLETED|8|16|00:13.005||2026-09-07T22:37:32|2026-09-07T22:37:40
442802_22.batch|COMPLETED|8|16|00:13.001|3324K|2026-09-07T22:37:32|2026-09-07T22:37:40
442802_22.extern|COMPLETED|8|16|00:00.003|4K|2026-09-07T22:37:32|2026-09-07T22:37:40
442802_23|COMPLETED|112|16|05:09.187||2026-09-07T22:37:32|2026-09-07T22:39:24
442802_23.batch|COMPLETED|112|16|05:09.184|1879524K|2026-09-07T22:37:32|2026-09-07T22:39:24
442802_23.extern|COMPLETED|112|16|00:00.003|1060K|2026-09-07T22:37:32|2026-09-07T22:39:24
442802_24|COMPLETED|17|16|00:42.073||2026-09-07T22:37:32|2026-09-07T22:37:49
442802_24.batch|COMPLETED|17|16|00:42.070|3392K|2026-09-07T22:37:32|2026-09-07T22:37:49
442802_24.extern|COMPLETED|17|16|00:00.003|1116K|2026-09-07T22:37:32|2026-09-07T22:37:49
442802_25|COMPLETED|252|16|11:16.741||2026-09-07T22:37:32|2026-09-07T22:41:44
442802_25.batch|COMPLETED|252|16|11:16.738|2647188K|2026-09-07T22:37:32|2026-09-07T22:41:44
442802_25.extern|COMPLETED|252|16|00:00.003|1048K|2026-09-07T22:37:32|2026-09-07T22:41:44
442802_26|COMPLETED|68|16|05:27.013||2026-09-07T22:37:32|2026-09-07T22:38:40
442802_26.batch|COMPLETED|68|16|05:27.010|2925488K|2026-09-07T22:37:32|2026-09-07T22:38:40
442802_26.extern|COMPLETED|68|16|00:00.003|992K|2026-09-07T22:37:32|2026-09-07T22:38:40
442802_27|COMPLETED|9|16|00:17.315||2026-09-07T22:37:32|2026-09-07T22:37:41
442802_27.batch|COMPLETED|9|16|00:17.312|3380K|2026-09-07T22:37:32|2026-09-07T22:37:41
442802_27.extern|COMPLETED|9|16|00:00.003|4K|2026-09-07T22:37:32|2026-09-07T22:37:41
442802_28|COMPLETED|87|16|04:37.801||2026-09-07T22:37:51|2026-09-07T22:39:18
442802_28.batch|COMPLETED|87|16|04:37.798|3011732K|2026-09-07T22:37:51|2026-09-07T22:39:18
442802_28.extern|COMPLETED|87|16|00:00.003|1096K|2026-09-07T22:37:51|2026-09-07T22:39:18
442802_29|COMPLETED|56|16|05:23.808||2026-09-07T22:37:51|2026-09-07T22:38:47
442802_29.batch|COMPLETED|56|16|05:23.805|1822568K|2026-09-07T22:37:51|2026-09-07T22:38:47
