JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442479_0|COMPLETED|82|4|01:43.044||2026-09-07T20:12:27|2026-09-07T20:13:49
442479_0.batch|COMPLETED|82|4|01:43.041|1515284K|2026-09-07T20:12:27|2026-09-07T20:13:49
442479_0.extern|COMPLETED|82|4|00:00.003|1012K|2026-09-07T20:12:27|2026-09-07T20:13:49
442479_1|COMPLETED|431|4|11:29.802||2026-09-07T20:12:28|2026-09-07T20:19:39
442479_1.batch|COMPLETED|431|4|11:29.799|24296180K|2026-09-07T20:12:28|2026-09-07T20:19:39
442479_1.extern|COMPLETED|431|4|00:00.003|996K|2026-09-07T20:12:28|2026-09-07T20:19:39
442479_2|COMPLETED|51|4|01:13.462||2026-09-07T20:12:28|2026-09-07T20:13:19
442479_2.batch|COMPLETED|51|4|01:13.459|532556K|2026-09-07T20:12:28|2026-09-07T20:13:19
442479_2.extern|COMPLETED|51|4|00:00.003|1020K|2026-09-07T20:12:28|2026-09-07T20:13:19
442479_3|COMPLETED|541|4|18:14.844||2026-09-07T20:12:28|2026-09-07T20:21:29
442479_3.batch|COMPLETED|541|4|18:14.841|41482072K|2026-09-07T20:12:28|2026-09-07T20:21:29
442479_3.extern|COMPLETED|541|4|00:00.003|1036K|2026-09-07T20:12:28|2026-09-07T20:21:29
442479_4|COMPLETED|37|4|00:26.701||2026-09-07T20:12:28|2026-09-07T20:13:05
442479_4.batch|COMPLETED|37|4|00:26.698|246376K|2026-09-07T20:12:28|2026-09-07T20:13:05
442479_4.extern|COMPLETED|37|4|00:00.003|1056K|2026-09-07T20:12:28|2026-09-07T20:13:05
442479_5|COMPLETED|159|4|03:33.134||2026-09-07T20:12:28|2026-09-07T20:15:07
442479_5.batch|COMPLETED|159|4|03:33.131|1963808K|2026-09-07T20:12:28|2026-09-07T20:15:07
442479_5.extern|COMPLETED|159|4|00:00.003|1056K|2026-09-07T20:12:28|2026-09-07T20:15:07
442479_6|COMPLETED|291|4|09:05.238||2026-09-07T20:12:28|2026-09-07T20:17:19
442479_6.batch|COMPLETED|291|4|09:05.234|18922704K|2026-09-07T20:12:28|2026-09-07T20:17:19
442479_6.extern|COMPLETED|291|4|00:00.003|1016K|2026-09-07T20:12:28|2026-09-07T20:17:19
