JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442512_0|COMPLETED|79|8|02:02.315||2026-09-07T20:28:55|2026-09-07T20:30:14
442512_0.batch|COMPLETED|79|8|02:02.312|895632K|2026-09-07T20:28:55|2026-09-07T20:30:14
442512_0.extern|COMPLETED|79|8|00:00.003|1020K|2026-09-07T20:28:55|2026-09-07T20:30:14
442512_1|COMPLETED|548|8|29:29.789||2026-09-07T20:28:55|2026-09-07T20:38:03
442512_1.batch|COMPLETED|548|8|29:29.786|26774M|2026-09-07T20:28:55|2026-09-07T20:38:03
442512_1.extern|COMPLETED|548|8|00:00.003|1060K|2026-09-07T20:28:55|2026-09-07T20:38:03
442512_2|COMPLETED|212|8|05:33.817||2026-09-07T20:28:56|2026-09-07T20:32:28
442512_2.batch|COMPLETED|212|8|05:33.814|3120828K|2026-09-07T20:28:56|2026-09-07T20:32:28
442512_2.extern|COMPLETED|212|8|00:00.003|1052K|2026-09-07T20:28:56|2026-09-07T20:32:28
442512_3|COMPLETED|548|8|33:00.869||2026-09-07T20:28:56|2026-09-07T20:38:04
442512_3.batch|COMPLETED|548|8|33:00.866|33763540K|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_3.extern|COMPLETED|548|8|00:00.003|1060K|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_4|COMPLETED|490|8|15:58.800||2026-09-07T20:28:56|2026-09-07T20:37:06
442512_4.batch|COMPLETED|490|8|15:58.797|35847416K|2026-09-07T20:28:56|2026-09-07T20:37:06
442512_4.extern|COMPLETED|490|8|00:00.003|1044K|2026-09-07T20:28:56|2026-09-07T20:37:06
442512_5|COMPLETED|547|8|26:26.306||2026-09-07T20:28:56|2026-09-07T20:38:03
442512_5.batch|COMPLETED|547|8|26:26.302|25730600K|2026-09-07T20:28:56|2026-09-07T20:38:03
442512_5.extern|COMPLETED|547|8|00:00.003|1052K|2026-09-07T20:28:56|2026-09-07T20:38:03
442512_6|COMPLETED|313|8|34:31.728||2026-09-07T20:28:56|2026-09-07T20:34:09
442512_6.batch|COMPLETED|313|8|34:31.724|47188488K|2026-09-07T20:28:56|2026-09-07T20:34:09
442512_6.extern|COMPLETED|313|8|00:00.003|1028K|2026-09-07T20:28:56|2026-09-07T20:34:09
442512_7|COMPLETED|548|8|19:33.099||2026-09-07T20:28:56|2026-09-07T20:38:04
442512_7.batch|COMPLETED|548|8|19:33.095|58746456K|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_7.extern|COMPLETED|548|8|00:00.003|1M|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_8|COMPLETED|444|8|12:42.396||2026-09-07T20:28:56|2026-09-07T20:36:20
442512_8.batch|COMPLETED|444|8|12:42.393|28212316K|2026-09-07T20:28:56|2026-09-07T20:36:20
442512_8.extern|COMPLETED|444|8|00:00.003|992K|2026-09-07T20:28:56|2026-09-07T20:36:20
442512_9|COMPLETED|538|8|15:45.384||2026-09-07T20:28:56|2026-09-07T20:37:54
442512_9.batch|COMPLETED|538|8|15:45.380|49931172K|2026-09-07T20:28:56|2026-09-07T20:37:54
442512_9.extern|COMPLETED|538|8|00:00.003|1000K|2026-09-07T20:28:56|2026-09-07T20:37:54
442512_10|COMPLETED|551|8|29:30.439||2026-09-07T20:28:56|2026-09-07T20:38:07
442512_10.batch|COMPLETED|551|8|29:30.435|25635604K|2026-09-07T20:28:56|2026-09-07T20:38:07
442512_10.extern|COMPLETED|551|8|00:00.003|1032K|2026-09-07T20:28:56|2026-09-07T20:38:07
442512_11|COMPLETED|167|8|04:24.175||2026-09-07T20:28:56|2026-09-07T20:31:43
442512_11.batch|COMPLETED|167|8|04:24.172|3110612K|2026-09-07T20:28:56|2026-09-07T20:31:43
442512_11.extern|COMPLETED|167|8|00:00.003|1040K|2026-09-07T20:28:56|2026-09-07T20:31:43
442512_12|COMPLETED|381|8|09:43.577||2026-09-07T20:28:56|2026-09-07T20:35:17
442512_12.batch|COMPLETED|381|8|09:43.574|17231436K|2026-09-07T20:28:56|2026-09-07T20:35:17
442512_12.extern|COMPLETED|381|8|00:00.003|1020K|2026-09-07T20:28:56|2026-09-07T20:35:17
442512_13|COMPLETED|547|8|17:00.258||2026-09-07T20:28:56|2026-09-07T20:38:03
442512_13.batch|COMPLETED|547|8|17:00.255|95606584K|2026-09-07T20:28:56|2026-09-07T20:38:03
442512_13.extern|COMPLETED|547|8|00:00.003|1036K|2026-09-07T20:28:56|2026-09-07T20:38:03
442512_14|COMPLETED|51|8|00:50.235||2026-09-07T20:28:56|2026-09-07T20:29:47
442512_14.batch|COMPLETED|51|8|00:50.231|445112K|2026-09-07T20:28:56|2026-09-07T20:29:47
442512_14.extern|COMPLETED|51|8|00:00.003|988K|2026-09-07T20:28:56|2026-09-07T20:29:47
442512_15|COMPLETED|545|8|28:12.349||2026-09-07T20:28:56|2026-09-07T20:38:01
442512_15.batch|COMPLETED|545|8|28:12.345|26536396K|2026-09-07T20:28:56|2026-09-07T20:38:01
442512_15.extern|COMPLETED|545|8|00:00.003|1056K|2026-09-07T20:28:56|2026-09-07T20:38:01
442512_16|COMPLETED|552|8|22:01.573||2026-09-07T20:28:56|2026-09-07T20:38:08
442512_16.batch|COMPLETED|552|8|22:01.569|19620300K|2026-09-07T20:28:56|2026-09-07T20:38:08
442512_16.extern|COMPLETED|552|8|00:00.003|1028K|2026-09-07T20:28:56|2026-09-07T20:38:08
442512_17|COMPLETED|552|8|29:53.883||2026-09-07T20:28:56|2026-09-07T20:38:08
442512_17.batch|COMPLETED|552|8|29:53.879|29160480K|2026-09-07T20:28:56|2026-09-07T20:38:08
442512_17.extern|COMPLETED|552|8|00:00.003|1020K|2026-09-07T20:28:56|2026-09-07T20:38:08
442512_18|COMPLETED|273|8|06:40.397||2026-09-07T20:28:56|2026-09-07T20:33:29
442512_18.batch|COMPLETED|273|8|06:40.394|4052360K|2026-09-07T20:28:56|2026-09-07T20:33:29
442512_18.extern|COMPLETED|273|8|00:00.003|1012K|2026-09-07T20:28:56|2026-09-07T20:33:29
442512_19|COMPLETED|207|8|03:44.181||2026-09-07T20:28:56|2026-09-07T20:32:23
442512_19.batch|COMPLETED|207|8|03:44.178|1617200K|2026-09-07T20:28:56|2026-09-07T20:32:23
442512_19.extern|COMPLETED|207|8|00:00.003|1112K|2026-09-07T20:28:56|2026-09-07T20:32:23
442512_20|COMPLETED|548|8|35:24.783||2026-09-07T20:28:56|2026-09-07T20:38:04
442512_20.batch|COMPLETED|548|8|35:24.780|37932640K|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_20.extern|COMPLETED|548|8|00:00.003|1032K|2026-09-07T20:28:56|2026-09-07T20:38:04
442512_21|COMPLETED|368|8|08:08.913||2026-09-07T20:28:56|2026-09-07T20:35:04
442512_21.batch|COMPLETED|368|8|08:08.910|17836708K|2026-09-07T20:28:56|2026-09-07T20:35:04
442512_21.extern|COMPLETED|368|8|00:00.003|1020K|2026-09-07T20:28:56|2026-09-07T20:35:04
442512_22|COMPLETED|13|8|00:09.118||2026-09-07T20:28:56|2026-09-07T20:29:09
442512_22.batch|COMPLETED|13|8|00:09.115|3408K|2026-09-07T20:28:56|2026-09-07T20:29:09
442512_22.extern|COMPLETED|13|8|00:00.003|4K|2026-09-07T20:28:56|2026-09-07T20:29:09
