JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
440574_0|COMPLETED|31|1|00:21.604||2026-09-07T18:36:14|2026-09-07T18:36:45
440574_0.batch|COMPLETED|31|1|00:21.603|1356K|2026-09-07T18:36:14|2026-09-07T18:36:45
440574_0.extern|COMPLETED|31|1|00:00.001|1080K|2026-09-07T18:36:14|2026-09-07T18:36:45
440574_1|CANCELLED by 7711|122|1|00:00:00||2026-09-07T18:36:14|2026-09-07T18:38:16
440574_2|COMPLETED|10|1|00:02.124||2026-09-07T18:36:14|2026-09-07T18:36:24
440574_2.batch|COMPLETED|10|1|00:02.123|1352K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_2.extern|COMPLETED|10|1|00:00.001|1080K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_3|COMPLETED|11|1|00:02.048||2026-09-07T18:36:14|2026-09-07T18:36:25
440574_3.batch|COMPLETED|11|1|00:02.046|1356K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_3.extern|COMPLETED|11|1|00:00.001|1080K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_4|COMPLETED|11|1|00:02.409||2026-09-07T18:36:14|2026-09-07T18:36:25
440574_4.batch|COMPLETED|11|1|00:02.408|1360K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_4.extern|COMPLETED|11|1|00:00.001|1080K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_5|CANCELLED by 7711|122|1|00:00:00||2026-09-07T18:36:14|2026-09-07T18:38:16
440574_6|COMPLETED|10|1|00:01.881||2026-09-07T18:36:14|2026-09-07T18:36:24
440574_6.batch|COMPLETED|10|1|00:01.880|1360K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_6.extern|COMPLETED|10|1|00:00.001|1080K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_7|COMPLETED|17|1|00:09.007||2026-09-07T18:36:14|2026-09-07T18:36:31
440574_7.batch|COMPLETED|17|1|00:09.005|1356K|2026-09-07T18:36:14|2026-09-07T18:36:31
440574_7.extern|COMPLETED|17|1|00:00.001|1M|2026-09-07T18:36:14|2026-09-07T18:36:31
440574_8|COMPLETED|12|1|00:01.522||2026-09-07T18:36:14|2026-09-07T18:36:26
440574_8.batch|COMPLETED|12|1|00:01.521|1360K|2026-09-07T18:36:14|2026-09-07T18:36:26
440574_8.extern|COMPLETED|12|1|00:00:00|1080K|2026-09-07T18:36:14|2026-09-07T18:36:26
440574_9|CANCELLED by 7711|122|1|00:00:00||2026-09-07T18:36:14|2026-09-07T18:38:16
440574_10|CANCELLED by 7711|122|1|00:00:00||2026-09-07T18:36:14|2026-09-07T18:38:16
440574_11|COMPLETED|11|1|00:01.848||2026-09-07T18:36:14|2026-09-07T18:36:25
440574_11.batch|COMPLETED|11|1|00:01.847|1356K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_11.extern|COMPLETED|11|1|00:00:00|1080K|2026-09-07T18:36:14|2026-09-07T18:36:25
440574_12|COMPLETED|10|1|00:02.121||2026-09-07T18:36:14|2026-09-07T18:36:24
440574_12.batch|COMPLETED|10|1|00:02.120|1356K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_12.extern|COMPLETED|10|1|00:00:00|1080K|2026-09-07T18:36:14|2026-09-07T18:36:24
440574_13|CANCELLED by 7711|122|1|00:00:00||2026-09-07T18:36:14|2026-09-07T18:38:16
