dataset,index,direction,variant,mapping_cpu,mapping_wall,capped,best_representative_events,best_verified_events,full_representatives,target_score,target_status,recovery
holdout,101,R_to_P,original,0.7380758919999999,0.2479426059871912,False,4,4,34,4,excluded_from_saved_families,unknown
holdout,101,R_to_P,metal_binary,0.9976262389999999,0.2922839196398854,False,4,4,88,4,represented,unknown
holdout,11,R_to_P,original,5.363651836000001,1.1873104646801949,False,4,4,135,4,excluded_from_saved_families,unknown
holdout,11,R_to_P,metal_binary,5.408114658,1.1576584661379457,False,4,4,135,4,excluded_from_saved_families,unknown
holdout,64,R_to_P,original,0.6624321959999999,0.2217435110360384,False,4,4,20,4,excluded_from_saved_families,unknown
holdout,64,R_to_P,metal_binary,0.65849215,0.17972551379352808,False,4,4,20,4,excluded_from_saved_families,unknown
holdout,104,R_to_P,original,1.7225254180000003,0.46245803218334913,False,5,,758,,,unknown
holdout,104,R_to_P,metal_binary,1.060156802,0.2983847940340638,False,5,,190,,,unknown
holdout,0,R_to_P,original,0.6905130819999998,0.2302773967385292,False,0,,28,,,unknown
holdout,0,R_to_P,metal_binary,0.65011156,0.17706337664276361,False,0,,28,,,unknown
holdout,1,R_to_P,original,2.5629149109999996,0.5236752172932029,False,4,,160,,,unknown
holdout,1,R_to_P,metal_binary,2.5029875839999995,0.5201723650097847,False,4,,160,,,unknown
holdout,2,R_to_P,original,0.7859905310000002,0.2598510729148984,False,3,,101,,,unknown
holdout,2,R_to_P,metal_binary,0.7814957420000002,0.2215635934844613,False,3,,101,,,unknown
holdout,3,R_to_P,original,2.791217079,0.7275569066405296,False,2,,120,,,unknown
holdout,3,R_to_P,metal_binary,2.7602278669999993,0.537170996889472,False,2,,120,,,unknown
holdout,4,R_to_P,original,4.877219513,1.929883873090148,False,4,,1241,,,unknown
holdout,4,R_to_P,metal_binary,4.832534545,1.7738004997372627,False,4,,1241,,,unknown
holdout,5,R_to_P,original,1.1783885459999999,0.30846067890524864,False,0,,52,,,unknown
holdout,5,R_to_P,metal_binary,1.194038908,0.33251965045928955,False,0,,52,,,unknown
holdout,6,R_to_P,original,11.101718491,3.851247390732169,True,4,,6425,,,unknown
holdout,6,R_to_P,metal_binary,10.432665021,3.6006451519206166,True,4,,6425,,,unknown
holdout,7,R_to_P,original,5.423136174999999,2.3986060051247478,False,4,,1103,,,unknown
holdout,7,R_to_P,metal_binary,5.896539635,2.508274325169623,False,4,,1103,,,unknown
holdout,8,R_to_P,original,2.6315929,0.5257378434762359,False,1,,55,,,unknown
holdout,8,R_to_P,metal_binary,2.310173537,0.4636772433295846,False,1,,55,,,unknown
holdout,9,R_to_P,original,6.5754387329999995,1.1876802360638976,False,3,,194,,,unknown
