JobID|State|ExitCode|ElapsedRaw|TotalCPU|AllocCPUS|MaxRSS|NodeList
455891_0|COMPLETED|0:0|5|00:01.015|1||bosque7
455891_0.batch|COMPLETED|0:0|5|00:01.014|1|1352K|bosque7
455891_0.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque7
455891_1|COMPLETED|0:0|5|00:01.115|1||bosque7
455891_1.batch|COMPLETED|0:0|5|00:01.114|1|1356K|bosque7
455891_1.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque7
455891_2|COMPLETED|0:0|4|00:01.084|1||bosque7
455891_2.batch|COMPLETED|0:0|4|00:01.083|1|1352K|bosque7
455891_2.extern|COMPLETED|0:0|4|00:00:00|1|1052K|bosque7
455891_3|COMPLETED|0:0|4|00:01.031|1||bosque7
455891_3.batch|COMPLETED|0:0|4|00:01.031|1|1356K|bosque7
455891_3.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque7
455891_4|COMPLETED|0:0|4|00:00.804|1||bosque7
455891_4.batch|COMPLETED|0:0|4|00:00.803|1|1352K|bosque7
455891_4.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_5|COMPLETED|0:0|5|00:00.963|1||bosque7
455891_5.batch|COMPLETED|0:0|5|00:00.962|1|1356K|bosque7
455891_5.extern|COMPLETED|0:0|5|00:00.001|1|1080K|bosque7
455891_6|COMPLETED|0:0|5|00:01.205|1||bosque7
455891_6.batch|COMPLETED|0:0|5|00:01.204|1|1352K|bosque7
455891_6.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque7
455891_7|COMPLETED|0:0|4|00:00.881|1||bosque7
455891_7.batch|COMPLETED|0:0|4|00:00.880|1|1352K|bosque7
455891_7.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_8|COMPLETED|0:0|6|00:00.896|1||bosque7
455891_8.batch|COMPLETED|0:0|6|00:00.895|1|1352K|bosque7
455891_8.extern|COMPLETED|0:0|6|00:00:00|1|1080K|bosque7
455891_9|COMPLETED|0:0|4|00:00.792|1||bosque7
455891_9.batch|COMPLETED|0:0|4|00:00.791|1|1348K|bosque7
455891_9.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_10|COMPLETED|0:0|5|00:01.231|1||bosque7
455891_10.batch|COMPLETED|0:0|5|00:01.231|1|1356K|bosque7
455891_10.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque7
455891_11|CANCELLED by 7711|0:0|184|00:00:00|1||bosque7
455891_12|COMPLETED|0:0|4|00:00.908|1||bosque7
455891_12.batch|COMPLETED|0:0|4|00:00.907|1|1352K|bosque7
455891_12.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_13|COMPLETED|0:0|4|00:01.017|1||bosque7
455891_13.batch|COMPLETED|0:0|4|00:01.016|1|1352K|bosque7
455891_13.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_14|COMPLETED|0:0|4|00:00.949|1||bosque7
455891_14.batch|COMPLETED|0:0|4|00:00.948|1|1356K|bosque7
455891_14.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_15|COMPLETED|0:0|5|00:00.809|1||bosque7
455891_15.batch|COMPLETED|0:0|5|00:00.808|1|1352K|bosque7
455891_15.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque7
455891_16|COMPLETED|0:0|5|00:01.060|1||bosque7
455891_16.batch|COMPLETED|0:0|5|00:01.059|1|1356K|bosque7
455891_16.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque7
455891_17|COMPLETED|0:0|4|00:00.777|1||bosque7
455891_17.batch|COMPLETED|0:0|4|00:00.776|1|1356K|bosque7
455891_17.extern|COMPLETED|0:0|4|00:00:00|1|1084K|bosque7
455891_18|COMPLETED|0:0|4|00:01.103|1||bosque7
455891_18.batch|COMPLETED|0:0|4|00:01.102|1|1352K|bosque7
455891_18.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque7
455891_19|COMPLETED|0:0|4|00:01.048|1||bosque7
455891_19.batch|COMPLETED|0:0|4|00:01.047|1|1352K|bosque7
455891_19.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_20|COMPLETED|0:0|5|00:01.160|1||bosque7
455891_20.batch|COMPLETED|0:0|5|00:01.159|1|1352K|bosque7
455891_20.extern|COMPLETED|0:0|5|00:00:00|1|1084K|bosque7
455891_21|COMPLETED|0:0|6|00:01.917|1||bosque7
455891_21.batch|COMPLETED|0:0|6|00:01.916|1|1352K|bosque7
455891_21.extern|COMPLETED|0:0|6|00:00:00|1|1084K|bosque7
455891_22|COMPLETED|0:0|4|00:00.838|1||bosque7
455891_22.batch|COMPLETED|0:0|4|00:00.836|1|1356K|bosque7
455891_22.extern|COMPLETED|0:0|4|00:00.001|1|1080K|bosque7
455891_23|COMPLETED|0:0|4|00:00.944|1||bosque7
455891_23.batch|COMPLETED|0:0|4|00:00.944|1|1348K|bosque7
455891_23.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_24|COMPLETED|0:0|4|00:00.833|1||bosque7
455891_24.batch|COMPLETED|0:0|4|00:00.832|1|1352K|bosque7
455891_24.extern|COMPLETED|0:0|4|00:00:00|1|1076K|bosque7
455891_25|COMPLETED|0:0|6|00:01.355|1||bosque7
455891_25.batch|COMPLETED|0:0|6|00:01.354|1|1352K|bosque7
455891_25.extern|COMPLETED|0:0|6|00:00:00|1|1080K|bosque7
455891_26|COMPLETED|0:0|6|00:01.476|1||bosque7
455891_26.batch|COMPLETED|0:0|6|00:01.475|1|1352K|bosque7
455891_26.extern|COMPLETED|0:0|6|00:00:00|1|1084K|bosque7
455891_27|COMPLETED|0:0|4|00:00.726|1||bosque7
455891_27.batch|COMPLETED|0:0|4|00:00.725|1|1348K|bosque7
455891_27.extern|COMPLETED|0:0|4|00:00:00|1|1080K|bosque7
455891_28|COMPLETED|0:0|4|00:00.926|1||bosque7
455891_28.batch|COMPLETED|0:0|4|00:00.925|1|1352K|bosque7
455891_28.extern|COMPLETED|0:0|5|00:00:00|1|1080K|bosque7
455891_29|CANCELLED by 7711|0:0|184|00:00:00|1||bosque7
